subject,phase,event,trial_number,game,option,choice,rt,roi_content,item_index,is_relevant,fix_start,fix_end,fix_duration_bounded
104,choice,choice,5,1.0,Object,1.0,2.618371875025332,Animal_Land_Solid_Large,0,0,10027763.0,10027894.0,131.0
104,choice,choice,9,2.0,Animal,2.0,11.362428708001971,Object_Sea_Pattern_Small,0,0,10462010.0,10462123.0,113.0
104,choice,choice,9,2.0,Animal,2.0,11.362428708001971,Animal_Land_Pattern_Small,1,1,10462316.0,10463498.0,1182.0
104,choice,choice,9,2.0,Animal,2.0,11.362428708001971,Object_Land_Pattern_Large,2,0,10465976.0,10466325.0,349.0
104,choice,choice,10,2.0,Land,1.0,3.351680124993436,Object_Land_Pattern_Large,2,1,10472617.0,10472808.0,191.0
104,choice,choice,10,2.0,Land,1.0,3.351680124993436,Animal_Land_Pattern_Small,1,1,10474655.0,10475057.0,402.0
104,choice,choice,12,2.0,Solid,2.0,7.782831375021488,Animal_Land_Pattern_Small,1,0,10483499.0,10484589.0,1090.0
104,choice,choice,12,2.0,Solid,2.0,7.782831375021488,Animal_Land_Solid_Large,3,1,10484604.0,10484744.0,140.0
104,choice,choice,12,2.0,Solid,2.0,7.782831375021488,Animal_Land_Pattern_Small,1,0,10484761.0,10484964.0,203.0
104,choice,choice,12,2.0,Solid,2.0,7.782831375021488,Object_Land_Pattern_Large,2,0,10485256.0,10485377.0,121.0
104,choice,choice,12,2.0,Solid,2.0,7.782831375021488,Animal_Land_Pattern_Small,1,0,10485386.0,10486179.0,793.0
104,choice,choice,12,2.0,Solid,2.0,7.782831375021488,Object_Sea_Pattern_Small,0,0,10486201.0,10486355.0,154.0
104,choice,choice,12,2.0,Solid,2.0,7.782831375021488,Animal_Land_Pattern_Small,1,0,10486586.0,10488452.0,1866.0
104,choice,choice,12,2.0,Solid,2.0,7.782831375021488,Object_Land_Pattern_Large,2,0,10488931.0,10489053.0,122.0
104,choice,choice,12,2.0,Solid,2.0,7.782831375021488,Animal_Land_Pattern_Small,1,0,10489075.0,10490251.0,1176.0
104,choice,choice,13,2.0,Small,1.0,4.0416492079384625,Animal_Land_Pattern_Small,1,1,10494414.0,10497493.0,3079.0
104,choice,choice,14,2.0,Object,1.0,1.187969999969937,Animal_Land_Pattern_Small,1,0,10501181.0,10501612.0,431.0
104,choice,choice,15,2.0,Large,1.0,1.6605947919888422,Animal_Land_Pattern_Small,1,0,10505434.0,10506202.0,768.0
104,choice,choice,15,2.0,Large,1.0,1.6605947919888422,Animal_Land_Solid_Large,3,1,10506244.0,10506336.0,92.0
104,choice,choice,16,2.0,Pattern,1.0,3.759918999974616,Animal_Land_Pattern_Small,1,1,10510774.0,10513228.0,2454.0
104,choice,choice,17,3.0,Object,1.0,3.7604143749922514,Object_Land_Solid_Small,0,1,10874197.0,10874355.0,158.0
104,choice,choice,20,3.0,Sea,2.0,4.086700291954912,Animal_Land_Solid_Small,1,0,10888632.0,10888758.0,126.0
104,choice,choice,20,3.0,Sea,2.0,4.086700291954912,Animal_Sea_Solid_Large,2,1,10890961.0,10891119.0,158.0
104,choice,choice,21,3.0,Large,2.0,5.473612417001277,Object_Land_Pattern_Small,3,0,10896778.0,10896902.0,124.0
104,choice,choice,21,3.0,Large,2.0,5.473612417001277,Animal_Land_Solid_Small,1,0,10897541.0,10897710.0,169.0
104,choice,choice,21,3.0,Large,2.0,5.473612417001277,Animal_Sea_Pattern_Large,4,1,10898563.0,10898716.0,153.0
104,choice,choice,21,3.0,Large,2.0,5.473612417001277,Object_Land_Pattern_Small,3,0,10898728.0,10898932.0,204.0
104,choice,choice,21,3.0,Large,2.0,5.473612417001277,Object_Land_Solid_Small,0,0,10899631.0,10899884.0,253.0
104,choice,choice,22,3.0,Solid,1.0,1.2939922499936074,Object_Land_Solid_Small,0,1,10903372.0,10903609.0,237.0
