phase,event,trial_number,eyetracker_onset,eyetracker_offset,fix_start,fix_end,fix_duration_full,fix_duration_bounded,fix_x,fix_y,roi_x,roi_y,roi_content,onset,offset,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,Unnamed: 18
encoding,fixation,1,24328419,24328930,24328496.0,24328671.0,176.0,176.0,1938.8,993.8,1920.0,1460.0,Animal_Sea_Pattern_Small,10.84873745799996,11.360212208004668,1.0,Object_Land_Solid_Large,-4.0,,,,,,,,,,,
encoding,fixation,1,24328419,24328930,24328679.0,24328849.0,171.0,171.0,1924.1,1027.6,1920.0,1080.0,fixation,10.84873745799996,11.360212208004668,1.0,Object_Land_Solid_Large,-4.0,,,,,,,,,,,
encoding,fixation,1,24328419,24328930,24328913.0,24329116.0,204.0,17.0,2041.6,1500.5,1920.0,700.0,Object_Land_Solid_Large,10.84873745799996,11.360212208004668,1.0,Object_Land_Solid_Large,-4.0,,,,,,,,,,,
encoding,image,1,24328930,24329946,24329138.0,24329355.0,218.0,218.0,1924.9,1466.5,1920.0,700.0,Object_Land_Solid_Large,11.360322125023233,12.375639792066067,1.0,Object_Land_Solid_Large,-4.0,,,,,,,,,,,
encoding,image,1,24328930,24329946,24329365.0,24330084.0,720.0,581.0,1969.3,1419.5,1920.0,700.0,Object_Land_Solid_Large,11.360322125023233,12.375639792066067,1.0,Object_Land_Solid_Large,-4.0,,,,,,,,,,,
encoding,value,1,24329946,24335960,24330173.0,24330249.0,77.0,77.0,1907.1,1265.8,1920.0,700.0,Object_Land_Solid_Large,12.375754332984798,18.38966483308468,1.0,Object_Land_Solid_Large,-4.0,,,,,,,,,,,
encoding,value,1,24329946,24335960,24330261.0,24330476.0,216.0,216.0,1918.1,1307.2,1920.0,700.0,Object_Land_Solid_Large,12.375754332984798,18.38966483308468,1.0,Object_Land_Solid_Large,-4.0,,,,,,,,,,,
encoding,value,1,24329946,24335960,24330636.0,24331122.0,487.0,487.0,1909.8,1321.9,1920.0,700.0,Object_Land_Solid_Large,12.375754332984798,18.38966483308468,1.0,Object_Land_Solid_Large,-4.0,,,,,,,,,,,
encoding,value,1,24329946,24335960,24331130.0,24331272.0,143.0,143.0,1945.0,1335.4,1920.0,700.0,Object_Land_Solid_Large,12.375754332984798,18.38966483308468,1.0,Object_Land_Solid_Large,-4.0,,,,,,,,,,,
encoding,value,1,24329946,24335960,24331284.0,24331562.0,279.0,279.0,1924.8,1384.8,1920.0,700.0,Object_Land_Solid_Large,12.375754332984798,18.38966483308468,1.0,Object_Land_Solid_Large,-4.0,,,,,,,,,,,
