game,recalled_item,recall_onset,recall_offset,recall_duration,window,total_fixations_all,total_fixations_images,fixations_at_target,fixations_at_other_images,fixations_center,fixations_none,proportion_at_target,proportion_at_other_images,total_fixation_duration_all,total_fixation_duration_images,duration_at_target,duration_at_other_images,duration_center,duration_none,proportion_duration_at_target,proportion_duration_at_other_images
1,Object_Sea_Solid_Large,5700,6900,1200,pre_recall,5,3,1,2,2,0,0.3333333333333333,0.6666666666666666,1380.0,456.0,227.0,229.0,924.0,0.0,0.49780701754385964,0.5021929824561403
1,Object_Sea_Solid_Large,5700,6900,1200,during_recall,2,2,1,1,0,0,0.5,0.5,259.0,259.0,134.0,125.0,0.0,0.0,0.5173745173745173,0.4826254826254826
1,Animal_Land_Solid_Small,9700,9700,0,pre_recall,6,1,0,1,0,5,0.0,1.0,1546.0,404.0,0.0,404.0,0.0,1142.0,0.0,1.0
1,Animal_Land_Solid_Small,9700,9700,0,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Animal_Sea_Solid_Large,9700,10700,1000,pre_recall,6,1,0,1,0,5,0.0,1.0,1546.0,404.0,0.0,404.0,0.0,1142.0,0.0,1.0
1,Animal_Sea_Solid_Large,9700,10700,1000,during_recall,1,0,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1,Animal_Land_Pattern_Small,12500,13500,1000,pre_recall,3,0,0,0,0,3,0.0,0.0,844.0,0.0,0.0,0.0,0.0,844.0,0.0,0.0
1,Animal_Land_Pattern_Small,12500,13500,1000,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Object_Sea_Pattern_Large,15600,16300,700,pre_recall,4,0,0,0,0,4,0.0,0.0,1570.0,0.0,0.0,0.0,0.0,1570.0,0.0,0.0
1,Object_Sea_Pattern_Large,15600,16300,700,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Animal_Land_Solid_Large,2200,3100,900,pre_recall,6,6,2,4,0,0,0.3333333333333333,0.6666666666666666,929.0,929.0,583.0,346.0,0.0,0.0,0.6275565123789021,0.37244348762109797
2,Animal_Land_Solid_Large,2200,3100,900,during_recall,1,1,0,1,0,0,0.0,1.0,30.0,30.0,0.0,30.0,0.0,0.0,0.0,1.0
2,Object_Sea_Pattern_Large,4300,5000,700,pre_recall,6,6,1,5,0,0,0.16666666666666666,0.8333333333333334,1295.0,1295.0,170.0,1125.0,0.0,0.0,0.13127413127413126,0.8687258687258688
2,Object_Sea_Pattern_Large,4300,5000,700,during_recall,1,1,0,1,0,0,0.0,1.0,38.0,38.0,0.0,38.0,0.0,0.0,0.0,1.0
2,Object_Land_Pattern_Large,5800,6500,700,pre_recall,5,5,0,5,0,0,0.0,1.0,1108.0,1108.0,0.0,1108.0,0.0,0.0,0.0,1.0
2,Object_Land_Pattern_Large,5800,6500,700,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Animal_Sea_Solid_Small,7200,8100,900,pre_recall,3,3,1,2,0,0,0.3333333333333333,0.6666666666666666,471.0,471.0,331.0,140.0,0.0,0.0,0.70276008492569,0.29723991507430997
2,Animal_Sea_Solid_Small,7200,8100,900,during_recall,1,1,0,1,0,0,0.0,1.0,201.0,201.0,0.0,201.0,0.0,0.0,0.0,1.0
2,Object_Land_Solid_Small,8700,9800,1100,pre_recall,3,3,1,2,0,0,0.3333333333333333,0.6666666666666666,718.0,718.0,196.0,522.0,0.0,0.0,0.27298050139275765,0.7270194986072424
2,Object_Land_Solid_Small,8700,9800,1100,during_recall,2,1,1,0,0,1,1.0,0.0,308.0,240.0,240.0,0.0,0.0,68.0,1.0,0.0
2,Animal_Sea_Pattern_Small,14500,14900,400,pre_recall,10,2,1,1,0,8,0.5,0.5,2053.0,386.0,236.0,150.0,0.0,1667.0,0.6113989637305699,0.38860103626943004
2,Animal_Sea_Pattern_Small,14500,14900,400,during_recall,1,0,0,0,0,1,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
3,Animal_Land_Solid_Large,2100,3000,900,pre_recall,4,3,3,0,1,0,1.0,0.0,1083.0,911.0,911.0,0.0,172.0,0.0,1.0,0.0
3,Animal_Land_Solid_Large,2100,3000,900,during_recall,1,1,1,0,0,0,1.0,0.0,238.0,238.0,238.0,0.0,0.0,0.0,1.0,0.0
3,Animal_Sea_Solid_Large,3000,4500,1500,pre_recall,4,3,0,3,1,0,0.0,1.0,1083.0,911.0,0.0,911.0,172.0,0.0,0.0,1.0
3,Animal_Sea_Solid_Large,3000,4500,1500,during_recall,1,1,1,0,0,0,1.0,0.0,144.0,144.0,144.0,0.0,0.0,0.0,1.0,0.0
3,Object_Sea_Pattern_Small,5300,6200,900,pre_recall,1,1,1,0,0,0,1.0,0.0,667.0,667.0,667.0,0.0,0.0,0.0,1.0,0.0
3,Object_Sea_Pattern_Small,5300,6200,900,during_recall,3,2,1,1,0,1,0.5,0.5,469.0,410.0,273.0,137.0,0.0,59.0,0.6658536585365854,0.33414634146341465
3,Object_Land_Pattern_Large,7400,8100,700,pre_recall,4,4,2,2,0,0,0.5,0.5,1739.0,1739.0,548.0,1191.0,0.0,0.0,0.31512363427257045,0.6848763657274296
3,Object_Land_Pattern_Large,7400,8100,700,during_recall,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Object_Sea_Solid_Small,10700,11600,900,pre_recall,6,2,0,2,1,3,0.0,1.0,2255.0,259.0,0.0,259.0,251.0,1745.0,0.0,1.0
3,Object_Sea_Solid_Small,10700,11600,900,during_recall,2,0,0,0,0,2,0.0,0.0,304.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0
4,Object_Sea_Solid_Large,1700,2800,1100,pre_recall,2,2,2,0,0,0,1.0,0.0,495.0,495.0,495.0,0.0,0.0,0.0,1.0,0.0
4,Object_Sea_Solid_Large,1700,2800,1100,during_recall,2,2,0,2,0,0,0.0,1.0,243.0,243.0,0.0,243.0,0.0,0.0,0.0,1.0
4,Animal_Sea_Solid_Large,2800,3600,800,pre_recall,2,2,0,2,0,0,0.0,1.0,495.0,495.0,0.0,495.0,0.0,0.0,0.0,1.0
4,Animal_Sea_Solid_Large,2800,3600,800,during_recall,2,2,0,2,0,0,0.0,1.0,452.0,452.0,0.0,452.0,0.0,0.0,0.0,1.0
4,Animal_Land_Pattern_Small,3600,4800,1200,pre_recall,2,2,0,2,0,0,0.0,1.0,495.0,495.0,0.0,495.0,0.0,0.0,0.0,1.0
