thisRow.t,notes,phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
,,encoding,fixation,17.743150874972343,18.501686416799203,1,1,Object_Land_Pattern_Small,5,,,,,,,,,,,
,,encoding,image,18.50179129175376,19.522630833438598,1,1,Object_Land_Pattern_Small,5,,,,,,,,,,,
,,encoding,value,19.522739375010133,25.533198624965735,1,1,Object_Land_Pattern_Small,5,,,,,,,,,,,
,,encoding,attention,25.5333123333985,28.54736262501683,1,1,Object_Land_Pattern_Small,5,+5,1,0.8410476666176692,,,,,,,,
,,encoding,fixation,28.547493916703388,29.551105291815475,2,1,Object_Land_Solid_Small,-9,,,,,,,,,,,
,,encoding,image,29.55121499998495,30.56051233340986,2,1,Object_Land_Solid_Small,-9,,,,,,,,,,,
,,encoding,value,30.56068850005977,36.57118054176681,2,1,Object_Land_Solid_Small,-9,,,,,,,,,,,
,,encoding,attention,36.57134945841972,39.58480266679544,2,1,Object_Land_Solid_Small,-9,-9,1,0.8259799584047869,,,,,,,,
,,encoding,fixation,39.584969208342955,40.33859495841898,3,1,Object_Sea_Solid_Large,9,,,,,,,,,,,
,,encoding,image,40.338696458376944,41.34848570835311,3,1,Object_Sea_Solid_Large,9,,,,,,,,,,,
,,encoding,value,41.34858916676603,47.35718058340717,3,1,Object_Sea_Solid_Large,9,,,,,,,,,,,
,,encoding,attention,47.35729033336975,50.371127041755244,3,1,Object_Sea_Solid_Large,9,+9,1,0.9270596666028723,,,,,,,,
,,encoding,fixation,50.371254458324984,51.874825875042006,4,1,Animal_Land_Pattern_Small,1,,,,,,,,,,,
,,encoding,image,51.87495375005528,52.88387387502007,4,1,Animal_Land_Pattern_Small,1,,,,,,,,,,,
,,encoding,value,52.883997583412565,58.89282033336349,4,1,Animal_Land_Pattern_Small,1,,,,,,,,,,,
,,encoding,attention,58.89293695834931,61.90901795832906,4,1,Animal_Land_Pattern_Small,1,+1,1,0.6851897082524374,,,,,,,,
,,encoding,fixation,61.909148583421484,62.41295841673855,5,1,Animal_Sea_Pattern_Large,-5,,,,,,,,,,,
,,encoding,image,62.413059624959715,63.42244750005193,5,1,Animal_Sea_Pattern_Large,-5,,,,,,,,,,,
,,encoding,value,63.42256262502633,69.43099412496667,5,1,Animal_Sea_Pattern_Large,-5,,,,,,,,,,,
,,encoding,attention,69.43110575003084,72.4441060833633,5,1,Animal_Sea_Pattern_Large,-5,-5,1,1.5564285416621715,,,,,,,,
,,encoding,fixation,72.44423124997411,73.19796279177535,6,1,Animal_Sea_Solid_Large,-1,,,,,,,,,,,
,,encoding,image,73.19810891675297,74.20707400003448,6,1,Animal_Sea_Solid_Large,-1,,,,,,,,,,,
,,encoding,value,74.20718258339912,80.21582570835017,6,1,Animal_Sea_Solid_Large,-1,,,,,,,,,,,
