bin_center,mean_distance,sem_distance,n_samples,chance_level,chance_ci_95
-2975.0,89.38931974994135,1.6920330456640793,821,90,7.600561751768197
-2925.0,88.41419210515664,1.613412640778686,808,90,7.600561751768197
-2875.0,82.76128488052255,1.524974732442275,845,90,7.600561751768197
-2825.0,89.15766362680131,1.6794061236187228,816,90,7.600561751768197
-2775.0,88.97183670678407,1.9427231142522607,680,90,7.600561751768197
-2725.0,92.23161751254985,2.0077521095149904,674,90,7.600561751768197
-2675.0,87.4268687927694,1.8048465483577272,785,90,7.600561751768197
-2625.0,91.34617381855924,1.8517141200393357,825,90,7.600561751768197
-2575.0,95.52145317899492,1.7797291019774195,850,90,7.600561751768197
-2525.0,97.55011440009046,1.7982905739446893,850,90,7.600561751768197
-2475.0,97.91845707439168,1.957060845118455,763,90,7.600561751768197
-2425.0,102.8944272931287,2.1746441257157016,650,90,7.600561751768197
-2375.0,100.7332340805191,2.16194131884075,628,90,7.600561751768197
-2325.0,102.83028244659631,1.94751001277036,738,90,7.600561751768197
-2275.0,90.63145113291675,1.908545798624551,742,90,7.600561751768197
-2225.0,92.4394900148176,1.8723425328717098,677,90,7.600561751768197
-2175.0,78.63312093358547,1.8015057481279677,791,90,7.600561751768197
-2125.0,78.76673651555927,1.7492693768818528,757,90,7.600561751768197
-2075.0,87.06944132206576,2.0388822561360684,746,90,7.600561751768197
-2025.0,89.72949029296561,2.1661041882076475,708,90,7.600561751768197
-1975.0,88.17069529535435,2.085525371710861,750,90,7.600561751768197
-1925.0,99.89777995819067,1.804672477638359,797,90,7.600561751768197
-1875.0,102.58629444926558,1.6666707360201807,848,90,7.600561751768197
-1825.0,100.88699402604564,1.61829232954226,896,90,7.600561751768197
-1775.0,97.71492878533671,1.6076357254670144,892,90,7.600561751768197
-1725.0,93.43020646910215,1.653322160523198,850,90,7.600561751768197
-1675.0,87.71029157483315,1.7312779216818643,800,90,7.600561751768197
-1625.0,86.08000017129294,1.8550567837132745,783,90,7.600561751768197
-1575.0,78.51816673550877,1.9258770334705404,607,90,7.600561751768197
-1525.0,68.63406372257921,1.9005294676800124,568,90,7.600561751768197
-1475.0,63.82577235014852,1.8922808136613203,578,90,7.600561751768197
-1425.0,65.1516320614371,1.9167883814856952,616,90,7.600561751768197
-1375.0,59.413789676112636,1.903653582374334,647,90,7.600561751768197
-1325.0,57.19190172138205,1.872161746869453,650,90,7.600561751768197
-1275.0,58.3685748961121,1.7618540905845794,697,90,7.600561751768197
-1225.0,51.00448828785569,1.8058228831988024,700,90,7.600561751768197
-1175.0,44.134431283967025,1.8672719152625517,651,90,7.600561751768197
-1125.0,45.852615541287406,1.8968453136240957,659,90,7.600561751768197
-1075.0,36.48345541227348,1.7488943763717628,650,90,7.600561751768197
-1025.0,40.1315016533203,1.925970673184847,630,90,7.600561751768197
-975.0,44.136133740302526,1.798567317368367,570,90,7.600561751768197
-925.0,46.46369868600942,1.6346926529008332,544,90,7.600561751768197
-875.0,52.19179119066616,1.8559816736515684,419,90,7.600561751768197
-825.0,56.30802426764947,1.9866735044776813,443,90,7.600561751768197
-775.0,51.42710638756757,2.110427554665034,450,90,7.600561751768197
-725.0,49.26364486966653,1.922172017081296,497,90,7.600561751768197
-675.0,50.97360622262683,1.909688397669631,500,90,7.600561751768197
-625.0,51.8193255924207,1.9184592926186168,497,90,7.600561751768197
-575.0,50.2741134368053,2.091019439564303,450,90,7.600561751768197
-525.0,49.11914957812837,2.10874261529936,450,90,7.600561751768197
-475.0,48.918036645693036,1.6742270607182537,470,90,7.600561751768197
-425.0,45.303495290789165,1.369976990977217,472,90,7.600561751768197
-375.0,43.80008241478591,1.2770601374461676,500,90,7.600561751768197
-325.0,42.1026001324833,1.2084401313035698,500,90,7.600561751768197
-275.0,35.618529300112314,0.8912455106520365,452,90,7.600561751768197
-225.0,36.92034769862359,1.0463821755466824,459,90,7.600561751768197
-175.0,47.48086494780702,1.3865364794447497,452,90,7.600561751768197
-125.0,50.884787399157666,1.3766729798320587,468,90,7.600561751768197
-75.0,49.37561058745456,1.4509116586878323,435,90,7.600561751768197
-25.0,54.18992852548501,1.5996442033339497,400,90,7.600561751768197
25.0,54.688851000727624,1.3264817170545349,1093,90,7.600561751768197
75.0,57.080182249912525,1.3958496745735955,1038,90,7.600561751768197
125.0,62.58546173680547,1.457198402855955,983,90,7.600561751768197
175.0,57.420239624512284,1.3912085984803328,1019,90,7.600561751768197
225.0,50.835688540786585,1.315358660810013,1037,90,7.600561751768197
275.0,57.696512994904126,1.4654343533708678,1079,90,7.600561751768197
325.0,54.70066271776226,1.4374343363225357,1068,90,7.600561751768197
375.0,62.4530037962856,1.4976406920166452,1024,90,7.600561751768197
425.0,69.0018038910236,1.5191886685150247,1050,90,7.600561751768197
475.0,72.95270699878908,1.5478751368423296,1013,90,7.600561751768197
525.0,72.67279244082363,1.6322279878849362,928,90,7.600561751768197
575.0,72.04632661897824,1.640921578623796,920,90,7.600561751768197
625.0,85.13653393160445,1.8515951339716936,872,90,7.600561751768197
675.0,82.94718437275863,1.696516790185943,994,90,7.600561751768197
725.0,87.7810445518629,1.8903413270354759,872,90,7.600561751768197
