phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
encoding,fixation,11.797998917056248,13.06810645898804,1,1,Object_Land_Pattern_Large,-3,,,,,,,,,,,
encoding,image,13.06825283402577,14.09268983406946,1,1,Object_Land_Pattern_Large,-3,,,,,,,,,,,
encoding,value,14.092803166946396,20.11025141691789,1,1,Object_Land_Pattern_Large,-3,,,,,,,,,,,
encoding,attention,20.11037812498398,23.128155624959618,1,1,Object_Land_Pattern_Large,-3,-3,1,2.951350332936272,,,,,,,,
encoding,fixation,23.128287167055532,24.133194042136893,2,1,Animal_Sea_Pattern_Small,5,,,,,,,,,,,
encoding,image,24.133297834079713,25.143531542038545,2,1,Animal_Sea_Pattern_Small,5,,,,,,,,,,,
encoding,value,25.14371370896697,31.156440125079826,2,1,Animal_Sea_Pattern_Small,5,,,,,,,,,,,
encoding,attention,31.156539791962132,34.17405312508345,2,1,Animal_Sea_Pattern_Small,5,+5,1,1.395115708000958,,,,,,,,
encoding,fixation,34.17421929212287,35.43068120907992,3,1,Object_Sea_Solid_Small,-5,,,,,,,,,,,
encoding,image,35.43078249995597,36.44080908410251,3,1,Object_Sea_Solid_Small,-5,,,,,,,,,,,
encoding,value,36.44091737503186,42.45195333403535,3,1,Object_Sea_Solid_Small,-5,,,,,,,,,,,
encoding,attention,42.45208008401096,45.470188667066395,3,1,Object_Sea_Solid_Small,-5,-5,1,2.7234574160538614,,,,,,,,
encoding,fixation,45.470337042119354,46.97514008404687,4,1,Object_Land_Solid_Large,9,,,,,,,,,,,
encoding,image,46.97525358409621,47.98600645898841,4,1,Object_Land_Solid_Large,9,,,,,,,,,,,
encoding,value,47.98610954196192,53.99990520905703,4,1,Object_Land_Solid_Large,9,,,,,,,,,,,
encoding,attention,54.00000762497075,57.016337167005986,4,1,Object_Land_Solid_Large,9,+9,1,1.920409250073135,,,,,,,,
encoding,fixation,57.016495584044605,58.52132137492299,5,1,Animal_Land_Pattern_Large,-8,,,,,,,,,,,
encoding,image,58.521436041919515,59.53335537505336,5,1,Animal_Land_Pattern_Large,-8,,,,,,,,,,,
encoding,value,59.53347408398986,65.54480812512338,5,1,Animal_Land_Pattern_Large,-8,,,,,,,,,,,
encoding,attention,65.5449215839617,68.60537629202008,5,1,Animal_Land_Pattern_Large,-8,-8,1,1.4274857079144567,,,,,,,,
encoding,fixation,68.60551566700451,69.86051566712558,6,1,Animal_Sea_Solid_Small,1,,,,,,,,,,,
encoding,image,69.86071070912294,70.87177670910023,6,1,Animal_Sea_Solid_Small,1,,,,,,,,,,,
encoding,value,70.87187833408825,76.88415850000456,6,1,Animal_Sea_Solid_Small,1,,,,,,,,,,,
encoding,attention,76.88429191708565,79.90487570897676,6,1,Animal_Sea_Solid_Small,1,+1,1,1.6977319170255214,,,,,,,,
n-back,,,,1,1,,,,0,None,Z,True,None,,,,,
n-back,,,,2,1,,,,1,None,C,False,None,,,,,
n-back,,,,3,1,,,,1,None,B,False,None,,,,,
n-back,,,,4,1,,,,1,None,X,False,None,,,,,
n-back,,,,5,1,,,,1,None,Z,False,None,,,,,
n-back,,,,6,1,,,,1,1.1669143331237137,X,True,1,,,,,
n-back,,,,7,1,,,,1,None,N,False,None,,,,,
n-back,,,,8,1,,,,1,None,Z,False,None,,,,,
n-back,,,,9,1,,,,1,None,X,False,None,,,,,
n-back,,,,10,1,,,,1,None,B,False,None,,,,,
n-back,,,,11,1,,,,1,None,B,False,None,,,,,
n-back,,,,12,1,,,,1,None,V,False,None,,,,,
n-back,,,,13,1,,,,1,None,C,False,None,,,,,
n-back,,,,14,1,,,,1,0.6553145418874919,V,True,1,,,,,
n-back,,,,15,1,,,,1,None,X,False,None,,,,,
n-back,,,,16,1,,,,0,None,V,True,None,,,,,
n-back,,,,17,1,,,,1,None,N,False,None,,,,,
n-back,,,,18,1,,,,1,None,X,False,None,,,,,
n-back,,,,19,1,,,,1,None,X,False,None,,,,,
n-back,,,,20,1,,,,1,0.5766615001484752,X,True,1,,,,,
n-back,,,,21,1,,,,1,None,N,False,None,,,,,
n-back,,,,22,1,,,,1,None,N,False,None,,,,,
n-back,,,,23,1,,,,1,None,C,False,None,,,,,
n-back,,,,24,1,,,,1,0.39493533316999674,N,True,1,,,,,
n-back,,,,25,1,,,,0,None,C,True,None,,,,,
n-back,,,,26,1,,,,1,None,Z,False,None,,,,,
n-back,,,,27,1,,,,1,None,X,False,None,,,,,
n-back,,,,28,1,,,,1,0.4642303748987615,Z,True,1,,,,,
n-back,,,,29,1,,,,0,None,X,True,None,,,,,
n-back,,,,30,1,,,,1,0.6975159591529518,Z,True,1,,,,,
choice,fixation,168.21974541712552,169.47603866714053,1,1,,,,,,,,,Solid,,,,
choice,option,169.48552650003694,170.70270304195583,1,1,,,,,,,,,Solid,,,,
choice,choice,170.70282954210415,183.0499154170975,1,1,,,1,1,11.335592957912013,,,,Solid,,,,
choice,fixation,183.05003316700459,183.55504870903678,2,1,,,,,,,,,Land,,,,
choice,option,183.5641227499582,184.5925724999979,2,1,,,,,,,,,Land,,,,
choice,choice,184.592730833916,192.14420537510887,2,1,,,2,1,6.53906058287248,,,,Land,,,,
choice,fixation,192.14440966700204,192.9008000420872,3,1,,,,,,,,,Object,,,,
choice,option,192.91040583397262,193.93770237499848,3,1,,,,,,,,,Object,,,,
choice,choice,193.9378124170471,208.02140433411114,3,1,,,2,0,13.0729735000059,,,,Object,,,,
choice,fixation,208.02152845892124,208.77668595896102,4,1,,,,,,,,,Small,,,,
choice,option,208.7855862090364,209.8128530839458,4,1,,,,,,,,,Small,,,,
choice,choice,209.81296787504107,213.06702391710132,4,1,,,1,1,2.241690833121538,,,,Small,,,,
choice,fixation,213.06714358413592,213.5723417501431,5,1,,,,,,,,,Animal,,,,
choice,option,213.58253645896912,214.60970445908606,5,1,,,,,,,,,Animal,,,,
choice,choice,214.60980650014244,221.18509741709568,5,1,,,1,0,5.565580290975049,,,,Animal,,,,
choice,fixation,221.1852136249654,222.19099341705441,6,1,,,,,,,,,Sea,,,,
choice,option,222.19962245901115,223.2269141669385,6,1,,,,,,,,,Sea,,,,
choice,choice,223.22702695894986,230.19391929195262,6,1,,,1,1,5.956377957947552,,,,Sea,,,,
choice,fixation,230.19404695904814,231.70051779202186,7,1,,,,,,,,,Pattern,,,,
choice,option,231.70972037501633,232.73811158398166,7,1,,,,,,,,,Pattern,,,,
choice,choice,232.73822987498716,237.08914733398706,7,1,,,2,1,3.3413581249769777,,,,Pattern,,,,
choice,fixation,237.08927258406766,238.59421512507834,8,1,,,,,,,,,Large,,,,
choice,option,238.60345012508333,239.6327792920638,8,1,,,,,,,,,Large,,,,
choice,choice,239.63289041700773,243.6572954589501,8,1,,,2,1,3.014820500044152,,,,Large,,,,
memory,free_recall,313.22779670893215,331.1502049169503,0,1,,,,,,,,,,,,,
memory,value_recall,376.52251375000924,380.70015024999157,1,1,Animal_Sea_Solid_Small,,,,4.173656958155334,,,,,1,,,
memory,value_recall,382.2507601249963,386.701039833948,2,1,Animal_Land_Pattern_Large,,,,4.446077041095123,,,,,-8,,,
memory,value_recall,388.75032079196535,390.41829650010914,3,1,Object_Land_Pattern_Large,,,,1.6640036669559777,,,,,-3,,,
memory,value_recall,392.46428225003183,395.47543662507087,4,1,Object_Land_Solid_Large,,,,3.0072305828798562,,,,,9,,,
memory,value_recall,397.5236520001199,401.61506225005724,5,1,Animal_Sea_Pattern_Small,,,,4.086956124985591,,,,,5,,,
memory,value_recall,402.6620612919796,405.3620695839636,6,1,Object_Sea_Solid_Small,,,,2.6965253751259297,,,,,-5,,,
memory,spatial_recall,430.5512186670676,436.393081584014,6,1,Object_Land_Solid_Large,,,1,5.838581457966939,,,,,,"[329, -190]","[329, -190]",
