game,original_item,item,onset,offset
1,PLUS,PLUS,3.8,4.6
1,9,9,4.6,4.8
1,MINUS,MINUS,32.3,33.1
1,9,9,33.1,33.3
1,PLUS,PLUS,44.9,45.4
1,2,2,45.4,45.6
1,MINUS,MINUS,50.5,51.2
1,2,2,51.2,51.3
1,+,+,71.2,72.2
1,9,9,72.2,72.4
1,MINUS,MINUS,79.1,80.1
1,2,2,80.1,80.5
2,NEGATIVE,NEGATIVE,6.3,7.5
2,7,7,8.8,8.9
2,PLUS,PLUS,19.2,20.0
2,3,3,20.0,20.5
2,PLUS,PLUS,29.2,29.9
2,2,2,29.9,30.1
2,PLUS,PLUS,45.6,46.2
2,9,9,46.2,46.2
2,PLUS,PLUS,51.3,51.6
2,3,3,51.6,51.9
2,MINUS,MINUS,61.9,62.8
2,7,7,62.8,63.0
3,MINUS,MINUS,3.9,4.9
3,8,8,4.9,5.2
3,PLUS,PLUS,14.1,14.8
3,3,3,14.8,14.9
3,MINUS,MINUS,22.1,23.1
3,3,3,23.1,23.3
3,PLUS,PLUS,30.8,31.5
3,7,7,31.5,31.7
3,PLUS,PLUS,35.5,35.8
3,8,8,35.8,36.1
3,MINUS,MINUS,42.3,43.1
3,8,8,43.1,43.3
4,PLUS,PLUS,3.7,4.5
4,7,7,4.5,4.6
4,MINUS,MINUS,13.4,14.1
4,7,7,14.1,14.3
4,PLUS,PLUS,18.1,18.6
4,3,3,18.6,18.8
4,MINUS,MINUS,26.3,27.0
4,3,3,27.0,27.4
4,PLUS,PLUS,45.2,45.7
4,6,6,45.7,46.0
4,MINUS,MINUS,55.1,55.6
4,2,2,55.6,56.0
5,PLUS,PLUS,10.2,10.9
5,3,3,10.9,11.2
5,MINUS,MINUS,22.6,23.4
5,5,5,23.4,23.5
5,PLUS,PLUS,29.3,29.6
5,2,2,29.6,29.9
5,MINUS,MINUS,51.9,52.4
5,1,1,52.4,52.7
5,+,+,67.8,68.6
5,3,3,68.6,68.7
5,MINUS,MINUS,75.8,76.5
5,7,7,76.5,76.7
6,MINUS,MINUS,8.1,9.0
6,7,7,9.0,9.2
6,+,+,15.7,16.4
6,9,9,16.4,16.5
6,MINUS,MINUS,21.3,22.1
6,9,9,22.1,22.2
6,MINUS,MINUS,30.6,31.3
6,6,6,31.3,31.5
6,MINUS,MINUS,38.1,38.6
6,3,3,38.6,39.0
6,MINUS,MINUS,44.7,45.1
6,1,1,45.1,45.3
7,PLUS,PLUS,10.2,11.0
7,3,3,11.0,11.2
7,MINUS,MINUS,26.2,27.0
7,5,5,27.0,27.2
7,MINUS,MINUS,32.1,32.8
7,9,9,32.8,33.0
7,MINUS,MINUS,48.6,49.0
7,4,4,49.0,49.3
7,MINUS,MINUS,62.0,62.9
7,6,6,62.9,63.0
7,PLUS,PLUS,71.4,71.9
7,1,1,71.9,72.2
