game,original_item,item,onset,offset
1,LADYBUG,Animal_Land_Pattern_Small,3.5,4.4
1,SUBMARINE,Object_Sea_Solid_Large,5.1,6.1
1,SNORKEL,Object_Sea_Solid_Small,6.1,7.6
1,ZEBRA,Animal_Land_Pattern_Large,8.8,10.0
1,BIRD,Animal_Land_Solid_Small,15.3,16.0
1,BOAT,Object_Sea_Pattern_Large,18.9,19.4
2,LION,Animal_Land_Solid_Large,2.6,3.8
2,FLOATIE,Object_Sea_Pattern_Small,12.9,13.7
2,SNORKEL,Object_Sea_Solid_Small,27.2,28.8
2,LADYBUG,Animal_Land_Pattern_Small,40.7,41.5
3,HAT,Object_Land_Pattern_Small,11.6,12.7
3,WELL,Animal_Sea_Pattern_Large,12.7,12.9
3,BOWTIE,Object_Land_Solid_Small,16.9,18.1
3,FISH,Animal_Sea_Pattern_Small,19.1,19.5
3,COUCH,Object_Land_Solid_Large,28.4,29.0
3,SEAL,Animal_Sea_Solid_Large,30.2,30.6
4,ZEBRA,Animal_Land_Pattern_Large,5.1,6.1
4,LADYBUG,Animal_Land_Pattern_Small,10.0,11.1
4,SUBMARINE,Object_Sea_Solid_Large,14.6,15.5
4,BOAT,Object_Sea_Pattern_Large,16.1,16.9
4,BIRD,Animal_Land_Solid_Small,28.0,28.6
5,LION,Animal_Land_Solid_Large,2.3,3.2
5,CRAB,Animal_Sea_Solid_Small,3.2,4.2
5,FLOATIES,Object_Sea_Pattern_Small,9.1,10.4
5,BOAT,Object_Sea_Pattern_Large,14.7,15.7
5,BOWTIE,Object_Land_Solid_Small,29.2,30.8
6,SEAL,Animal_Sea_Solid_Large,3.7,4.5
6,BOWTIE,Object_Land_Solid_Small,11.1,12.1
6,FISH,Animal_Sea_Pattern_Small,13.2,13.8
6,WHALE,Animal_Sea_Pattern_Large,36.2,36.6
7,ZEBRA,Animal_Land_Pattern_Large,2.7,3.7
7,BOAT,Object_Sea_Pattern_Large,8.0,8.6
7,LADYBUG,Animal_Land_Pattern_Small,11.1,12.0
7,SNORKEL,Object_Sea_Solid_Small,38.2,38.9
