effect,component,term,estimate,std.error,conf.low,conf.high
fixed,cond,feature_dimanimacy,0.04719361981887402,0.009080301992908175,0.029067227590441592,0.06494710460433317
fixed,cond,feature_dimenvironment,0.028221874893501347,0.0099532018326842,0.008212418696556242,0.04769986210450513
fixed,cond,feature_dimsize,0.03590171790624627,0.008929916300463095,0.01844830317718724,0.05386650598857646
fixed,cond,feature_dimtexture,0.03720988862464074,0.008521476221299118,0.020845494059399002,0.0538927153265315
fixed,cond,feature_dimanimacy:decision_c,-0.003832448071498259,0.017693024581717457,-0.038090699752690756,0.031242072220510446
fixed,cond,feature_dimenvironment:decision_c,0.010085933028335546,0.01853244505883748,-0.026277559979813014,0.047749430714822495
fixed,cond,feature_dimsize:decision_c,0.01716024660093112,0.017361384996382293,-0.01651158524795756,0.05084333836996379
fixed,cond,feature_dimtexture:decision_c,-0.014330381590709032,0.017357205009570432,-0.047700703547572304,0.01964161484085733
fixed,cond,feature_dimanimacy:valence_c,0.015243306344289597,0.02161603035363127,-0.026957843278691197,0.05856616837713395
fixed,cond,feature_dimenvironment:valence_c,0.003837798812116355,0.019320955172123462,-0.033718630631782376,0.04293300828087118
fixed,cond,feature_dimsize:valence_c,0.02401048387339925,0.019575392137674206,-0.013621958737203638,0.06274599153298739
fixed,cond,feature_dimtexture:valence_c,0.019768652477830266,0.02040296878901827,-0.020251050003427567,0.061153573894558555
fixed,cond,feature_dimanimacy:decision_c:valence_c,0.12915222971895177,0.05125073696810168,0.02714157633937388,0.2279055636058318
fixed,cond,feature_dimenvironment:decision_c:valence_c,0.0598434702092022,0.041140222096533695,-0.021045513752992157,0.14044801547246244
fixed,cond,feature_dimsize:decision_c:valence_c,0.15563289215507478,0.05042774690388954,0.05567360744712947,0.25633606331492387
fixed,cond,feature_dimtexture:decision_c:valence_c,0.0466768208420635,0.04239820501211141,-0.03688150881707598,0.1296188796359124
