seed,statistic,location,decoder,r2,shuffle,shuffle_iter
8,V_t,agg,Ridge,0.9169815566666338,False,-1
8,V_t,agg,MLP,0.9669532197891565,False,-1
8,V_t,agg,Ridge,-0.0004983025161032328,True,0
8,V_t,agg,MLP,-0.01035290027191076,True,0
8,V_t,agg,Ridge,-0.0007026069633933041,True,1
8,V_t,agg,MLP,-0.00962844184666416,True,1
8,V_t,agg,Ridge,-0.0008450175398482696,True,2
8,V_t,agg,MLP,-0.009703787735541036,True,2
8,V_t,agg,Ridge,-0.0011970075431266824,True,3
8,V_t,agg,MLP,-0.008403253835534441,True,3
8,V_t,agg,Ridge,-0.0008425057613718589,True,4
8,V_t,agg,MLP,-0.010526345290691231,True,4
8,V_t,agg,Ridge,-0.0008854008591326901,True,5
8,V_t,agg,MLP,-0.008832800642869643,True,5
8,V_t,agg,Ridge,-0.0007371519674810756,True,6
8,V_t,agg,MLP,-0.009722591999333919,True,6
8,V_t,agg,Ridge,-0.0009685065776368962,True,7
8,V_t,agg,MLP,-0.011579422107963522,True,7
8,V_t,agg,Ridge,-0.0009685338515666775,True,8
8,V_t,agg,MLP,-0.009740666127366104,True,8
8,V_t,agg,Ridge,-0.0010932176685493733,True,9
8,V_t,agg,MLP,-0.009999050847623847,True,9
8,mu,0,Ridge,0.4516863054828731,False,-1
8,mu,0,MLP,0.8304144650517603,False,-1
8,mu,0,Ridge,-0.0007153507871203946,True,0
8,mu,0,MLP,-0.010281208105767537,True,0
8,mu,0,Ridge,-0.0007071421916718279,True,1
8,mu,0,MLP,-0.012794269429215976,True,1
8,mu,0,Ridge,-0.00082738629617789,True,2
8,mu,0,MLP,-0.012009983770175703,True,2
8,mu,0,Ridge,-0.0006837195725834632,True,3
8,mu,0,MLP,-0.01080734615288117,True,3
8,mu,0,Ridge,-0.000824277465193779,True,4
8,mu,0,MLP,-0.01141400453235395,True,4
8,mu,0,Ridge,-0.0005114085478549191,True,5
8,mu,0,MLP,-0.011611150793756454,True,5
8,mu,0,Ridge,-0.0010570220763992833,True,6
8,mu,0,MLP,-0.01214175083851381,True,6
8,mu,0,Ridge,-0.0010023282946121537,True,7
8,mu,0,MLP,-0.011312841910501614,True,7
8,mu,0,Ridge,-0.0007744411163431497,True,8
8,mu,0,MLP,-0.01079538942626943,True,8
8,mu,0,Ridge,-0.0004950548738622551,True,9
8,mu,0,MLP,-0.012545896093961461,True,9
8,mu,1,Ridge,0.3985462239930301,False,-1
8,mu,1,MLP,0.7903561593796977,False,-1
8,mu,1,Ridge,-0.0011243868669013502,True,0
8,mu,1,MLP,-0.01259919970947041,True,0
8,mu,1,Ridge,-0.0008571629643606471,True,1
8,mu,1,MLP,-0.012114133999727272,True,1
8,mu,1,Ridge,-0.000833783237776764,True,2
8,mu,1,MLP,-0.01105099039048909,True,2
8,mu,1,Ridge,-0.0008407180504622413,True,3
8,mu,1,MLP,-0.010880074153124752,True,3
8,mu,1,Ridge,-0.0007268179593709956,True,4
8,mu,1,MLP,-0.013301115144789977,True,4
8,mu,1,Ridge,-0.0009534264848211737,True,5
8,mu,1,MLP,-0.01226009891551132,True,5
8,mu,1,Ridge,-0.0007686724208921358,True,6
8,mu,1,MLP,-0.011469688429806446,True,6
8,mu,1,Ridge,-0.0007322202803800249,True,7
8,mu,1,MLP,-0.011880701935806925,True,7
8,mu,1,Ridge,-0.0010523171761905648,True,8
8,mu,1,MLP,-0.010384611525099664,True,8
8,mu,1,Ridge,-0.0006450253269333128,True,9
8,mu,1,MLP,-0.012207765347571531,True,9
8,mu,2,Ridge,0.46849630187733304,False,-1
8,mu,2,MLP,0.8498236942570104,False,-1
8,mu,2,Ridge,-0.000986181944887221,True,0
8,mu,2,MLP,-0.01212746276626735,True,0
8,mu,2,Ridge,-0.0005901602236396241,True,1
8,mu,2,MLP,-0.01091426806165079,True,1
8,mu,2,Ridge,-0.0008279037351741403,True,2
8,mu,2,MLP,-0.0095824682331505,True,2
8,mu,2,Ridge,-0.0012331973925091334,True,3
8,mu,2,MLP,-0.012245631878924624,True,3
8,mu,2,Ridge,-0.0006406354007807647,True,4
8,mu,2,MLP,-0.011118011501242897,True,4
8,mu,2,Ridge,-0.0003637701872884369,True,5
8,mu,2,MLP,-0.010790936394283746,True,5
8,mu,2,Ridge,-0.0007201698811508006,True,6
8,mu,2,MLP,-0.010999656280034964,True,6
8,mu,2,Ridge,-0.0010421664677953135,True,7
8,mu,2,MLP,-0.010851258187072244,True,7
8,mu,2,Ridge,-0.0007542699698724232,True,8
8,mu,2,MLP,-0.011852352603455473,True,8
8,mu,2,Ridge,-0.0006972412676973239,True,9
8,mu,2,MLP,-0.010445790558186507,True,9
8,mu,3,Ridge,0.32121752924151564,False,-1
8,mu,3,MLP,0.797649218947835,False,-1
8,mu,3,Ridge,-0.0006819094998840036,True,0
8,mu,3,MLP,-0.00977738215081847,True,0
8,mu,3,Ridge,-0.0006169376379915548,True,1
8,mu,3,MLP,-0.01114496035512067,True,1
8,mu,3,Ridge,-0.0007189046454450399,True,2
8,mu,3,MLP,-0.011332763221780562,True,2
8,mu,3,Ridge,-0.001016424212114364,True,3
8,mu,3,MLP,-0.010268755816418063,True,3
8,mu,3,Ridge,-0.001011373986497377,True,4
8,mu,3,MLP,-0.012128873743169066,True,4
8,mu,3,Ridge,-0.0007584615352488111,True,5
8,mu,3,MLP,-0.011982122682958707,True,5
8,mu,3,Ridge,-0.0012361299298482287,True,6
8,mu,3,MLP,-0.01025478162796909,True,6
8,mu,3,Ridge,-0.0006398789156665252,True,7
8,mu,3,MLP,-0.009625179433428287,True,7
8,mu,3,Ridge,-0.0008807102672327538,True,8
8,mu,3,MLP,-0.010859949794650482,True,8
8,mu,3,Ridge,-0.000700312437027284,True,9
8,mu,3,MLP,-0.011129303813531877,True,9
8,mu,4,Ridge,0.42314191030124687,False,-1
8,mu,4,MLP,0.8099316227539191,False,-1
8,mu,4,Ridge,-0.0010105694194306736,True,0
8,mu,4,MLP,-0.010501732857642266,True,0
8,mu,4,Ridge,-0.0007125112807682798,True,1
8,mu,4,MLP,-0.011768280209007243,True,1
8,mu,4,Ridge,-0.000815805152438065,True,2
8,mu,4,MLP,-0.01056976963940084,True,2
8,mu,4,Ridge,-0.0008892783120458603,True,3
8,mu,4,MLP,-0.010923300059363195,True,3
8,mu,4,Ridge,-0.0008972604435002918,True,4
8,mu,4,MLP,-0.01272667449014464,True,4
8,mu,4,Ridge,-0.0011581985407431272,True,5
8,mu,4,MLP,-0.012380892084355822,True,5
8,mu,4,Ridge,-0.0008721065227295544,True,6
8,mu,4,MLP,-0.012876896305606688,True,6
8,mu,4,Ridge,-0.0008824512656748773,True,7
8,mu,4,MLP,-0.012314760081746635,True,7
8,mu,4,Ridge,-0.0010448789236580768,True,8
8,mu,4,MLP,-0.011624417854840096,True,8
8,mu,4,Ridge,-0.0004203927074737823,True,9
8,mu,4,MLP,-0.011076457109572769,True,9
8,mu,5,Ridge,0.3837939699279567,False,-1
8,mu,5,MLP,0.7988659835127129,False,-1
8,mu,5,Ridge,-0.0010060828731911276,True,0
8,mu,5,MLP,-0.012339839998140922,True,0
8,mu,5,Ridge,-0.0010294290511664527,True,1
8,mu,5,MLP,-0.011693171625654131,True,1
8,mu,5,Ridge,-0.0005973468327457043,True,2
8,mu,5,MLP,-0.011760109838893973,True,2
8,mu,5,Ridge,-0.0007258606299081815,True,3
8,mu,5,MLP,-0.011211393284315464,True,3
8,mu,5,Ridge,-0.0006721780128854604,True,4
8,mu,5,MLP,-0.010642369872567104,True,4
8,mu,5,Ridge,-0.0008024431647129405,True,5
8,mu,5,MLP,-0.010491799378470335,True,5
8,mu,5,Ridge,-0.00125297809785474,True,6
8,mu,5,MLP,-0.009662489134213591,True,6
8,mu,5,Ridge,-0.0008050440738657461,True,7
8,mu,5,MLP,-0.010512163743198277,True,7
8,mu,5,Ridge,-0.0006849909875299654,True,8
8,mu,5,MLP,-0.010688622173273422,True,8
8,mu,5,Ridge,-0.0008284088931260313,True,9
8,mu,5,MLP,-0.010928227034703397,True,9
8,lambda,0,Ridge,0.7020368822609718,False,-1
8,lambda,0,MLP,0.9212308850946875,False,-1
8,lambda,0,Ridge,-0.0007235315178120594,True,0
8,lambda,0,MLP,-0.03989030598543093,True,0
8,lambda,0,Ridge,-0.0009063084659562293,True,1
8,lambda,0,MLP,-0.035349410115233224,True,1
8,lambda,0,Ridge,-0.0006681551456367175,True,2
8,lambda,0,MLP,-0.04188562236789819,True,2
8,lambda,0,Ridge,-0.0010070471443234918,True,3
8,lambda,0,MLP,-0.03569574990215525,True,3
8,lambda,0,Ridge,-0.0010363250814140023,True,4
8,lambda,0,MLP,-0.03804673419153,True,4
8,lambda,0,Ridge,-0.000521153417505138,True,5
8,lambda,0,MLP,-0.03874608761834146,True,5
8,lambda,0,Ridge,-0.0009654911950680134,True,6
8,lambda,0,MLP,-0.03185658277336443,True,6
8,lambda,0,Ridge,-0.0003687040799796426,True,7
8,lambda,0,MLP,-0.03520984403451925,True,7
8,lambda,0,Ridge,-0.000766116103744352,True,8
8,lambda,0,MLP,-0.036592814397364434,True,8
8,lambda,0,Ridge,-0.00114916610045257,True,9
8,lambda,0,MLP,-0.038107697385100045,True,9
8,lambda,1,Ridge,0.8224755670982299,False,-1
8,lambda,1,MLP,0.9516622807778052,False,-1
8,lambda,1,Ridge,-0.0009421579338438679,True,0
8,lambda,1,MLP,-0.04044870948551833,True,0
8,lambda,1,Ridge,-0.0007949679472201154,True,1
8,lambda,1,MLP,-0.036160666584795595,True,1
8,lambda,1,Ridge,-0.001162104924994578,True,2
8,lambda,1,MLP,-0.039883641320013694,True,2
8,lambda,1,Ridge,-0.0006161738156909013,True,3
8,lambda,1,MLP,-0.03974511130172478,True,3
8,lambda,1,Ridge,-0.0007279898801818341,True,4
8,lambda,1,MLP,-0.035696163884217924,True,4
8,lambda,1,Ridge,-0.0007446434668424206,True,5
8,lambda,1,MLP,-0.03729139148888301,True,5
8,lambda,1,Ridge,-0.0005578094282974622,True,6
8,lambda,1,MLP,-0.033428346232732144,True,6
8,lambda,1,Ridge,-0.0007502489016943503,True,7
8,lambda,1,MLP,-0.03594741006436179,True,7
8,lambda,1,Ridge,-0.0008387962989546693,True,8
8,lambda,1,MLP,-0.03806630177703485,True,8
8,lambda,1,Ridge,-0.0009615801438194627,True,9
8,lambda,1,MLP,-0.03808818386643873,True,9
8,lambda,2,Ridge,0.7371782150111115,False,-1
8,lambda,2,MLP,0.9194829730933618,False,-1
8,lambda,2,Ridge,-0.0009261574126313121,True,0
8,lambda,2,MLP,-0.03407381695364524,True,0
8,lambda,2,Ridge,-0.0006864596741528838,True,1
8,lambda,2,MLP,-0.032531360399030394,True,1
8,lambda,2,Ridge,-0.0009123341600937973,True,2
8,lambda,2,MLP,-0.037503527347797536,True,2
8,lambda,2,Ridge,-0.0004684090113604933,True,3
8,lambda,2,MLP,-0.038899705329358804,True,3
8,lambda,2,Ridge,-0.000734938845159272,True,4
8,lambda,2,MLP,-0.039657180327918165,True,4
8,lambda,2,Ridge,-0.0004957275245906611,True,5
8,lambda,2,MLP,-0.04330282055664503,True,5
8,lambda,2,Ridge,-0.0007691874769450102,True,6
8,lambda,2,MLP,-0.03706618412631557,True,6
8,lambda,2,Ridge,-0.0009323899739430263,True,7
8,lambda,2,MLP,-0.03990746140331951,True,7
8,lambda,2,Ridge,-0.0010222907679208859,True,8
8,lambda,2,MLP,-0.040426348346272255,True,8
8,lambda,2,Ridge,-0.0008751379849180285,True,9
8,lambda,2,MLP,-0.04065630835975824,True,9
8,lambda,3,Ridge,0.7268647551356766,False,-1
8,lambda,3,MLP,0.9219703218804884,False,-1
8,lambda,3,Ridge,-0.000716269455343177,True,0
8,lambda,3,MLP,-0.0387341202271493,True,0
8,lambda,3,Ridge,-0.0007447010864874315,True,1
8,lambda,3,MLP,-0.03917256183864311,True,1
8,lambda,3,Ridge,-0.0006298477388957835,True,2
8,lambda,3,MLP,-0.039813034548865735,True,2
8,lambda,3,Ridge,-0.0005859886023539485,True,3
8,lambda,3,MLP,-0.03173555778441499,True,3
8,lambda,3,Ridge,-0.00045429377397130375,True,4
8,lambda,3,MLP,-0.03942341044222224,True,4
8,lambda,3,Ridge,-0.0006435193640399461,True,5
8,lambda,3,MLP,-0.03708157284756721,True,5
8,lambda,3,Ridge,-0.0006225664379955643,True,6
8,lambda,3,MLP,-0.0422548442221395,True,6
8,lambda,3,Ridge,-0.00032122159689440544,True,7
8,lambda,3,MLP,-0.034268460122922215,True,7
8,lambda,3,Ridge,-0.0008063454401672221,True,8
8,lambda,3,MLP,-0.03492913646578799,True,8
8,lambda,3,Ridge,-0.0010140295166465307,True,9
8,lambda,3,MLP,-0.03470218111744661,True,9
8,lambda,4,Ridge,0.7732979992442519,False,-1
8,lambda,4,MLP,0.9318260204557083,False,-1
8,lambda,4,Ridge,-0.0005863968571594213,True,0
8,lambda,4,MLP,-0.03655968310915094,True,0
8,lambda,4,Ridge,-0.0006253069412263113,True,1
8,lambda,4,MLP,-0.04385786445005557,True,1
8,lambda,4,Ridge,-0.0005257461130147245,True,2
8,lambda,4,MLP,-0.04185735998222091,True,2
8,lambda,4,Ridge,-0.0008207692847873371,True,3
8,lambda,4,MLP,-0.037337953331111604,True,3
8,lambda,4,Ridge,-0.000863286485429704,True,4
8,lambda,4,MLP,-0.03614695811596671,True,4
8,lambda,4,Ridge,-0.0010522972270024856,True,5
8,lambda,4,MLP,-0.03413067640783853,True,5
8,lambda,4,Ridge,-0.000935596278633577,True,6
8,lambda,4,MLP,-0.04201980294234002,True,6
8,lambda,4,Ridge,-0.0009165282178440481,True,7
8,lambda,4,MLP,-0.04012221996310807,True,7
8,lambda,4,Ridge,-0.0009626219091810384,True,8
8,lambda,4,MLP,-0.035495300446864775,True,8
8,lambda,4,Ridge,-0.0009487702031606649,True,9
8,lambda,4,MLP,-0.037241840830524085,True,9
8,lambda,5,Ridge,0.7866996407967356,False,-1
8,lambda,5,MLP,0.9437936238929797,False,-1
8,lambda,5,Ridge,-0.0005663488406434603,True,0
