subject_id,fixation_position,valence_diff,prop_positive,prop_negative,group,decision
H101,1,0.25,0.4642857142857143,0.21428571428571427,human,take
H101,2,-0.03846153846153849,0.2692307692307692,0.3076923076923077,human,take
H101,3,0.0,0.32,0.32,human,take
H101,4,0.09090909090909091,0.3181818181818182,0.22727272727272727,human,take
H101,5,0.13636363636363635,0.3181818181818182,0.18181818181818182,human,take
H101,6,0.09523809523809523,0.2857142857142857,0.19047619047619047,human,take
H101,7,0.15,0.3,0.15,human,take
H101,8,-0.05882352941176469,0.17647058823529413,0.23529411764705882,human,take
H101,9,0.21428571428571427,0.21428571428571427,0.0,human,take
H101,10,0.0,0.2,0.2,human,take
H101,11,-0.125,0.125,0.25,human,take
H101,12,-0.16666666666666666,0.16666666666666666,0.3333333333333333,human,take
H101,13,-0.2,0.0,0.2,human,take
H101,14,0.6,0.6,0.0,human,take
H101,15,0.4,0.4,0.0,human,take
H101,16,0.0,0.25,0.25,human,take
H101,17,0.0,0.0,0.0,human,take
H101,18,-0.3333333333333333,0.0,0.3333333333333333,human,take
H101,19,1.0,1.0,0.0,human,take
H101,20,-0.5,0.0,0.5,human,take
H101,21,0.0,0.0,0.0,human,take
H101,22,0.0,0.0,0.0,human,take
H101,23,-1.0,0.0,1.0,human,take
H101,24,0.0,0.0,0.0,human,take
H101,25,0.0,0.0,0.0,human,take
H101,26,0.0,0.0,0.0,human,take
H101,27,-1.0,0.0,1.0,human,take
H101,28,0.0,0.0,0.0,human,take
H101,29,0.0,0.0,0.0,human,take
H101,30,-1.0,0.0,1.0,human,take
H101,31,0.0,0.0,0.0,human,take
H101,32,0.0,0.0,0.0,human,take
H101,33,0.0,0.0,0.0,human,take
H101,34,0.0,0.0,0.0,human,take
H103,1,0.20833333333333334,0.375,0.16666666666666666,human,take
H103,2,0.16666666666666666,0.3333333333333333,0.16666666666666666,human,take
H103,3,0.17391304347826086,0.34782608695652173,0.17391304347826086,human,take
H103,4,0.0,0.2608695652173913,0.2608695652173913,human,take
H103,5,0.08695652173913046,0.30434782608695654,0.21739130434782608,human,take
H103,6,-0.04545454545454547,0.13636363636363635,0.18181818181818182,human,take
H103,7,0.3333333333333333,0.42857142857142855,0.09523809523809523,human,take
H103,8,-0.15789473684210525,0.21052631578947367,0.3684210526315789,human,take
H103,9,0.05263157894736842,0.2631578947368421,0.21052631578947367,human,take
H103,10,-0.1764705882352941,0.23529411764705882,0.4117647058823529,human,take
H103,11,0.0,0.17647058823529413,0.17647058823529413,human,take
H103,12,-0.25,0.1875,0.4375,human,take
H103,13,0.26666666666666666,0.3333333333333333,0.06666666666666667,human,take
H103,14,-0.1333333333333333,0.2,0.3333333333333333,human,take
H103,15,0.15384615384615385,0.3076923076923077,0.15384615384615385,human,take
H103,16,-0.18181818181818182,0.2727272727272727,0.45454545454545453,human,take
H103,17,0.19999999999999998,0.3,0.1,human,take
H103,18,-0.2222222222222222,0.2222222222222222,0.4444444444444444,human,take
H103,19,0.0,0.125,0.125,human,take
H103,20,-0.14285714285714285,0.14285714285714285,0.2857142857142857,human,take
H103,21,0.0,0.2,0.2,human,take
H103,22,-0.2,0.2,0.4,human,take
H103,23,-0.25,0.0,0.25,human,take
H103,24,-0.5,0.0,0.5,human,take
H103,25,-1.0,0.0,1.0,human,take
H103,26,-0.5,0.0,0.5,human,take
H103,27,-0.5,0.0,0.5,human,take
H103,28,-0.5,0.0,0.5,human,take
H103,29,0.0,0.0,0.0,human,take
H103,30,-0.5,0.0,0.5,human,take
H103,31,0.0,0.0,0.0,human,take
H103,32,-1.0,0.0,1.0,human,take
H103,33,-1.0,0.0,1.0,human,take
H103,34,-1.0,0.0,1.0,human,take
H103,35,1.0,1.0,0.0,human,take
H103,36,0.0,0.0,0.0,human,take
H103,37,-1.0,0.0,1.0,human,take
H103,38,0.0,0.0,0.0,human,take
H103,39,-1.0,0.0,1.0,human,take
H104,1,0.20833333333333334,0.4166666666666667,0.20833333333333334,human,take
H104,2,0.07692307692307693,0.46153846153846156,0.38461538461538464,human,take
H104,3,0.14285714285714285,0.2857142857142857,0.14285714285714285,human,take
H104,4,0.6666666666666666,0.6666666666666666,0.0,human,take
H104,5,0.0,0.0,0.0,human,take
H104,6,0.5,0.5,0.0,human,take
H105,1,0.13333333333333333,0.26666666666666666,0.13333333333333333,human,take
H105,2,0.18181818181818182,0.36363636363636365,0.18181818181818182,human,take
H105,3,-0.16666666666666666,0.16666666666666666,0.3333333333333333,human,take
H105,4,0.39999999999999997,0.6,0.2,human,take
H105,5,0.6666666666666666,0.6666666666666666,0.0,human,take
H105,6,0.0,0.5,0.5,human,take
