feature,coef,lo,hi,value_source,feature_set,visit_type,visit_normalization,regularization,n_folds,seed,n_bootstrap,n_sims
loc1_pt_x_val,0.012901023376338873,0.00573407772218708,0.019789589029976698,true,location_interactions,all,within,l2,10,1,50,0
loc1_pt_x_rel,0.010097778412027478,-0.020676384990618475,0.044249574979247655,true,location_interactions,all,within,l2,10,1,50,0
loc1_pt_x_val_x_rel,0.23049384025753725,0.2253038456918601,0.24019593708256395,true,location_interactions,all,within,l2,10,1,50,0
loc2_pt_x_val,0.01138122298809666,-0.004553581364467987,0.02218739505237421,true,location_interactions,all,within,l2,10,1,50,0
loc2_pt_x_rel,-0.023849705913347397,-0.042070627280098805,-0.0008033054529269974,true,location_interactions,all,within,l2,10,1,50,0
loc2_pt_x_val_x_rel,0.22991114705610907,0.2117364507220593,0.24554866475901846,true,location_interactions,all,within,l2,10,1,50,0
loc3_pt_x_val,0.0010908003607837627,-0.008020850543420683,0.011254797673828667,true,location_interactions,all,within,l2,10,1,50,0
loc3_pt_x_rel,-0.008875616265135914,-0.024060457463469503,0.004603287426085521,true,location_interactions,all,within,l2,10,1,50,0
loc3_pt_x_val_x_rel,0.2353723718118207,0.22628100238655524,0.24256889035043605,true,location_interactions,all,within,l2,10,1,50,0
loc4_pt_x_val,0.015599152927279997,0.00759845205105852,0.028339655464374346,true,location_interactions,all,within,l2,10,1,50,0
loc4_pt_x_rel,-0.010242464380105853,-0.02042397244705598,-0.003503639680359394,true,location_interactions,all,within,l2,10,1,50,0
loc4_pt_x_val_x_rel,0.21783417627448248,0.207892126402813,0.23318233476291364,true,location_interactions,all,within,l2,10,1,50,0
loc5_pt_x_val,0.022947319224596426,0.0074039802242848105,0.036640829973076,true,location_interactions,all,within,l2,10,1,50,0
loc5_pt_x_rel,0.014950604678963916,-0.009019375302999863,0.028085144508454125,true,location_interactions,all,within,l2,10,1,50,0
loc5_pt_x_val_x_rel,0.20578404893016886,0.19121845533858292,0.21974682651330338,true,location_interactions,all,within,l2,10,1,50,0
loc6_pt_x_val,0.008803817659209748,-0.005469320690391203,0.01922107590974072,true,location_interactions,all,within,l2,10,1,50,0
loc6_pt_x_rel,-0.024282590223823702,-0.05585295427382233,-0.005508847342581511,true,location_interactions,all,within,l2,10,1,50,0
loc6_pt_x_val_x_rel,0.23135380198334696,0.2082477190331966,0.2585232830331668,true,location_interactions,all,within,l2,10,1,50,0
