metric,mean,ci_lo,ci_hi,n_subjects
allfix_count_relevant_per_trial,3.4456282843623023,3.3044710915099174,3.577449405750459,5
allfix_count_irrelevant_per_trial,2.7899092569355575,2.688638416994094,2.8785445864341117,5
allfix_duration_mean_relevant,1.2999741308897996,1.2928682213882854,1.3057419494822582,5
allfix_duration_mean_irrelevant,1.2525231769717469,1.2488020251081393,1.2559745391176491,5
firstfix_count_relevant_per_trial,2.023651573518793,1.9749597783157253,2.065925160689941,5
firstfix_count_irrelevant_per_trial,1.7107801936997498,1.6744735884532915,1.7463891582181295,5
firstfix_duration_mean_relevant,1.305864666073869,1.2989717352442725,1.311875905316246,5
firstfix_duration_mean_irrelevant,1.2525940908356215,1.2491941780611122,1.2559940036101305,5
revisit_count_relevant_per_trial,1.4219767108435089,1.3297494163266337,1.516827549599547,5
revisit_count_irrelevant_per_trial,1.0791290632358082,1.0141648285408023,1.133084751002291,5
revisit_duration_mean_relevant,1.291543246506338,1.2845908324643838,1.2983181448662464,5
revisit_duration_mean_irrelevant,1.2523562463190965,1.2474368757073333,1.2559451626175515,5
firstfix_prop_time_relevant,0.5521947438804429,0.5503450771986301,0.5531666866141536,5
firstfix_prop_time_irrelevant,0.44780525611955707,0.4468333133858464,0.44965492280136987,5
revisit_prop_time_relevant,0.5758612604451859,0.5724279546743464,0.5800916829786839,5
revisit_prop_time_irrelevant,0.42413873955481407,0.41990831702131615,0.42757204532565357,5
time_share_firstfix,0.6006697098665216,0.5903142721835863,0.6114711299319071,5
time_share_revisit,0.3993302901334784,0.38852887006809295,0.4096857278164136,5
