subject_id,fixation_position,prop_relevant,group
H101,1,0.6666666666666666,human
H101,2,0.6222222222222222,human
H101,3,0.6136363636363636,human
H101,4,0.525,human
H101,5,0.5675675675675675,human
H101,6,0.4722222222222222,human
H101,7,0.36363636363636365,human
H101,8,0.5416666666666666,human
H101,9,0.2222222222222222,human
H101,10,0.42857142857142855,human
H101,11,0.4444444444444444,human
H101,12,0.42857142857142855,human
H101,13,0.3333333333333333,human
H101,14,0.5,human
H101,15,0.4,human
H101,16,0.5,human
H101,17,0.0,human
H101,18,0.3333333333333333,human
H101,19,1.0,human
H101,20,0.5,human
H101,21,0.0,human
H101,22,0.0,human
H101,23,1.0,human
H101,24,0.0,human
H101,25,0.0,human
H101,26,0.0,human
H101,27,1.0,human
H101,28,0.0,human
H101,29,0.0,human
H101,30,1.0,human
H101,31,0.0,human
H101,32,0.0,human
H101,33,0.0,human
H101,34,0.0,human
H103,1,0.5094339622641509,human
H103,2,0.5384615384615384,human
H103,3,0.5714285714285714,human
H103,4,0.5319148936170213,human
H103,5,0.391304347826087,human
H103,6,0.45454545454545453,human
H103,7,0.46511627906976744,human
H103,8,0.625,human
H103,9,0.4594594594594595,human
H103,10,0.7647058823529411,human
H103,11,0.3548387096774194,human
H103,12,0.6153846153846154,human
H103,13,0.52,human
H103,14,0.5238095238095238,human
H103,15,0.631578947368421,human
H103,16,0.7058823529411765,human
H103,17,0.5,human
H103,18,0.6666666666666666,human
H103,19,0.36363636363636365,human
H103,20,0.5,human
H103,21,0.42857142857142855,human
H103,22,0.7142857142857143,human
H103,23,0.3333333333333333,human
H103,24,0.6666666666666666,human
H103,25,0.6666666666666666,human
H103,26,0.6666666666666666,human
H103,27,0.3333333333333333,human
H103,28,0.6666666666666666,human
H103,29,0.0,human
H103,30,0.6666666666666666,human
H103,31,0.0,human
H103,32,1.0,human
H103,33,0.5,human
H103,34,1.0,human
H103,35,0.5,human
H103,36,0.5,human
H103,37,0.5,human
H103,38,0.5,human
H103,39,1.0,human
H103,40,1.0,human
H103,41,0.0,human
H103,42,1.0,human
H103,43,0.0,human
H103,44,1.0,human
H103,45,1.0,human
H103,46,0.0,human
H103,47,1.0,human
H103,48,0.0,human
H103,49,1.0,human
H103,50,0.0,human
H103,51,1.0,human
H103,52,0.0,human
H103,53,0.0,human
H103,54,1.0,human
H103,55,1.0,human
H103,56,1.0,human
H104,1,0.5454545454545454,human
H104,2,0.8571428571428571,human
H104,3,0.36363636363636365,human
H104,4,0.5,human
H104,5,0.0,human
H104,6,0.3333333333333333,human
H104,7,0.0,human
H104,8,0.0,human
H104,9,0.0,human
H105,1,0.34,human
H105,2,0.5277777777777778,human
H105,3,0.36363636363636365,human
H105,4,0.6363636363636364,human
H105,5,0.5,human
H105,6,1.0,human
H106,1,0.6904761904761905,human
H106,2,0.59375,human
H106,3,0.4782608695652174,human
H106,4,0.47058823529411764,human
H106,5,0.45454545454545453,human
H106,6,0.375,human
H106,7,0.42857142857142855,human
H106,8,0.42857142857142855,human
H106,9,0.4,human
H106,10,1.0,human
H106,11,0.0,human
H106,12,1.0,human
H106,13,0.5,human
H106,14,0.5,human
H106,15,0.0,human
H106,16,0.5,human
H106,17,1.0,human
H106,18,0.0,human
H106,19,0.0,human
H106,20,0.0,human
H106,21,1.0,human
H106,22,1.0,human
H106,23,1.0,human
H106,24,1.0,human
H106,25,1.0,human
H106,26,1.0,human
