subject,group,template,delta_similarity
101,human,bidirectional,0.41538250663999293
103,human,bidirectional,0.38882839387705526
104,human,bidirectional,0.33300253889017734
105,human,bidirectional,0.06927430884100488
106,human,bidirectional,0.28343095306115423
108,human,bidirectional,0.4490468846069154
109,human,bidirectional,0.17642835363323628
110,human,bidirectional,0.36595199242855986
111,human,bidirectional,0.16405943168608889
113,human,bidirectional,0.05508826930770036
114,human,bidirectional,0.3241498164673222
115,human,bidirectional,0.40996574634625205
116,human,bidirectional,0.4842855486173511
117,human,bidirectional,0.18894879166275058
118,human,bidirectional,0.27378669289568835
119,human,bidirectional,0.25233540053403947
120,human,bidirectional,0.2829146970906515
122,human,bidirectional,0.17289311287636316
123,human,bidirectional,0.31865632544495603
124,human,bidirectional,0.24884836862309573
125,human,bidirectional,0.39406991691498866
126,human,bidirectional,0.30290498730450405
127,human,bidirectional,0.12701448931650058
128,human,bidirectional,0.20742211245419384
129,human,bidirectional,0.02012687056752678
132,human,bidirectional,0.457599683898096
133,human,bidirectional,0.3209659079081042
134,human,bidirectional,0.2779041930376725
135,human,bidirectional,0.3457480906693337
136,human,bidirectional,0.07001727066715824
137,human,bidirectional,0.34366008325464387
138,human,bidirectional,0.1689954972850567
139,human,bidirectional,0.096794710346718
140,human,bidirectional,0.38300393713124686
141,human,bidirectional,0.3610378372098285
142,human,bidirectional,0.3649234697389768
144,human,bidirectional,0.4560130238721985
146,human,bidirectional,0.4878894293977174
148,human,bidirectional,0.12875588913884475
149,human,bidirectional,0.17372976102490162
150,human,bidirectional,0.4370405435259158
101,human,forward,0.13068542763198804
103,human,forward,0.2800278970128496
104,human,forward,0.3238560904834034
105,human,forward,0.1261483548230598
106,human,forward,0.1932272752586287
108,human,forward,0.2756915723354604
109,human,forward,0.06788419559341291
110,human,forward,0.14445894604798154
111,human,forward,0.5143912772100238
113,human,forward,0.026667739623830206
114,human,forward,0.1474001554460675
115,human,forward,0.2588590264303743
116,human,forward,0.3458115827025574
117,human,forward,-0.07909578063130374
118,human,forward,0.24099709431594377
119,human,forward,0.15394759221748078
120,human,forward,0.27566568750349607
122,human,forward,0.17260655737821956
123,human,forward,-0.027861466952392083
124,human,forward,0.10092786915649957
125,human,forward,0.13598437083354953
126,human,forward,0.1604391457800416
127,human,forward,0.19552080796588034
128,human,forward,0.08906102808156108
129,human,forward,-0.07238797126498339
132,human,forward,-0.06660083381516452
133,human,forward,0.06763117351742662
134,human,forward,0.13652545821758186
135,human,forward,0.1859135471583092
136,human,forward,0.06273522562889033
137,human,forward,0.23064899184243634
138,human,forward,-0.14717172164257825
139,human,forward,0.024549917729451642
140,human,forward,0.21555114318785462
141,human,forward,0.16608037704527379
142,human,forward,0.5639820065214647
144,human,forward,0.21740485588165406
146,human,forward,0.3176324256778896
148,human,forward,0.10898936437499132
149,human,forward,0.10762217970787472
150,human,forward,0.08274667446677247
101,human,backward,0.3947365008369691
103,human,backward,0.21180544042577568
104,human,backward,0.09736250532130036
105,human,backward,-0.03852251511445398
106,human,backward,0.1652876731675792
108,human,backward,0.2923128002888022
109,human,backward,0.15528198093245502
110,human,backward,0.31843777809239565
111,human,backward,-0.30687068690568825
113,human,backward,0.043014021723801865
114,human,backward,0.26262053381885
115,human,backward,0.25971118201162935
116,human,backward,0.26676656591145725
117,human,backward,0.31809919774767387
118,human,backward,0.10531872272222254
119,human,backward,0.16523424777389248
120,human,backward,0.08219624303373238
122,human,backward,0.046087854000137735
123,human,backward,0.43093337864276376
124,human,backward,0.2138431855899651
125,human,backward,0.3624790270883214
126,human,backward,0.22270872402260622
127,human,backward,-0.03485877513257435
128,human,backward,0.17330949689397107
129,human,backward,0.09784667253089949
132,human,backward,0.645423736891589
133,human,backward,0.338362154583957
134,human,backward,0.21499863030647906
135,human,backward,0.25142703810949285
136,human,backward,0.02583039471379661
137,human,backward,0.20405044974467001
138,human,backward,0.36093599593601045
139,human,backward,0.09788678233130657
140,human,backward,0.2689147744708158
141,human,backward,0.29060037778838577
142,human,backward,-0.10238627211078553
144,human,backward,0.35941106337309925
146,human,backward,0.2995043116087901
148,human,backward,0.053875384360562634
149,human,backward,0.11213051717030034
150,human,backward,0.4700707444851676
901,nn,bidirectional,0.14143897485647672
902,nn,bidirectional,0.11833037381534922
903,nn,bidirectional,0.08582671644890599
904,nn,bidirectional,0.14493128918516968
905,nn,bidirectional,0.12318217101738116
901,nn,forward,0.06874721501569864
902,nn,forward,0.07928859711335082
903,nn,forward,0.04389543822395281
904,nn,forward,0.10260607113579989
905,nn,forward,0.08820960478005782
901,nn,backward,0.11016050917060283
902,nn,backward,0.07038880194091016
903,nn,backward,0.0646677250048398
904,nn,backward,0.08071912008406618
905,nn,backward,0.06760488623566419
