subject,condition,fixation_advantage
101,all,-0.2336
101,all,1.1538
101,all,-0.17980000000000002
101,all,-0.028
101,all,0.1086
101,all,-0.0232
101,all,0.10020000000000001
101,all,0.0474
101,all,0.026599999999999995
101,all,0.5668
101,all,-0.2278
101,all,-0.2982
101,all,1.3
101,all,-0.073
101,all,0.3074
101,all,0.1366
101,all,-0.3162
101,all,-0.5742
101,all,0.264
101,all,-0.718
101,all,-0.0366
101,all,-0.040799999999999996
101,all,-0.06540000000000001
101,all,-0.1408
101,all,-0.15960000000000002
101,all,1.3925999999999998
101,all,-0.6958
101,all,-0.1222
101,all,-0.166
101,all,0.41200000000000003
101,all,-0.3578
101,all,-0.43660000000000004
101,all,0.481
101,all,-0.32239999999999996
101,all,-0.11939999999999998
101,all,-0.5716
101,all,-0.32060000000000005
101,all,-0.42579999999999996
101,all,-1.071
101,all,0.5650000000000001
101,all,0.3288
101,all,0.7777999999999999
101,all,-0.37179999999999996
101,all,-0.019600000000000003
101,all,0.0882
101,all,-0.2394
101,all,-0.1864
101,all,-0.3546
101,all,-0.3974
101,all,-0.2122
101,all,1.0072
101,all,-0.095
101,all,-0.4294
101,all,-0.097
101,all,-0.1264
101,all,-0.1636
101,all,0.5032
101,all,0.24
101,all,0.6930000000000001
101,all,0.5858
101,all,-0.30260000000000004
101,all,0.8917999999999999
101,all,0.7857999999999999
101,all,-0.046
101,all,-0.06520000000000001
101,all,-0.0696
101,all,-0.075
101,all,-0.2078
101,all,-0.024
101,all,-0.233
101,all,1.1132
101,all,-0.2072
101,all,2.1718
101,all,-0.728
101,all,2.629
101,all,-0.492
101,all,2.8076
101,all,-0.4892000000000001
101,all,3.3262
101,all,-1.5438
101,all,1.2510000000000001
101,all,3.919
101,all,-2.311
101,all,-2.5534000000000003
101,all,0.23740000000000008
101,all,-2.4408000000000003
101,all,-1.4931999999999999
101,all,-1.5818000000000003
101,all,-0.0808
101,all,-0.3412
101,all,-0.6792
101,all,-0.719
101,all,-0.277
101,all,-0.9074
101,all,-0.2346
101,all,-0.2676
101,all,-0.3568
101,all,-0.504
101,all,-0.5498
101,all,0.27280000000000004
101,all,-0.4104
101,all,-0.1708
101,all,-0.2398
101,all,-0.2712
101,all,-0.3212
101,all,-0.6316
101,all,0.9540000000000001
101,all,-0.6782
101,all,-0.6856
101,all,-0.4764
101,all,-0.8572000000000001
101,all,-0.12980000000000003
101,all,-0.1982
101,all,-0.31760000000000005
101,all,-0.3708
101,all,-0.0554
101,all,-0.4938
101,all,1.7002000000000002
101,all,-0.9826
101,all,1.1508
101,all,1.368
101,all,-1.6066
101,all,-1.357
101,all,1.1754000000000002
101,all,-0.21980000000000002
101,all,-0.2792
101,all,-0.3424
101,all,-0.5528
101,all,-0.404
101,all,0.38960000000000006
101,all,0.03320000000000005
101,all,-0.5598
101,all,0.3984
101,all,-0.3556
101,all,1.0682
101,all,-0.5444000000000001
101,all,-0.2264000000000001
101,all,2.0352
101,all,-0.0272
101,all,0.09340000000000001
101,all,-0.28400000000000003
101,all,-0.04919999999999999
101,all,-0.45580000000000004
101,all,-0.5262
101,all,-0.1404
101,all,-0.1672
101,all,-0.32539999999999997
101,all,-0.433
101,all,0.406
101,all,-0.4786
101,all,-0.0458
101,all,-0.008400000000000006
101,all,1.0518
101,all,-0.3976
101,all,1.0996
101,all,0.2848
101,all,-0.6134
101,all,-0.7074
101,all,-0.1974
101,all,-0.786
101,all,0.9538
101,all,-0.24679999999999996
101,all,0.148
101,all,-0.2044
101,all,-0.271
101,all,0.1156
101,all,-0.3482
101,all,-0.4654
101,all,-0.5078
101,all,0.657
101,all,0.158
101,all,-0.4194
101,all,0.8136
101,all,-0.040600000000000004
101,all,-0.22440000000000002
101,all,-0.4272
101,all,0.7856000000000001
101,all,0.6103999999999999
101,all,-0.5444
101,all,-0.6176
101,all,-0.44760000000000005
101,all,-0.114
101,all,-0.2192
101,all,-0.26380000000000003
101,all,-0.04319999999999999
101,all,0.25760000000000005
101,all,-0.16019999999999998
101,all,-0.3554
101,all,-0.36560000000000004
101,all,0.465
101,all,-0.494
101,all,0.5566
101,all,-0.8718
101,all,1.0338
101,all,-0.9786
101,all,-0.22160000000000002
101,all,0.2224
101,all,-0.0022000000000000457
101,all,0.9768
101,all,-0.1304000000000001
101,all,1.77
101,all,-0.899
101,all,1.8880000000000001
101,all,0.1105999999999999
101,all,-0.27380000000000004
101,all,-0.32160000000000005
101,all,-0.3678
101,all,-0.4074
101,all,-0.4478
101,all,0.9382
101,all,-0.7428
101,all,-0.5172000000000001
101,all,-0.5712
101,all,-0.1726
101,all,-0.179
101,all,-0.2058
101,all,-0.265
101,all,-0.26639999999999997
101,all,-0.3178
101,all,-0.2398
101,all,-0.13219999999999998
101,all,-0.3138
101,all,0.2814
101,all,-0.711
101,all,-0.051000000000000004
101,all,-0.0616
101,all,-0.0928
101,all,-0.1396
101,all,-0.02180000000000001
101,all,0.4318
101,all,-0.275
101,all,-0.1164
101,all,-0.1834
101,all,-0.3326
101,all,-0.3678
101,all,-0.38060000000000005
101,all,0.5078
101,all,-0.3316
101,all,-0.1362
101,all,-0.05260000000000002
101,all,-0.8754
101,all,0.6888
101,all,-0.47900000000000004
101,all,0.6784
101,all,0.4232000000000001
101,all,1.0664
101,all,0.5568
101,all,-0.08920000000000004
101,all,1.067
