subject,group,condition,median_fixation_advantage
101,human,all,-0.1675
103,human,all,0.0798
104,human,all,-0.038
105,human,all,-0.0448
106,human,all,-0.0888
108,human,all,-0.3009
109,human,all,-0.0586
110,human,all,-0.0275
111,human,all,-0.06609999999999999
113,human,all,-0.045200000000000004
114,human,all,-0.04380000000000001
115,human,all,-0.214
116,human,all,-0.0808
117,human,all,-0.0606
118,human,all,-0.0732
119,human,all,-0.012
120,human,all,-0.0633
122,human,all,-0.1002
123,human,all,-0.12469999999999999
124,human,all,-0.078
125,human,all,-0.1544
126,human,all,-0.14350000000000004
127,human,all,-0.0849
128,human,all,-0.24660000000000004
129,human,all,-0.07840000000000001
132,human,all,-0.38460000000000005
133,human,all,-0.1274
134,human,all,-0.008599999999999995
135,human,all,-0.08239999999999997
136,human,all,-0.0546
137,human,all,-0.27570000000000006
138,human,all,-0.17250000000000001
139,human,all,0.28550000000000003
140,human,all,0.09640000000000001
141,human,all,-0.08650000000000001
142,human,all,-0.0718
144,human,all,-0.06929999999999999
146,human,all,-0.09320000000000005
148,human,all,-0.045200000000000004
149,human,all,0.5760000000000001
150,human,all,-0.17679999999999996
101,human,relevant,-0.178
103,human,relevant,0.21
104,human,relevant,-0.03925
105,human,relevant,0.0
106,human,relevant,-0.075
108,human,relevant,-0.279
109,human,relevant,0.0
110,human,relevant,0.0
111,human,relevant,0.0
113,human,relevant,-0.00425
114,human,relevant,0.0
115,human,relevant,-0.1365
116,human,relevant,0.0
117,human,relevant,0.05425
118,human,relevant,-0.02475
119,human,relevant,0.0
120,human,relevant,-0.021
122,human,relevant,0.0
123,human,relevant,-0.091
124,human,relevant,-0.0785
125,human,relevant,-0.0985
126,human,relevant,-0.11425
127,human,relevant,0.0
128,human,relevant,-0.3205
129,human,relevant,0.0
132,human,relevant,-0.4565
133,human,relevant,-0.124
134,human,relevant,0.0
135,human,relevant,-0.02775
136,human,relevant,0.0
137,human,relevant,-0.2655
138,human,relevant,0.0
139,human,relevant,0.28200000000000003
140,human,relevant,0.19825
141,human,relevant,-0.0205
142,human,relevant,-0.04425
144,human,relevant,0.0
146,human,relevant,-0.1075
148,human,relevant,0.0
149,human,relevant,0.42325
150,human,relevant,-0.14325000000000002
101,human,irrelevant,-0.015
103,human,irrelevant,0.124
104,human,irrelevant,0.0
105,human,irrelevant,0.0
106,human,irrelevant,0.0
108,human,irrelevant,-0.0555
109,human,irrelevant,-0.0585
110,human,irrelevant,0.0
111,human,irrelevant,0.0
113,human,irrelevant,-0.0285
114,human,irrelevant,0.0
115,human,irrelevant,-0.10025
116,human,irrelevant,0.0
117,human,irrelevant,0.0
118,human,irrelevant,-0.052000000000000005
119,human,irrelevant,0.079
120,human,irrelevant,-0.0225
122,human,irrelevant,0.0
123,human,irrelevant,-0.0795
124,human,irrelevant,0.0
125,human,irrelevant,-0.010750000000000001
126,human,irrelevant,-0.08750000000000001
127,human,irrelevant,0.0
128,human,irrelevant,0.0
129,human,irrelevant,0.0
132,human,irrelevant,-0.002
133,human,irrelevant,0.0
134,human,irrelevant,0.0165
135,human,irrelevant,0.0
136,human,irrelevant,0.114
137,human,irrelevant,0.0
138,human,irrelevant,-0.14200000000000002
139,human,irrelevant,0.6900000000000001
140,human,irrelevant,0.02775
141,human,irrelevant,0.0
142,human,irrelevant,0.0
144,human,irrelevant,0.0
146,human,irrelevant,0.032
148,human,irrelevant,0.0
149,human,irrelevant,0.641
150,human,irrelevant,0.0
901,nn,all,-0.3999999999999999
902,nn,all,-0.3999999999999999
903,nn,all,-0.3999999999999999
904,nn,all,-0.3999999999999999
905,nn,all,-0.3999999999999999
901,nn,relevant,-0.5
902,nn,relevant,-0.5
903,nn,relevant,-0.5
904,nn,relevant,-0.5
905,nn,relevant,-0.5
901,nn,irrelevant,0.0
902,nn,irrelevant,0.0
903,nn,irrelevant,0.0
904,nn,irrelevant,0.0
905,nn,irrelevant,0.0
