subject,group,seq_length,delta_proportion
101,human,1,0.06632333913860933
101,human,2,0.037808037247890156
101,human,3,0.0271433339279811
101,human,4,0.00973478888959562
101,human,5,0.009732314316915399
101,human,6+,-0.00010244631185807657
103,human,1,0.08915809557482818
103,human,2,0.033836510297482386
103,human,3,0.03666189620841316
103,human,4,-0.002497732112256334
103,human,5,-0.0001844939177268163
103,human,6+,-2.56060116354234e-05
104,human,1,0.03409999999999974
104,human,2,0.03377426303854818
104,human,3,0.019613265306122465
104,human,4,0.0
104,human,5,0.0
104,human,6+,0.0
105,human,1,-0.00806527777777788
105,human,2,0.013253703703703754
105,human,3,0.02339583333333334
105,human,4,-0.00030555555555555566
105,human,5,0.0
105,human,6+,0.0
106,human,1,0.012687049264616446
106,human,2,0.08829041642629216
106,human,3,0.03594678405511115
106,human,4,0.0026993524446764765
106,human,5,-0.0003468514154667171
106,human,6+,-6.623749137336094e-05
108,human,1,0.027380867548383647
108,human,2,0.07804590563447933
108,human,3,0.03475352136281856
108,human,4,-0.001653802840654666
108,human,5,-0.0009281822566507404
108,human,6+,0.012190046119457884
109,human,1,0.07890112781954939
109,human,2,-0.02144536340852185
109,human,3,-0.006619924812030062
109,human,4,-0.0004315789473684211
109,human,5,0.0
109,human,6+,0.0
110,human,1,0.030540484937103762
110,human,2,0.06288352973153044
110,human,3,0.02517885728348363
110,human,4,0.008011320511903376
110,human,5,0.0012307680158672426
110,human,6+,-7.494607162545485e-05
111,human,1,-0.030815476190476587
111,human,2,0.0123452380952382
111,human,3,0.04660714285714286
111,human,4,-0.0011428571428571425
111,human,5,0.0
111,human,6+,0.0
113,human,1,-0.015053205128205294
113,human,2,-0.0007663003663006124
113,human,3,-0.0017681318681318668
113,human,4,0.021574358974358974
113,human,5,0.0
113,human,6+,0.0
114,human,1,0.157304169742371
114,human,2,0.01643564147402743
114,human,3,0.010902827804265894
114,human,4,0.0080739514963897
114,human,5,-0.0004885342790983701
114,human,6+,-8.65481432816754e-05
115,human,1,0.05877064821163336
115,human,2,0.031349078303291394
115,human,3,0.008182067882277193
115,human,4,0.001380456440782218
115,human,5,0.029449926920598717
115,human,6+,0.011091599688190597
116,human,1,0.03446270378098565
116,human,2,0.04885687822271806
116,human,3,0.06967391191253294
116,human,4,0.017239121394729006
116,human,5,0.0043950007823145365
116,human,6+,0.0013980674992828755
117,human,1,0.029355222031937855
117,human,2,0.053900279333444046
117,human,3,-0.004672510567462096
117,human,4,0.004941998387209626
117,human,5,-1.937984496124031e-05
117,human,6+,0.0
118,human,1,0.07495514553453342
118,human,2,-0.002557886692165584
118,human,3,0.00455709262667154
118,human,4,0.021200506128501558
118,human,5,-0.0011752738244042592
118,human,6+,-0.00021016908212560383
119,human,1,0.06379237622133987
119,human,2,0.014297660131196738
119,human,3,-0.01168311404043108
119,human,4,0.010256213704994193
119,human,5,-7.888114595431669e-05
119,human,6+,-2.134146341463415e-05
120,human,1,0.047538446669507184
120,human,2,0.02206572655864429
120,human,3,-0.009272468241095715
120,human,4,0.021674683043665127
120,human,5,-0.0004323029411660117
120,human,6+,-0.00010071634714491857
122,human,1,0.07195171985225118
122,human,2,-0.0010422165895568603
122,human,3,0.005620476155050671
122,human,4,-0.0013209766592745323
122,human,5,0.0
122,human,6+,0.0
123,human,1,0.02942453361995917
123,human,2,0.07889279400310599
123,human,3,0.016704634524264288
123,human,4,0.00622042800803305
123,human,5,0.039342315298788524
123,human,6+,-0.00026695303121248497
124,human,1,-0.005969645632145748
124,human,2,0.04740251673391213
