time_col,include_transition,irrelevant_mode,include_center_fixations,center_gaze_mode,center_mode,reward_scale,n_v_bins,rt_bins_max,rt_bins_fixed,min_trials_per_rt_bin,n_sim_per_vbin,alpha,d_min,d_max,theta_min,theta_max,sigma_min,sigma_max,mu_min,mu_max,fix_mu,phi_center_min,phi_center_max,setting,heldout_game,fold,mode,split_by,n_folds,n_train_trials,n_test_trials,d,theta,sigma,mu,phi_center,noise_param,loglik_train,loglik_test,seed
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,9.0,9,fit,subject,10,1817,182,0.0003048323744268,0.0246030496461597,0.0004324716274081,1.418719478931039,1.0,mu,-3280.029983501747,-329.3379572916251,10001
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,8.0,8,fit,subject,10,1815,184,0.0003043000302737,0.0121066089804565,0.0003189481233784,1.0481370083712684,1.0,mu,-3371.2819185700596,-324.7917214510811,9001
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,3.0,3,fit,subject,10,1792,207,0.0002988667527653,0.0426702561165518,0.0005427969386568,1.8161837462165211,1.0,mu,-3178.7277043719123,-345.3412306686242,4001
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,2.0,2,fit,subject,10,1787,212,0.0002955134017189,0.0505677992375709,0.0003122752621496,1.056721151505054,1.0,mu,-3174.698732043529,-371.5081792832213,3001
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,6.0,6,fit,subject,10,1808,191,0.0002926108163352,0.1436802711506911,0.0002928382068901,1.000777109191212,1.0,mu,-3238.1984218825305,-342.47213806355325,7001
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,5.0,5,fit,subject,10,1798,201,0.0002863845513491,0.1525585962701647,0.0002863845543985,1.0000000106476403,1.0,mu,-3189.5421050804407,-356.08720182022904,6001
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,7.0,7,fit,subject,10,1811,188,0.0002729586092781,0.0261833678537147,0.0005423937384146,1.9870915222239969,1.0,mu,-3198.773523637837,-334.8021623445693,8001
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,4.0,4,fit,subject,10,1796,203,0.0002531904168866,0.0180748708461854,0.0002604552974657,1.028693347356507,1.0,mu,-3110.2991403819196,-359.6796126706132,5001
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,0.0,0,fit,subject,10,1782,217,0.0002759075162557,0.0522632461748278,0.0011650492784774,4.222607974903934,1.0,mu,-3105.0485644837454,-365.2815824803853,1001
fix_ms,0,zero,0,separate,same_as_irrelevant,1.0,7,15,0,25,1000,1.0,1e-05,0.001,0.01,0.99,1e-05,0.1,1.0,100.0,,0.0,10.0,free3-rtTrans,1.0,1,fit,subject,10,1785,214,0.00028870922368138413,0.09452668666131318,0.0005626123661599632,1.9487162861857685,1.0,mu,-3190.0646750472556,-374.47836409117184,2001
