combo,rep,seed_fit,seed_sim,noise_param,d_true,theta_true,sigma_true,mu_true,d_hat,theta_hat,sigma_hat,mu_hat,d_true_per_s,sigma_true_per_s,d_hat_per_s,sigma_hat_per_s,fit_fval,elapsed_s,hit_d_min,hit_d_max,hit_theta_min,hit_theta_max,hit_sigma_min,hit_sigma_max
6,1,60224,61223,mu,0.000420909776557,0.9674141127867978,0.0035086638934649,8.335904958456215,0.0004119401199638,0.9897346168799772,0.0036957343092445,8.971532827560544,0.420909776557095,0.1109536944734373,0.4119401199638109,0.1168693804404188,4747.433994561333,98.05704092979433,0,0,0,1,0,0
7,1,70224,71223,mu,0.0007025706385785,0.3743944724160198,0.0009158412725664,1.3035575674203772,0.0007278350246432,0.3938021437449353,0.0008159262843204,1.121031905163397,0.702570638578536,0.0289614439649696,0.7278350246432139,0.0258018546125069,4036.72964875964,124.0549042224884,0,0,0,0,1,0
10,1,100224,101223,mu,0.0006022618948821,0.9628791276537956,0.0109676445262128,18.210756183334652,0.0005909455544699,0.989984607486466,0.0115090823461664,19.475706787388276,0.6022618948821966,0.3468273726991077,0.5909455544699047,0.3639491399232045,4684.088814413112,182.2130291461945,0,0,0,1,0,0
9,1,90224,91223,mu,0.0004360227233952,0.42110035348011,0.0010924416369655,2.505469505026936,0.000444175604178,0.4722187800624691,0.0049294403831296,11.097953910034695,0.4360227233952147,0.0345460378361379,0.4441756041780327,0.1558825920070266,4261.3880758752475,249.7488729953766,0,0,0,0,0,0
13,1,130224,131223,mu,0.0004451262355775,0.1433701910351761,0.0030261203641645,6.798341958519454,0.0004305923276258,0.083750986972032,0.0004305946587508,1.0000054137635803,0.445126235577527,0.0956943282457805,0.4305923276258222,0.0136165986995574,3838.1676367041873,132.5691168308258,0,0,0,0,1,0
1,1,10224,11223,mu,0.0002315814274157,0.8725055302663411,0.0019397252034007,8.375996404575565,0.0002115506469694,0.9899999801778224,0.0035291765701244,16.682419178016062,0.2315814274157423,0.061339496775797,0.2115506469694256,0.1116023622649421,4780.455655653062,319.7566010951996,0,0,0,1,0,0
15,1,150224,151223,mu,0.0003040423666991,0.1611355356365025,0.0041109873351149,13.521100298443242,0.0003162549182546,0.1643241132118601,0.0059289997364504,18.747533695827524,0.3040423666991266,0.1300008341106915,0.3162549182546605,0.1874914341372139,3904.7575998198263,275.7461140155792,0,0,0,0,0,0
17,1,170224,171223,mu,0.0007158376176321,0.9054369277013892,0.0045100912417177,6.300438997095956,0.0006934737771865,0.9899125023208672,0.0068287263148133,9.847129825900018,0.7158376176321296,0.1426216077900505,0.6934737771865639,0.2159432867273822,4738.93785063735,75.27879929542542,0,0,0,1,0,0
11,1,110224,111223,mu,0.0001061551114112,0.1212214043039598,0.0003722558562986,3.506716269711054,9.043332798223347e-05,0.1417838134665692,0.0039022188691877,43.15022963607325,0.1061551114112137,0.011771763782402,0.0904333279822334,0.1233989955511979,4148.042642782433,680.5856001377106,0,0,0,0,0,0
19,1,190224,191223,mu,0.0003965064507562,0.8708472429697818,0.0389299480476659,98.18238259027872,0.0003887500426289,0.7225836265002367,0.0388747914950527,99.99945268728936,0.3965064507562731,1.2310730502264955,0.3887500426289229,1.2293288468850887,3628.353309045707,106.36564707756042,0,0,0,0,0,1
16,1,160224,161223,mu,0.0001819199840135,0.9348748263086072,0.0017943725285994,9.86352619988291,0.0001723198122078,0.9885591829476484,0.0022295663124723,12.93853726919482,0.1819199840135,0.0567430416120984,0.1723198122078862,0.0705050774179542,4727.487374258802,589.4686548709869,0,0,0,1,0,0
18,1,180224,181223,mu,2.909486706356689e-05,0.9747251383124552,0.0002270386838134,7.803393063024811,2.8523571107184016e-05,0.9890233947158192,0.0002842221863757,9.9644671176605,0.0290948670635668,0.0071795935781735,0.028523571107184,0.0089878947050036,4750.133732375793,419.97575998306274,0,0,0,1,0,0
12,1,120224,121223,mu,3.089791699475641e-05,0.6891128436068575,0.0024522330467798,79.36564290712732,2.8751330290927827e-05,0.7765406942602429,0.0028144362634038,97.88890583236466,0.0308979169947564,0.0775464178135871,0.0287513302909278,0.0890002892172975,4630.098302467426,1321.0077919960022,0,0,0,0,0,0
21,1,210224,211223,mu,2.9047666492746543e-05,0.4664866179178413,0.0024854425013747,85.56427422475943,3.925234949039275e-05,0.2692355114370518,0.0001988538894033,5.066037880153707,0.0290476664927465,0.0785965929773029,0.0392523494903927,0.0062883121209784,4539.661232021379,561.1100888252258,0,0,0,0,0,0
