subject_id,game,trial_number,v_offer,time_ms_sim_mean,accept_sim_mean
101,1.0,1,2.0,2653.612,0.63
101,1.0,4,1.0,3592.892,0.534
101,1.0,5,2.0,2668.02,0.633
101,1.0,6,1.0,3610.002,0.492
101,1.0,7,7.0,1825.762,0.769
101,1.0,8,-5.0,2055.923,0.27
101,2.0,9,-7.0,4107.566,0.011
101,2.0,10,1.0,2415.143,0.568
101,2.0,11,-7.0,4279.975,0.016
101,2.0,13,-15.0,1687.527,0.0
101,2.0,14,-7.0,1531.804,0.281
101,2.0,15,-17.0,1676.387,0.0
101,2.0,16,3.0,2611.397,0.616
101,3.0,17,2.0,7753.539,0.875
101,3.0,19,-2.0,7287.598,0.116
101,3.0,20,2.0,7585.539,0.865
101,3.0,21,8.0,3045.389,0.969
101,3.0,22,4.0,4142.482,0.729
101,3.0,23,2.0,7319.675,0.874
101,3.0,24,4.0,4079.862,0.71
101,4.0,25,1.0,2501.338,0.574
101,4.0,26,-1.0,2494.785,0.492
101,4.0,27,6.0,1979.68,0.721
101,4.0,28,2.0,2037.244,0.609
101,4.0,29,-1.0,2525.302,0.482
101,4.0,30,3.0,2608.841,0.62
101,4.0,31,4.0,2215.639,0.705
101,4.0,32,6.0,1967.641,0.681
101,5.0,33,1.0,2604.349,0.462
101,5.0,34,1.0,2616.108,0.456
101,5.0,35,1.0,2647.004,0.476
101,5.0,36,-1.0,2023.174,0.41
101,6.0,41,1.0,3614.877,0.519
101,6.0,42,3.0,3187.598,0.575
101,6.0,43,-1.0,2675.494,0.378
101,6.0,44,3.0,3093.229,0.566
101,6.0,45,3.0,3170.102,0.554
101,6.0,46,1.0,2462.315,0.494
101,6.0,47,-1.0,2608.319,0.412
101,6.0,48,-1.0,2652.857,0.397
101,7.0,49,-6.0,4130.928,0.11
101,7.0,50,-3.0,6779.957,0.109
101,7.0,51,-3.0,6750.719,0.089
101,7.0,52,-7.0,4376.12,0.016
101,7.0,53,-6.0,4354.872,0.122
101,7.0,54,-2.0,6907.98,0.249
101,7.0,55,-3.0,7032.414,0.092
101,7.0,56,-6.0,4263.511,0.117
103,1.0,1,2.0,2339.935,0.614
103,1.0,2,9.0,2703.58,1.0
103,1.0,3,5.0,4544.99,0.848
103,1.0,4,-2.0,2226.016,0.388
103,1.0,5,-1.0,10798.378,0.216
103,1.0,6,-2.0,2427.207,0.388
103,1.0,7,8.0,1482.475,0.76
103,1.0,8,9.0,2859.755,1.0
103,2.0,9,-2.0,4842.329,0.37
103,2.0,10,-5.0,3547.92,0.117
103,2.0,11,-2.0,4708.117,0.373
103,2.0,12,-2.0,4837.013,0.361
103,2.0,13,3.0,6716.411,0.992
103,2.0,14,0.0,9959.267,0.469
103,2.0,15,0.0,9917.658,0.478
103,2.0,16,0.0,10248.956,0.443
103,3.0,17,4.0,1797.995,0.668
103,3.0,18,5.0,4660.925,0.852
103,3.0,19,5.0,1691.705,0.68
103,3.0,20,11.0,2204.391,0.988
103,3.0,21,-1.0,2104.577,0.413
103,3.0,22,6.0,4332.023,0.872
103,3.0,23,5.0,1678.591,0.678
103,3.0,24,5.0,4587.548,0.85
103,4.0,25,-3.0,2972.632,0.433
103,4.0,26,-1.0,2396.538,0.526
103,4.0,27,1.0,2858.743,0.609
103,4.0,28,1.0,3037.016,0.618
103,4.0,29,1.0,3036.76,0.59
103,4.0,30,-1.0,3335.298,0.487
103,4.0,31,-3.0,2925.08,0.422
103,4.0,32,-3.0,3079.09,0.429
103,5.0,33,-1.0,2681.733,0.401
103,5.0,34,-2.0,2935.575,0.34
103,5.0,35,-4.0,2357.727,0.29
103,5.0,36,-1.0,3334.599,0.385
103,5.0,37,-3.0,2291.043,0.348
103,5.0,38,-2.0,2888.05,0.316
103,6.0,41,-3.0,3554.681,0.205
103,6.0,42,-2.0,4254.042,0.278
103,6.0,43,1.0,5985.766,0.608
103,6.0,44,1.0,6001.207,0.594
103,6.0,45,-2.0,3636.194,0.339
103,6.0,47,2.0,6429.615,0.706
103,6.0,48,-2.0,4317.094,0.28
103,7.0,49,-1.0,7829.019,0.371
103,7.0,50,-7.0,2959.606,0.028
103,7.0,51,4.0,4527.653,1.0
103,7.0,52,-1.0,8075.07,0.372
103,7.0,53,4.0,4501.887,1.0
103,7.0,54,-7.0,3109.258,0.03
103,7.0,55,-2.0,6632.706,0.263
103,7.0,56,-2.0,6385.549,0.243
104,1.0,5,6.0,3296.404,0.872
104,2.0,9,-5.0,1559.926,0.337
104,2.0,10,9.0,1624.971,0.782
104,2.0,12,-8.0,1872.247,0.197
104,2.0,13,-7.0,1474.7,0.292
104,2.0,14,4.0,1779.263,0.646
104,2.0,15,6.0,1833.431,0.732
104,2.0,16,7.0,1584.545,0.704
104,3.0,17,1.0,3073.753,0.552
104,3.0,20,-6.0,3547.215,0.004
104,3.0,21,-6.0,3469.066,0.0
104,3.0,22,2.0,3830.758,0.554
104,4.0,25,5.0,3953.621,0.747
104,4.0,28,1.0,3703.469,0.502
104,5.0,33,-7.0,1512.665,0.29
104,5.0,34,-1.0,2007.765,0.413
104,5.0,35,-8.0,1777.524,0.19
104,5.0,37,-3.0,1851.791,0.401
104,5.0,38,-5.0,1591.476,0.3
104,5.0,39,-4.0,2469.84,0.29
104,6.0,41,9.0,2546.92,0.934
104,6.0,42,9.0,2492.374,0.928
104,6.0,43,3.0,1900.221,0.638
104,6.0,44,1.0,2247.803,0.608
104,6.0,48,9.0,2501.929,0.919
104,7.0,49,10.0,2518.653,0.979
104,7.0,50,3.0,2012.407,0.623
104,7.0,51,16.0,1731.054,0.994
104,7.0,52,9.0,1334.944,0.738
104,7.0,53,9.0,1298.29,0.734
104,7.0,54,9.0,1500.671,0.729
104,7.0,55,10.0,2425.71,0.987
104,7.0,56,10.0,2595.282,0.989
105,1.0,1,8.0,3189.485,1.0
105,1.0,2,3.0,6558.669,0.99
105,1.0,3,12.0,1888.342,1.0
105,1.0,4,-3.0,6472.099,0.01
105,1.0,5,1.0,7680.244,0.661
105,1.0,6,8.0,3284.609,1.0
105,1.0,7,6.0,3628.981,0.862
105,1.0,8,1.0,7601.611,0.676
105,2.0,9,20.0,1217.325,1.0
105,2.0,10,6.0,3604.933,1.0
105,2.0,12,15.0,1453.311,1.0
105,2.0,13,6.0,3670.436,0.999
105,2.0,14,6.0,3618.982,0.999
105,2.0,16,11.0,2235.011,1.0
105,3.0,17,4.0,2671.973,0.781
105,3.0,18,3.0,3118.598,0.721
105,3.0,19,0.0,6896.114,0.45
105,3.0,20,-4.0,3817.198,0.127
105,3.0,21,-4.0,3981.904,0.129
105,3.0,22,7.0,3107.245,0.963
105,3.0,23,-1.0,6842.961,0.271
105,3.0,24,7.0,3203.302,0.967
105,4.0,25,17.0,1543.988,1.0
105,4.0,26,3.0,3006.548,0.6
105,4.0,27,4.0,3521.629,0.649
105,4.0,28,16.0,1778.867,0.996
105,4.0,30,17.0,1512.465,1.0
105,4.0,31,3.0,3131.454,0.603
105,4.0,32,4.0,3440.745,0.643
105,5.0,33,-8.0,2278.364,0.139
105,5.0,34,-4.0,2858.081,0.245
105,5.0,35,12.0,1665.864,1.0
105,5.0,36,-1.0,2833.334,0.504
105,5.0,37,-17.0,1331.081,0.0
105,5.0,38,-17.0,1350.008,0.0
105,5.0,39,3.0,3246.41,0.706
105,5.0,40,12.0,1638.733,1.0
105,6.0,41,-3.0,3399.546,0.371
105,6.0,42,-5.0,4000.804,0.046
105,6.0,43,-8.0,2979.906,0.019
105,6.0,44,-9.0,2506.038,0.071
105,6.0,45,-6.0,3085.132,0.11
105,6.0,46,-11.0,1766.621,0.0
105,6.0,48,-9.0,2431.805,0.057
105,7.0,49,2.0,5754.126,0.796
105,7.0,50,-5.0,3829.916,0.058
105,7.0,51,6.0,3198.453,1.0
105,7.0,52,-1.0,8027.149,0.375
105,7.0,53,1.0,7368.735,0.735
105,7.0,54,0.0,10333.984,0.533
106,1.0,1,5.0,3891.518,0.759
106,1.0,2,8.0,3428.259,0.974
106,2.0,10,13.0,1884.305,1.0
106,2.0,11,-1.0,4027.476,0.367
106,2.0,14,3.0,3088.193,0.573
106,2.0,16,-2.0,4275.21,0.285
106,3.0,17,-5.0,1690.06,0.34
106,3.0,18,-3.0,2138.554,0.324
106,3.0,19,1.0,2536.691,0.495
106,3.0,20,-8.0,1484.838,0.272
106,3.0,21,-9.0,1453.91,0.264
106,3.0,22,-5.0,1775.238,0.324
106,3.0,24,-3.0,1946.375,0.392
106,4.0,25,-9.0,2656.612,0.0
106,4.0,26,-13.0,1926.489,0.0
106,4.0,27,-17.0,1308.167,0.0
106,4.0,28,-5.0,5358.105,0.036
106,4.0,29,-17.0,1321.384,0.0
