subject_id,game,trial_number,v_offer,time_ms_sim_mean,accept_sim_mean
101,1.0,1,2.0,4788.91,0.846
101,1.0,4,1.0,5277.72,0.718
101,1.0,5,2.0,4513.163,0.832
101,1.0,6,1.0,5598.74,0.719
101,1.0,7,7.0,2043.285,0.974
101,1.0,8,-5.0,2570.163,0.042
101,2.0,9,-7.0,1893.538,0.026
101,2.0,10,1.0,5314.514,0.715
101,2.0,11,-7.0,1929.771,0.025
101,2.0,13,-15.0,1010.289,0.012
101,2.0,14,-7.0,1989.066,0.031
101,2.0,15,-17.0,1005.461,0.022
101,2.0,16,3.0,3728.013,0.922
101,3.0,17,2.0,4513.322,0.835
101,3.0,19,-2.0,4295.467,0.142
101,3.0,20,2.0,4413.594,0.844
101,3.0,21,8.0,1734.243,0.982
101,3.0,22,4.0,2956.662,0.946
101,3.0,23,2.0,4376.259,0.836
101,3.0,24,4.0,2997.767,0.939
101,4.0,25,1.0,5676.082,0.684
101,4.0,26,-1.0,5132.61,0.314
101,4.0,27,6.0,2257.6,0.953
101,4.0,28,2.0,4541.311,0.84
101,4.0,29,-1.0,5276.306,0.268
101,4.0,30,3.0,3592.345,0.89
101,4.0,31,4.0,3077.004,0.933
101,4.0,32,6.0,2169.485,0.962
101,5.0,33,1.0,5796.245,0.68
101,5.0,34,1.0,5500.591,0.698
101,5.0,35,1.0,5523.457,0.686
101,5.0,36,-1.0,5424.975,0.269
101,6.0,41,1.0,5562.974,0.688
101,6.0,42,3.0,3619.833,0.91
101,6.0,43,-1.0,5241.165,0.26
101,6.0,44,3.0,3704.279,0.905
101,6.0,45,3.0,3592.169,0.907
101,6.0,46,1.0,5516.9,0.7
101,6.0,47,-1.0,5306.851,0.273
101,6.0,48,-1.0,5252.238,0.284
101,7.0,49,-6.0,2152.55,0.035
101,7.0,50,-3.0,3569.249,0.083
101,7.0,51,-3.0,3682.307,0.083
101,7.0,52,-7.0,1950.073,0.017
101,7.0,53,-6.0,2235.966,0.035
101,7.0,54,-2.0,4506.366,0.144
101,7.0,55,-3.0,3567.225,0.086
101,7.0,56,-6.0,2229.117,0.036
103,1.0,1,2.0,4504.924,0.841
103,1.0,2,9.0,1618.983,0.977
103,1.0,3,5.0,2589.825,0.959
103,1.0,4,-2.0,4529.997,0.155
103,1.0,5,-1.0,5540.952,0.274
103,1.0,6,-2.0,4393.296,0.156
103,1.0,7,8.0,1799.512,0.973
103,1.0,8,9.0,1606.178,0.971
103,2.0,9,-2.0,4530.205,0.163
103,2.0,10,-5.0,2425.165,0.05
103,2.0,11,-2.0,4627.349,0.149
103,2.0,12,-2.0,4484.186,0.152
103,2.0,13,3.0,3730.109,0.903
103,2.0,14,0.0,5698.254,0.481
103,2.0,15,0.0,5753.427,0.506
103,2.0,16,0.0,5800.02,0.499
103,3.0,17,4.0,3084.442,0.936
103,3.0,18,5.0,2375.39,0.948
103,3.0,19,5.0,2634.833,0.959
103,3.0,20,11.0,1372.211,0.988
103,3.0,21,-1.0,5447.009,0.28
103,3.0,22,6.0,2289.68,0.971
103,3.0,23,5.0,2609.8,0.945
103,3.0,24,5.0,2582.143,0.956
103,4.0,25,-3.0,3652.036,0.08
103,4.0,26,-1.0,5365.393,0.287
103,4.0,27,1.0,5472.459,0.718
103,4.0,28,1.0,5442.429,0.709
103,4.0,29,1.0,5593.906,0.711
103,4.0,30,-1.0,5179.561,0.268
103,4.0,31,-3.0,3462.442,0.069
103,4.0,32,-3.0,3598.685,0.103
103,5.0,33,-1.0,5641.905,0.263
103,5.0,34,-2.0,4438.919,0.156
103,5.0,35,-4.0,3086.185,0.058
103,5.0,36,-1.0,5391.37,0.286
103,5.0,37,-3.0,3693.284,0.093
103,5.0,38,-2.0,4627.756,0.145
103,6.0,41,-3.0,3744.86,0.101
103,6.0,42,-2.0,4530.492,0.144
