subject_id,game,trial_number,v_offer,time_ms_sim_mean,accept_sim_mean
101,1.0,1,2.0,7997.049,0.625
101,1.0,4,1.0,9749.054,0.551
101,1.0,5,2.0,8013.855,0.619
101,1.0,6,1.0,9375.38,0.526
101,1.0,7,7.0,5706.233,0.782
101,1.0,8,-5.0,6412.051,0.266
101,2.0,9,-7.0,8919.33,0.02
101,2.0,10,1.0,7373.918,0.57
101,2.0,11,-7.0,8982.88,0.016
101,2.0,13,-15.0,5521.391,0.0
101,2.0,14,-7.0,5278.127,0.261
101,2.0,15,-17.0,5376.082,0.0
101,2.0,16,3.0,7562.321,0.643
101,3.0,17,2.0,16099.638,0.903
101,3.0,19,-2.0,15344.481,0.086
101,3.0,20,2.0,16162.641,0.887
101,3.0,21,8.0,6906.972,0.967
101,3.0,22,4.0,9761.771,0.754
101,3.0,23,2.0,15722.147,0.896
101,3.0,24,4.0,9799.554,0.723
101,4.0,25,1.0,7629.41,0.569
101,4.0,26,-1.0,7794.481,0.502
101,4.0,27,6.0,5813.42,0.735
101,4.0,28,2.0,6474.924,0.634
101,4.0,29,-1.0,7306.239,0.475
101,4.0,30,3.0,7717.022,0.619
101,4.0,31,4.0,7211.719,0.715
101,4.0,32,6.0,5756.0,0.702
101,5.0,33,1.0,8413.595,0.467
101,5.0,34,1.0,7965.421,0.502
101,5.0,35,1.0,8092.227,0.494
101,5.0,36,-1.0,6669.94,0.417
101,6.0,41,1.0,9959.472,0.538
101,6.0,42,3.0,8291.397,0.604
101,6.0,43,-1.0,7820.66,0.394
101,6.0,44,3.0,8202.554,0.592
101,6.0,45,3.0,8380.892,0.581
101,6.0,46,1.0,8059.413,0.512
101,6.0,47,-1.0,7838.075,0.402
101,6.0,48,-1.0,8019.491,0.396
101,7.0,49,-6.0,9068.721,0.111
101,7.0,50,-3.0,14002.518,0.086
101,7.0,51,-3.0,14546.171,0.079
101,7.0,52,-7.0,9087.28,0.022
101,7.0,53,-6.0,9394.247,0.107
101,7.0,54,-2.0,15029.469,0.207
101,7.0,55,-3.0,14344.243,0.061
101,7.0,56,-6.0,8985.782,0.116
103,1.0,1,2.0,7164.709,0.601
103,1.0,2,9.0,6679.665,0.996
103,1.0,3,5.0,9625.545,0.867
103,1.0,4,-2.0,7106.415,0.386
103,1.0,5,-1.0,22014.077,0.189
103,1.0,6,-2.0,7431.301,0.394
103,1.0,7,8.0,5014.127,0.769
103,1.0,8,9.0,6729.443,0.997
103,2.0,9,-2.0,11703.852,0.336
103,2.0,10,-5.0,8688.811,0.095
103,2.0,11,-2.0,11236.552,0.338
103,2.0,12,-2.0,11165.65,0.326
103,2.0,13,3.0,13515.101,0.994
103,2.0,14,0.0,21441.135,0.463
103,2.0,15,0.0,21746.713,0.475
103,2.0,16,0.0,21466.814,0.451
103,3.0,17,4.0,6441.365,0.665
103,3.0,18,5.0,9454.955,0.869
103,3.0,19,5.0,5337.673,0.682
103,3.0,20,11.0,5800.561,0.987
103,3.0,21,-1.0,6730.47,0.417
103,3.0,22,6.0,9014.721,0.874
103,3.0,23,5.0,5446.473,0.679
103,3.0,24,5.0,9505.521,0.866
103,4.0,25,-3.0,9207.723,0.399
103,4.0,26,-1.0,7702.248,0.516
103,4.0,27,1.0,8657.205,0.612
103,4.0,28,1.0,8834.137,0.622
103,4.0,29,1.0,9148.017,0.581
103,4.0,30,-1.0,9168.785,0.463
103,4.0,31,-3.0,8605.603,0.406
103,4.0,32,-3.0,8964.134,0.4
103,5.0,33,-1.0,8006.883,0.392
103,5.0,34,-2.0,8416.039,0.338
103,5.0,35,-4.0,7555.795,0.282
103,5.0,36,-1.0,9170.75,0.38
103,5.0,37,-3.0,7698.302,0.333
103,5.0,38,-2.0,8470.13,0.313
103,6.0,41,-3.0,9674.314,0.196
103,6.0,42,-2.0,10400.23,0.265
103,6.0,43,1.0,13519.092,0.629
103,6.0,44,1.0,13643.812,0.603
103,6.0,45,-2.0,9567.263,0.326
103,6.0,47,2.0,14192.871,0.749
103,6.0,48,-2.0,10344.568,0.264
103,7.0,49,-1.0,16423.687,0.324
103,7.0,50,-7.0,7782.371,0.023
103,7.0,51,4.0,10508.475,1.0
103,7.0,52,-1.0,17092.002,0.336
103,7.0,53,4.0,10037.129,1.0
103,7.0,54,-7.0,7747.008,0.026
103,7.0,55,-2.0,14199.82,0.217
103,7.0,56,-2.0,14210.022,0.215
104,1.0,5,6.0,7890.796,0.89
104,2.0,9,-5.0,5647.551,0.315
104,2.0,10,9.0,5047.532,0.785
104,2.0,12,-8.0,6053.201,0.168
104,2.0,13,-7.0,5491.386,0.274
104,2.0,14,4.0,6362.731,0.643
104,2.0,15,6.0,5626.093,0.758
104,2.0,16,7.0,5036.221,0.723
104,3.0,17,1.0,9012.626,0.562
104,3.0,20,-6.0,8300.124,0.003
104,3.0,21,-6.0,8318.962,0.001
104,3.0,22,2.0,9473.191,0.607
104,4.0,25,5.0,8986.679,0.759
104,4.0,28,1.0,9855.029,0.514
104,5.0,33,-7.0,5368.452,0.276
104,5.0,34,-1.0,6486.448,0.42
104,5.0,35,-8.0,5845.374,0.18
104,5.0,37,-3.0,7049.274,0.393
104,5.0,38,-5.0,5358.86,0.297
104,5.0,39,-4.0,7938.323,0.271
104,6.0,41,9.0,6498.941,0.944
104,6.0,42,9.0,6342.979,0.94
104,6.0,43,3.0,6609.69,0.649
104,6.0,44,1.0,7437.072,0.608
104,6.0,48,9.0,6372.703,0.936
104,7.0,49,10.0,6205.221,0.981
104,7.0,50,3.0,6481.212,0.631
104,7.0,51,16.0,5056.038,0.989
104,7.0,52,9.0,4932.932,0.737
104,7.0,53,9.0,4601.016,0.736
104,7.0,54,9.0,4962.951,0.752
104,7.0,55,10.0,6362.356,0.989
104,7.0,56,10.0,6667.204,0.989
105,1.0,1,8.0,7173.231,0.999
105,1.0,2,3.0,13652.463,0.993
105,1.0,3,12.0,5463.293,1.0
105,1.0,4,-3.0,13960.387,0.005
105,1.0,5,1.0,18011.91,0.69
105,1.0,6,8.0,7597.412,0.999
105,1.0,7,6.0,8257.832,0.879
105,1.0,8,1.0,17017.494,0.703
105,2.0,9,20.0,4322.455,1.0
105,2.0,10,6.0,8131.797,1.0
105,2.0,12,15.0,4917.027,1.0
105,2.0,13,6.0,8242.739,0.999
105,2.0,14,6.0,8230.775,0.999
105,2.0,16,11.0,5916.798,0.999
105,3.0,17,4.0,7808.489,0.801
105,3.0,18,3.0,9013.588,0.738
105,3.0,19,0.0,15977.143,0.465
105,3.0,20,-4.0,9952.194,0.121
105,3.0,21,-4.0,10248.726,0.116
105,3.0,22,7.0,7391.822,0.971
105,3.0,23,-1.0,15087.132,0.269
105,3.0,24,7.0,7568.851,0.967
105,4.0,25,17.0,4874.697,1.0
105,4.0,26,3.0,8098.206,0.626
105,4.0,27,4.0,8870.063,0.665
105,4.0,28,16.0,5012.731,0.993
105,4.0,30,17.0,4700.457,1.0
105,4.0,31,3.0,8393.381,0.618
105,4.0,32,4.0,8617.554,0.661
105,5.0,33,-8.0,6933.82,0.118
105,5.0,34,-4.0,8691.605,0.217
105,5.0,35,12.0,5069.226,1.0
105,5.0,36,-1.0,8083.836,0.488
105,5.0,37,-17.0,5027.923,0.0
105,5.0,38,-17.0,5480.418,0.0
105,5.0,39,3.0,8563.347,0.732
105,5.0,40,12.0,5133.98,1.0
105,6.0,41,-3.0,9593.829,0.353
105,6.0,42,-5.0,9053.958,0.033
105,6.0,43,-8.0,7558.547,0.015
105,6.0,44,-9.0,6948.156,0.062
105,6.0,45,-6.0,8250.841,0.093
105,6.0,46,-11.0,5786.949,0.0
105,6.0,48,-9.0,6598.505,0.042
105,7.0,49,2.0,12841.449,0.824
105,7.0,50,-5.0,8837.912,0.047
105,7.0,51,6.0,7616.328,1.0
105,7.0,52,-1.0,16940.354,0.352
105,7.0,53,1.0,17177.69,0.748
105,7.0,54,0.0,21411.154,0.518
106,1.0,1,5.0,8566.459,0.789
106,1.0,2,8.0,7711.981,0.974
106,2.0,10,13.0,5505.126,1.0
106,2.0,11,-1.0,10202.874,0.377
106,2.0,14,3.0,8303.216,0.599
106,2.0,16,-2.0,10717.685,0.256
106,3.0,17,-5.0,5877.767,0.329
106,3.0,18,-3.0,7355.413,0.319
106,3.0,19,1.0,7725.413,0.506
106,3.0,20,-8.0,5224.333,0.261
106,3.0,21,-9.0,5423.271,0.254
106,3.0,22,-5.0,5983.855,0.305
106,3.0,24,-3.0,6739.703,0.392
106,4.0,25,-9.0,7085.377,0.002
106,4.0,26,-13.0,6052.828,0.0
106,4.0,27,-17.0,5106.009,0.0
106,4.0,28,-5.0,10452.716,0.039
106,4.0,29,-17.0,4949.961,0.0
106,4.0,30,-5.0,10633.748,0.022
106,4.0,31,-5.0,10285.948,0.025
106,4.0,32,-17.0,4916.788,0.0
106,5.0,33,2.0,10857.429,0.737
106,5.0,34,-1.0,8313.796,0.505
106,5.0,35,2.0,10857.648,0.747
106,5.0,36,3.0,9819.352,0.773
106,5.0,37,2.0,10978.126,0.72
106,5.0,38,-2.0,8562.656,0.421
106,5.0,39,-1.0,8182.892,0.493
106,5.0,40,-1.0,8042.176,0.483
106,6.0,41,5.0,8302.443,0.776
106,6.0,42,3.0,8423.05,0.601
106,6.0,43,1.0,7863.002,0.548
106,6.0,44,-1.0,6382.278,0.428
106,6.0,45,5.0,8505.055,0.777
106,6.0,46,-1.0,6942.999,0.411
106,6.0,47,5.0,8405.103,0.779
106,7.0,49,-5.0,8570.262,0.094
106,7.0,51,-1.0,15087.058,0.277
106,7.0,52,-11.0,6076.79,0.041
106,7.0,54,-5.0,7334.046,0.254
106,7.0,55,1.0,13865.652,0.58
106,7.0,56,-9.0,6642.758,0.0
108,1.0,1,-2.0,15444.06,0.08
108,1.0,2,1.0,8678.143,0.627
108,1.0,3,-2.0,10080.923,0.4
108,1.0,4,3.0,13110.02,0.915
108,1.0,5,-2.0,15930.11,0.089
108,1.0,6,1.0,8487.81,0.602
108,1.0,7,1.0,13565.532,0.605
108,1.0,8,-4.0,8521.847,0.267
108,2.0,9,-5.0,5721.078,0.288
108,2.0,10,-13.0,5735.893,0.0
108,2.0,11,1.0,7711.025,0.539
108,2.0,12,-7.0,8867.631,0.018
108,2.0,13,-5.0,5626.2,0.294
108,2.0,14,-5.0,10499.442,0.036
108,2.0,15,-7.0,5641.897,0.28
108,2.0,16,-7.0,9002.054,0.02
108,3.0,17,-4.0,7046.848,0.324
108,3.0,18,2.0,7879.417,0.573
108,3.0,19,-4.0,6870.412,0.326
108,3.0,20,7.0,8836.168,0.967
108,3.0,21,7.0,8949.25,0.968
108,3.0,22,1.0,8797.041,0.518
108,3.0,23,2.0,7556.582,0.556
108,3.0,24,1.0,8796.078,0.54
108,4.0,25,2.0,6846.649,0.625
108,4.0,26,-4.0,12352.413,0.054
