subject_id,game,trial_number,v_offer,time_ms_sim_mean,accept_sim_mean
101,1.0,1,2.0,9522.319,0.891
101,1.0,4,1.0,10855.785,0.74
101,1.0,5,2.0,9921.975,0.868
101,1.0,6,1.0,11113.282,0.744
101,1.0,7,7.0,5213.274,0.98
101,1.0,8,-5.0,6221.484,0.018
101,2.0,9,-7.0,5685.245,0.017
101,2.0,10,1.0,11159.69,0.735
101,2.0,11,-7.0,5508.124,0.017
101,2.0,13,-15.0,4404.101,0.009
101,2.0,14,-7.0,5616.516,0.021
101,2.0,15,-17.0,4306.719,0.014
101,2.0,16,3.0,8242.145,0.944
101,3.0,17,2.0,9141.703,0.864
101,3.0,19,-2.0,8914.618,0.123
101,3.0,20,2.0,9245.775,0.878
101,3.0,21,8.0,4476.551,0.986
101,3.0,22,4.0,7019.867,0.961
101,3.0,23,2.0,9481.465,0.865
101,3.0,24,4.0,7062.403,0.962
101,4.0,25,1.0,11533.762,0.71
101,4.0,26,-1.0,10454.46,0.268
101,4.0,27,6.0,5496.04,0.966
101,4.0,28,2.0,9237.246,0.872
101,4.0,29,-1.0,10709.256,0.247
101,4.0,30,3.0,8034.894,0.917
101,4.0,31,4.0,7562.118,0.954
101,4.0,32,6.0,5447.449,0.969
101,5.0,33,1.0,11798.421,0.708
101,5.0,34,1.0,11129.886,0.731
101,5.0,35,1.0,11365.232,0.72
101,5.0,36,-1.0,10883.119,0.233
101,6.0,41,1.0,11464.115,0.724
101,6.0,42,3.0,7876.353,0.934
101,6.0,43,-1.0,10324.199,0.231
101,6.0,44,3.0,8116.176,0.934
101,6.0,45,3.0,8279.386,0.93
101,6.0,46,1.0,11291.73,0.733
101,6.0,47,-1.0,10775.167,0.239
101,6.0,48,-1.0,10475.005,0.257
101,7.0,49,-6.0,5675.868,0.021
101,7.0,50,-3.0,8306.629,0.055
101,7.0,51,-3.0,8424.404,0.057
101,7.0,52,-7.0,5198.502,0.009
101,7.0,53,-6.0,5878.12,0.021
101,7.0,54,-2.0,9205.268,0.109
101,7.0,55,-3.0,8470.324,0.06
101,7.0,56,-6.0,5749.421,0.022
103,1.0,1,2.0,9430.877,0.867
103,1.0,2,9.0,4660.638,0.993
103,1.0,3,5.0,5977.962,0.969
103,1.0,4,-2.0,9613.907,0.123
103,1.0,5,-1.0,11026.615,0.231
103,1.0,6,-2.0,9459.711,0.118
103,1.0,7,8.0,4704.303,0.983
103,1.0,8,9.0,4572.499,0.986
103,2.0,9,-2.0,9729.144,0.124
103,2.0,10,-5.0,6271.741,0.028
103,2.0,11,-2.0,9253.626,0.118
103,2.0,12,-2.0,9348.512,0.116
103,2.0,13,3.0,8151.121,0.933
103,2.0,14,0.0,11694.612,0.472
103,2.0,15,0.0,12460.718,0.494
103,2.0,16,0.0,11902.058,0.507
103,3.0,17,4.0,7535.492,0.957
103,3.0,18,5.0,5761.571,0.971
103,3.0,19,5.0,5978.5,0.97
103,3.0,20,11.0,4308.495,0.995
103,3.0,21,-1.0,11001.842,0.256
103,3.0,22,6.0,5601.387,0.983
103,3.0,23,5.0,6138.073,0.961
103,3.0,24,5.0,6074.494,0.971
103,4.0,25,-3.0,8646.212,0.059
103,4.0,26,-1.0,10489.009,0.257
103,4.0,27,1.0,11352.126,0.754
103,4.0,28,1.0,11329.311,0.724
103,4.0,29,1.0,11442.69,0.751
103,4.0,30,-1.0,10647.403,0.238
103,4.0,31,-3.0,8588.954,0.05
103,4.0,32,-3.0,8956.623,0.073
103,5.0,33,-1.0,11150.627,0.24
103,5.0,34,-2.0,8867.326,0.117
103,5.0,35,-4.0,7369.032,0.039
103,5.0,36,-1.0,10686.081,0.266
103,5.0,37,-3.0,8675.666,0.067
103,5.0,38,-2.0,9459.453,0.116
103,6.0,41,-3.0,8805.666,0.077
103,6.0,42,-2.0,9128.64,0.111
103,6.0,43,1.0,11162.361,0.73
103,6.0,44,1.0,11492.793,0.747
103,6.0,45,-2.0,9223.13,0.113
103,6.0,47,2.0,9290.475,0.884
103,6.0,48,-2.0,9074.164,0.123
103,7.0,49,-1.0,10951.228,0.243
103,7.0,50,-7.0,5625.663,0.016
103,7.0,51,4.0,7342.757,0.959
103,7.0,52,-1.0,11013.219,0.224
103,7.0,53,4.0,7336.445,0.959
103,7.0,54,-7.0,5540.238,0.017
103,7.0,55,-2.0,9674.121,0.112
103,7.0,56,-2.0,9195.105,0.121
104,1.0,5,6.0,5461.177,0.977
104,2.0,9,-5.0,6435.123,0.028
104,2.0,10,9.0,4555.639,0.98
104,2.0,12,-8.0,5093.01,0.015
104,2.0,13,-7.0,5469.473,0.018
104,2.0,14,4.0,7215.48,0.943
104,2.0,15,6.0,5287.036,0.981
104,2.0,16,7.0,5383.604,0.986
104,3.0,17,1.0,11549.568,0.743
104,3.0,20,-6.0,5791.356,0.019
104,3.0,21,-6.0,5868.495,0.02
104,3.0,22,2.0,9273.613,0.87
104,4.0,25,5.0,5907.235,0.966
104,4.0,28,1.0,11406.029,0.711
104,5.0,33,-7.0,5654.987,0.01
104,5.0,34,-1.0,10459.518,0.26
104,5.0,35,-8.0,5028.478,0.015
104,5.0,37,-3.0,8322.683,0.06
104,5.0,38,-5.0,5994.299,0.022
104,5.0,39,-4.0,7888.893,0.029
104,6.0,41,9.0,4617.521,0.984
104,6.0,42,9.0,4583.437,0.993
104,6.0,43,3.0,8237.032,0.938
104,6.0,44,1.0,11198.202,0.719
104,6.0,48,9.0,4430.501,0.983
104,7.0,49,10.0,4371.008,0.986
104,7.0,50,3.0,8191.494,0.936
104,7.0,51,16.0,3892.248,0.994
104,7.0,52,9.0,4651.222,0.991
104,7.0,53,9.0,4329.102,0.988
104,7.0,54,9.0,4888.559,0.981
104,7.0,55,10.0,4330.64,0.99
104,7.0,56,10.0,4474.325,0.993
105,1.0,1,8.0,4730.597,0.988
105,1.0,2,3.0,7940.279,0.934
105,1.0,3,12.0,4097.827,0.992
105,1.0,4,-3.0,8537.851,0.061
105,1.0,5,1.0,11450.535,0.702
105,1.0,6,8.0,4844.187,0.983
105,1.0,7,6.0,5631.6,0.975
105,1.0,8,1.0,11540.98,0.714
105,2.0,9,20.0,3762.082,0.988
105,2.0,10,6.0,5300.998,0.969
105,2.0,12,15.0,3965.297,0.994
105,2.0,13,6.0,5446.977,0.979
105,2.0,14,6.0,5633.971,0.975
105,2.0,16,11.0,4391.322,0.992
105,3.0,17,4.0,6996.395,0.95
105,3.0,18,3.0,8211.769,0.931
105,3.0,19,0.0,11735.522,0.494
105,3.0,20,-4.0,7372.317,0.044
105,3.0,21,-4.0,7837.636,0.045
105,3.0,22,7.0,5313.707,0.977
105,3.0,23,-1.0,10812.858,0.243
105,3.0,24,7.0,5103.61,0.976
105,4.0,25,17.0,3654.27,0.995
105,4.0,26,3.0,7920.553,0.941
105,4.0,27,4.0,6790.116,0.949
105,4.0,28,16.0,3706.642,0.991
105,4.0,30,17.0,3869.079,0.994
105,4.0,31,3.0,8201.982,0.935
105,4.0,32,4.0,7198.973,0.964
105,5.0,33,-8.0,5243.947,0.011
105,5.0,34,-4.0,7951.281,0.025
105,5.0,35,12.0,4103.504,0.998
105,5.0,36,-1.0,10582.951,0.25
105,5.0,37,-17.0,4553.652,0.008
105,5.0,38,-17.0,4453.826,0.007
105,5.0,39,3.0,8156.516,0.911
105,5.0,40,12.0,4334.254,0.994
105,6.0,41,-3.0,8423.42,0.075
105,6.0,42,-5.0,6023.247,0.036
105,6.0,43,-8.0,5180.498,0.013
105,6.0,44,-9.0,5304.293,0.008
105,6.0,45,-6.0,5878.995,0.017
105,6.0,46,-11.0,4906.537,0.006
105,6.0,48,-9.0,5135.93,0.009
105,7.0,49,2.0,9257.333,0.863
105,7.0,50,-5.0,6073.574,0.026
105,7.0,51,6.0,5228.566,0.981
105,7.0,52,-1.0,10854.735,0.265
105,7.0,53,1.0,11682.997,0.741
105,7.0,54,0.0,12525.03,0.508
106,1.0,1,5.0,5906.395,0.972
106,1.0,2,8.0,4726.335,0.988
106,2.0,10,13.0,3974.279,0.991
106,2.0,11,-1.0,10423.131,0.264
106,2.0,14,3.0,8042.574,0.939
106,2.0,16,-2.0,9256.968,0.131
106,3.0,17,-5.0,6245.219,0.032
106,3.0,18,-3.0,8633.141,0.07
106,3.0,19,1.0,11282.285,0.74
106,3.0,20,-8.0,5558.82,0.012
106,3.0,21,-9.0,5030.167,0.012
106,3.0,22,-5.0,6303.911,0.024
106,3.0,24,-3.0,8486.167,0.072
106,4.0,25,-9.0,4992.499,0.005
106,4.0,26,-13.0,4560.135,0.01
106,4.0,27,-17.0,4275.205,0.008
106,4.0,28,-5.0,6153.283,0.022
106,4.0,29,-17.0,4292.448,0.008
106,4.0,30,-5.0,6332.837,0.014
106,4.0,31,-5.0,6105.259,0.016
106,4.0,32,-17.0,4410.158,0.011
106,5.0,33,2.0,8806.906,0.878
106,5.0,34,-1.0,11076.82,0.265
106,5.0,35,2.0,9769.631,0.872
106,5.0,36,3.0,8160.489,0.936
106,5.0,37,2.0,9067.621,0.872
106,5.0,38,-2.0,9081.445,0.103
106,5.0,39,-1.0,11267.173,0.263
106,5.0,40,-1.0,10185.113,0.226
106,6.0,41,5.0,5672.193,0.974
106,6.0,42,3.0,8260.61,0.933
106,6.0,43,1.0,11050.159,0.727
106,6.0,44,-1.0,10629.153,0.259
106,6.0,45,5.0,6035.0,0.969
106,6.0,46,-1.0,10509.586,0.276
106,6.0,47,5.0,6184.119,0.973
106,7.0,49,-5.0,6373.427,0.025
106,7.0,51,-1.0,10741.939,0.243
106,7.0,52,-11.0,5032.6,0.007
106,7.0,54,-5.0,5900.378,0.036
106,7.0,55,1.0,11268.819,0.73
106,7.0,56,-9.0,5272.585,0.01
108,1.0,1,-2.0,9515.508,0.121
108,1.0,2,1.0,11365.206,0.719
108,1.0,3,-2.0,9257.966,0.126
108,1.0,4,3.0,8025.012,0.938
108,1.0,5,-2.0,9517.783,0.121
108,1.0,6,1.0,10990.675,0.771
108,1.0,7,1.0,11116.204,0.748
108,1.0,8,-4.0,7734.755,0.038
108,2.0,9,-5.0,6425.741,0.016
108,2.0,10,-13.0,4364.533,0.012
108,2.0,11,1.0,11357.527,0.704
108,2.0,12,-7.0,5318.649,0.013
108,2.0,13,-5.0,6198.227,0.02
108,2.0,14,-5.0,6411.901,0.03
108,2.0,15,-7.0,5626.033,0.016
108,2.0,16,-7.0,5798.662,0.018
108,3.0,17,-4.0,7503.03,0.049
108,3.0,18,2.0,9190.62,0.868
108,3.0,19,-4.0,7506.966,0.043
108,3.0,20,7.0,5183.354,0.988
108,3.0,21,7.0,5125.771,0.983
108,3.0,22,1.0,11455.072,0.708
108,3.0,23,2.0,9237.466,0.861
108,3.0,24,1.0,10958.854,0.741
108,4.0,25,2.0,9112.849,0.869
108,4.0,26,-4.0,7846.839,0.031
108,4.0,27,-1.0,10880.679,0.263
108,4.0,28,-3.0,8429.483,0.073
108,4.0,29,2.0,9030.374,0.847
108,4.0,30,1.0,11009.778,0.736
108,4.0,31,-1.0,11052.293,0.246
108,4.0,32,-4.0,7606.053,0.04
