subject_id,game,trial_number,option,rt_s,total_fix_time_ms,n_fixations,total_fix_time_s,true_offer_value,recalled_offer_value,accept
101,1,1,Animal,12.338066875003278,1398.0,4,1.398,-1.0,2.0,0.0
101,1,4,Object,23.057488374994136,1168.0,3,1.168,1.0,1.0,1.0
101,1,5,Pattern,8.188803375000134,1418.0,7,1.418,-1.0,2.0,0.0
101,1,6,Solid,5.252752249944024,2601.0,3,2.601,1.0,1.0,1.0
101,1,7,Sea,1.8111851669382304,265.0,1,0.265,1.0,7.0,1.0
101,1,8,Small,2.301793250022456,465.0,1,0.465,-5.0,-5.0,0.0
101,2,9,Land,19.747027875040654,5360.0,8,5.36,-7.0,-7.0,0.0
101,2,10,Large,10.80698737502098,4267.0,8,4.267,1.0,1.0,0.0
101,2,11,Animal,21.413059125072323,7756.0,17,7.756,-7.0,-7.0,1.0
101,2,13,Small,8.690614124992862,2408.0,7,2.408,-15.0,-15.0,0.0
101,2,14,Object,6.621130750048906,2818.0,6,2.818,-7.0,-7.0,0.0
101,2,15,Solid,7.580716666998342,3500.0,10,3.5,-17.0,-17.0,0.0
101,2,16,Pattern,4.666229874943383,1538.0,7,1.538,3.0,3.0,1.0
101,3,17,Land,33.20751295797527,16626.0,20,16.626,2.0,2.0,1.0
101,3,19,Large,7.376978749991395,4727.0,7,4.727,-2.0,-2.0,0.0
101,3,20,Object,6.0246376659488305,4455.0,8,4.455,2.0,2.0,1.0
101,3,21,Small,2.1925120829837397,1472.0,3,1.472,8.0,8.0,1.0
101,3,22,Animal,1.0523985410109162,856.0,1,0.856,4.0,4.0,1.0
101,3,23,Pattern,10.507461083005182,4696.0,9,4.696,2.0,2.0,1.0
101,3,24,Sea,2.96003983297851,2111.0,5,2.111,4.0,4.0,1.0
101,4,25,Land,15.08604804193601,8884.0,10,8.884,-1.0,1.0,1.0
101,4,26,Object,13.194192833034322,7433.0,15,7.433,-1.0,-1.0,1.0
101,4,27,Animal,6.755183957982808,2890.0,7,2.89,4.0,6.0,1.0
101,4,28,Small,11.721790582989344,3668.0,7,3.668,2.0,2.0,1.0
101,4,29,Solid,15.720312208984978,6427.0,14,6.427,-1.0,-1.0,0.0
101,4,30,Large,8.06427795800846,4239.0,11,4.239,1.0,3.0,1.0
101,4,31,Sea,6.194624542025849,4086.0,9,4.086,4.0,4.0,1.0
101,4,32,Pattern,4.627517707995139,2744.0,6,2.744,4.0,6.0,1.0
101,5,33,Object,19.036868416937068,8174.0,19,8.174,1.0,1.0,1.0
101,5,34,Sea,8.802479250007309,4826.0,10,4.826,1.0,1.0,1.0
101,5,35,Large,11.9978993749246,5326.0,12,5.326,1.0,1.0,1.0
101,5,36,Pattern,7.186649541021325,2628.0,8,2.628,-1.0,-1.0,1.0
101,6,41,Land,34.82091787504032,13720.0,34,13.72,1.0,1.0,1.0
101,6,42,Animal,9.28916908300016,3824.0,9,3.824,1.0,3.0,1.0
101,6,43,Large,9.135290417005308,3696.0,7,3.696,-1.0,-1.0,0.0
101,6,44,Solid,15.752294708043337,8799.0,11,8.799,1.0,3.0,1.0
101,6,45,Small,22.01103254093323,6622.0,10,6.622,1.0,3.0,0.0
101,6,46,Sea,6.700038500013761,3913.0,9,3.913,-1.0,1.0,1.0
101,6,47,Object,7.431222124956548,4656.0,8,4.656,-1.0,-1.0,1.0
101,6,48,Pattern,5.113205374917015,2508.0,2,2.508,-1.0,-1.0,1.0
101,7,49,Solid,12.365650417050349,5969.0,7,5.969,-6.0,-6.0,0.0
101,7,50,Small,10.72541779105086,5974.0,4,5.974,-2.0,-3.0,0.0
101,7,51,Pattern,9.400387874920852,6522.0,10,6.522,-2.0,-3.0,0.0
101,7,52,Land,6.281259207986295,3130.0,4,3.13,-7.0,-7.0,0.0
101,7,53,Large,6.40163429104723,2841.0,7,2.841,-6.0,-6.0,0.0
101,7,54,Sea,7.092488958965987,3688.0,6,3.688,-1.0,-2.0,0.0
101,7,55,Animal,8.314516582991928,4213.0,8,4.213,-3.0,-3.0,0.0
101,7,56,Object,2.457128416048363,1049.0,3,1.049,-5.0,-6.0,0.0
103,1,1,Sea,14.062734958017243,8750.0,13,8.75,-1.0,2.0,0.0
103,1,2,Large,24.833274999982677,12826.0,19,12.826,6.0,9.0,1.0
103,1,3,Land,12.0465518750716,4981.0,8,4.981,5.0,5.0,0.0
103,1,4,Object,10.608763040974736,6397.0,6,6.397,-2.0,-2.0,1.0
103,1,5,Solid,10.133375832927412,5776.0,7,5.776,-1.0,-1.0,0.0
103,1,6,Small,5.040337499929592,3406.0,7,3.406,-2.0,-2.0,1.0
103,1,7,Pattern,8.420043624937534,5448.0,9,5.448,5.0,8.0,1.0
103,1,8,Animal,6.173746875021607,4072.0,5,4.072,6.0,9.0,1.0
103,2,9,Animal,15.300518541014752,10106.0,17,10.106,2.0,-2.0,1.0
103,2,10,Pattern,10.054789750021882,5905.0,10,5.905,-5.0,-5.0,0.0
103,2,11,Sea,22.120465916930694,14308.0,22,14.308,-2.0,-2.0,1.0
103,2,12,Small,10.743996166042052,6467.0,17,6.467,-2.0,-2.0,0.0
103,2,13,Solid,19.61226841597818,9984.0,18,9.984,-3.0,3.0,1.0
