subject,correct_bin,game,rt,true_offer_value,recalled_offer_value,recalled_total_count,recalled_offer_count
101,1,1,12.338066875003278,-1.0,2.0,6,3
101,1,1,14.256583416019566,-1.0,-4.0,6,3
101,1,1,7.267857666010968,5.0,8.0,6,3
101,1,1,23.057488374994136,1.0,1.0,6,3
101,1,1,8.188803375000134,-1.0,2.0,6,3
101,1,1,5.252752249944024,1.0,1.0,6,3
101,1,1,1.8111851669382304,1.0,7.0,6,3
101,1,1,2.301793250022456,-5.0,-5.0,6,3
101,1,2,19.747027875040654,-7.0,-7.0,6,3
101,0,2,10.80698737502098,1.0,1.0,6,3
101,0,2,21.413059125072323,-7.0,-7.0,6,3
101,1,2,11.622723667067476,-7.0,-7.0,6,3
101,1,2,8.690614124992862,-15.0,-15.0,6,3
101,1,2,6.621130750048906,-7.0,-7.0,6,3
101,1,2,7.580716666998342,-17.0,-17.0,6,3
101,1,2,4.666229874943383,3.0,3.0,6,3
101,1,3,33.20751295797527,2.0,2.0,6,3
101,1,3,20.344239125028253,4.0,4.0,6,3
101,1,3,7.376978749991395,-2.0,-2.0,6,3
101,1,3,6.0246376659488305,2.0,2.0,6,3
101,1,3,2.1925120829837397,8.0,8.0,6,3
101,1,3,1.0523985410109162,4.0,4.0,6,3
101,1,3,10.507461083005182,2.0,2.0,6,3
101,1,3,2.96003983297851,4.0,4.0,6,3
101,0,4,15.08604804193601,-1.0,1.0,6,3
101,0,4,13.194192833034322,-1.0,-1.0,6,3
101,1,4,6.755183957982808,4.0,6.0,6,3
101,1,4,11.721790582989344,2.0,2.0,6,3
101,1,4,15.720312208984978,-1.0,-1.0,6,3
101,1,4,8.06427795800846,1.0,3.0,6,3
101,1,4,6.194624542025849,4.0,4.0,6,3
101,1,4,4.627517707995139,4.0,6.0,6,3
101,1,5,19.036868416937068,1.0,1.0,6,3
101,1,5,8.802479250007309,1.0,1.0,6,3
101,1,5,11.9978993749246,1.0,1.0,6,3
101,0,5,7.186649541021325,-1.0,-1.0,6,3
101,1,5,9.688739584060386,-3.0,-3.0,6,3
101,1,5,9.37356112501584,-1.0,-1.0,6,3
101,1,5,16.027387458947487,-3.0,-3.0,6,3
101,1,5,8.628625291981734,-3.0,-3.0,6,3
101,1,6,34.82091787504032,1.0,1.0,6,3
101,1,6,9.28916908300016,1.0,3.0,6,3
101,1,6,9.135290417005308,-1.0,-1.0,6,3
101,1,6,15.752294708043337,1.0,3.0,6,3
101,0,6,22.01103254093323,1.0,3.0,6,3
101,0,6,6.700038500013761,-1.0,1.0,6,3
101,0,6,7.431222124956548,-1.0,-1.0,6,3
101,0,6,5.113205374917015,-1.0,-1.0,6,3
101,1,7,12.365650417050349,-6.0,-6.0,6,3
101,1,7,10.72541779105086,-2.0,-3.0,6,3
101,1,7,9.400387874920852,-2.0,-3.0,6,3
101,1,7,6.281259207986295,-7.0,-7.0,6,3
101,1,7,6.40163429104723,-6.0,-6.0,6,3
101,1,7,7.092488958965987,-1.0,-2.0,6,3
101,1,7,8.314516582991928,-3.0,-3.0,6,3
101,1,7,2.457128416048363,-5.0,-6.0,6,3
103,1,1,14.062734958017243,-1.0,2.0,6,3
103,1,1,24.833274999982677,6.0,9.0,6,3
103,0,1,12.0465518750716,5.0,5.0,6,3
103,0,1,10.608763040974736,-2.0,-2.0,6,3
103,1,1,10.133375832927412,-1.0,-1.0,6,3
103,0,1,5.040337499929592,-2.0,-2.0,6,3
103,1,1,8.420043624937534,5.0,8.0,6,3
103,1,1,6.173746875021607,6.0,9.0,6,3
103,1,2,15.300518541014752,2.0,-6.0,4,1
103,1,2,10.054789750021882,-5.0,-8.0,4,2
103,0,2,22.120465916930694,-2.0,-3.0,4,2
103,1,2,10.743996166042052,-2.0,-3.0,4,2
103,0,2,19.61226841597818,-3.0,2.0,4,2
103,1,2,5.646499624941498,-6.0,-3.0,4,2
103,1,2,10.375634209020063,-10.0,0.0,4,3
103,0,2,15.868244708050042,-6.0,-3.0,4,2
103,1,3,8.834407874965109,4.0,4.0,5,3
103,1,3,29.658429875038564,5.0,7.0,5,2
103,0,3,10.497171583003365,5.0,5.0,5,3
103,1,3,9.244526749942452,11.0,13.0,5,2
103,1,3,2.633825666969642,-1.0,-1.0,5,3
103,1,3,4.2468404999235645,6.0,8.0,5,2
103,1,3,14.673821666045114,5.0,5.0,5,3
103,1,3,21.41356308304239,5.0,7.0,5,2
103,0,4,15.61622433399316,-3.0,-3.0,5,3
103,0,4,14.085815540980548,1.0,-6.0,5,2
103,1,4,11.486993000027724,3.0,-4.0,5,2
103,0,4,14.811134500079788,3.0,-4.0,5,2
103,1,4,24.573432959034108,3.0,-4.0,5,2
103,1,4,7.447224667062983,-1.0,-1.0,5,3
103,1,4,6.951357625075616,-3.0,-3.0,5,3
103,0,4,18.69697479205206,-3.0,-3.0,5,3
103,0,5,37.46965962497052,-3.0,-1.0,5,3
103,1,5,16.790348042035475,-4.0,-2.0,5,3
103,0,5,18.815463667036965,1.0,0.0,5,2
103,1,5,25.198714207974263,-3.0,3.0,5,2
103,0,5,16.49158237501979,2.0,1.0,5,2
103,1,5,8.83203249995131,-4.0,-2.0,5,3
103,0,5,4.395553083042614,1.0,-4.0,5,3
103,0,5,8.869144375086762,2.0,1.0,5,2
103,1,6,67.30460041598417,-3.0,0.0,5,2
103,1,6,17.598854375071824,-2.0,-2.0,5,3
103,1,6,17.13334058399778,1.0,4.0,5,2
103,1,6,28.71283787500579,1.0,4.0,5,2
103,1,6,17.063075124984607,-2.0,1.0,5,2
103,1,6,15.112265125033446,1.0,1.0,5,3
103,0,6,9.849985375069082,2.0,2.0,5,3
103,1,6,13.821856584050693,-2.0,-2.0,5,3
103,1,7,4.5658652919810265,-1.0,-1.0,6,3
103,1,7,7.117545707966201,-1.0,-7.0,6,3
103,0,7,10.529879999929108,-2.0,4.0,6,3
103,1,7,10.513634916977026,-1.0,-1.0,6,3
103,0,7,8.95531187497545,-2.0,4.0,6,3
103,1,7,3.628575499984436,-1.0,-7.0,6,3
103,1,7,17.422590582980774,-2.0,-2.0,6,3
103,1,7,6.19561662490014,-2.0,-2.0,6,3
104,0,1,2.6777360419509932,1.0,4.0,4,2
104,1,1,1.1347983329324052,1.0,4.0,4,2
104,1,1,1.7368539579911155,-12.0,-2.0,4,1
104,0,1,0.9296067919349298,-6.0,5.0,4,2
104,1,1,2.618371875025332,1.0,9.0,4,2
104,1,1,2.285553125082515,7.0,11.0,4,3
104,0,1,0.7779633329482749,-6.0,5.0,4,2
104,1,1,1.2480977090308445,-6.0,0.0,4,2
104,0,2,11.362428708001971,2.0,2.0,5,2
104,1,2,3.351680124993436,7.0,9.0,5,3
104,0,2,0.8441960000200197,-1.0,-3.0,5,2
104,1,2,7.782831375021488,-1.0,-1.0,5,2
104,1,2,4.0416492079384625,2.0,0.0,5,2
104,1,2,1.187969999969937,4.0,4.0,5,3
104,1,2,1.6605947919888422,4.0,6.0,5,3
104,1,2,3.759918999974616,7.0,7.0,5,3
104,1,3,3.7604143749922514,1.0,7.0,3,1
104,1,3,0.8562672919360921,-5.0,,3,0
104,0,3,1.4556608750717714,-2.0,5.0,3,2
104,1,3,4.086700291954912,-2.0,-3.0,3,1
104,1,3,5.473612417001277,-2.0,-3.0,3,1
104,1,3,1.2939922499936074,1.0,2.0,3,3
104,0,3,4.816386708058417,-2.0,5.0,3,2
