subject,game,option,choice,correct,rt,true_offer_value,recalled_offer_value,recalled_total_count,recalled_offer_count
101,1,Animal,0.0,1.0,12.338066875003278,-1.0,2.0,6,3
101,1,Land,0.0,1.0,14.256583416019566,-1.0,-4.0,6,3
101,1,Large,1.0,1.0,7.267857666010968,5.0,8.0,6,3
101,1,Object,1.0,1.0,23.057488374994136,1.0,1.0,6,3
101,1,Pattern,0.0,1.0,8.188803375000134,-1.0,2.0,6,3
101,1,Solid,1.0,1.0,5.252752249944024,1.0,1.0,6,3
101,1,Sea,1.0,1.0,1.8111851669382304,1.0,7.0,6,3
101,1,Small,0.0,1.0,2.301793250022456,-5.0,-5.0,6,3
101,2,Land,0.0,1.0,19.747027875040654,-7.0,-7.0,6,3
101,2,Large,0.0,0.0,10.80698737502098,1.0,1.0,6,3
101,2,Animal,1.0,0.0,21.413059125072323,-7.0,-7.0,6,3
101,2,Sea,0.0,1.0,11.622723667067476,-7.0,-7.0,6,3
101,2,Small,0.0,1.0,8.690614124992862,-15.0,-15.0,6,3
101,2,Object,0.0,1.0,6.621130750048906,-7.0,-7.0,6,3
101,2,Solid,0.0,1.0,7.580716666998342,-17.0,-17.0,6,3
101,2,Pattern,1.0,1.0,4.666229874943383,3.0,3.0,6,3
101,3,Land,1.0,1.0,33.20751295797527,2.0,2.0,6,3
101,3,Solid,1.0,1.0,20.344239125028253,4.0,4.0,6,3
101,3,Large,0.0,1.0,7.376978749991395,-2.0,-2.0,6,3
101,3,Object,1.0,1.0,6.0246376659488305,2.0,2.0,6,3
101,3,Small,1.0,1.0,2.1925120829837397,8.0,8.0,6,3
101,3,Animal,1.0,1.0,1.0523985410109162,4.0,4.0,6,3
101,3,Pattern,1.0,1.0,10.507461083005182,2.0,2.0,6,3
101,3,Sea,1.0,1.0,2.96003983297851,4.0,4.0,6,3
101,4,Land,1.0,0.0,15.08604804193601,-1.0,1.0,6,3
101,4,Object,1.0,0.0,13.194192833034322,-1.0,-1.0,6,3
101,4,Animal,1.0,1.0,6.755183957982808,4.0,6.0,6,3
101,4,Small,1.0,1.0,11.721790582989344,2.0,2.0,6,3
101,4,Solid,0.0,1.0,15.720312208984978,-1.0,-1.0,6,3
101,4,Large,1.0,1.0,8.06427795800846,1.0,3.0,6,3
101,4,Sea,1.0,1.0,6.194624542025849,4.0,4.0,6,3
101,4,Pattern,1.0,1.0,4.627517707995139,4.0,6.0,6,3
101,5,Object,1.0,1.0,19.036868416937068,1.0,1.0,6,3
101,5,Sea,1.0,1.0,8.802479250007309,1.0,1.0,6,3
101,5,Large,1.0,1.0,11.9978993749246,1.0,1.0,6,3
101,5,Pattern,1.0,0.0,7.186649541021325,-1.0,-1.0,6,3
101,5,Animal,0.0,1.0,9.688739584060386,-3.0,-3.0,6,3
101,5,Solid,0.0,1.0,9.37356112501584,-1.0,-1.0,6,3
101,5,Land,0.0,1.0,16.027387458947487,-3.0,-3.0,6,3
101,5,Small,0.0,1.0,8.628625291981734,-3.0,-3.0,6,3
101,6,Land,1.0,1.0,34.82091787504032,1.0,1.0,6,3
101,6,Animal,1.0,1.0,9.28916908300016,1.0,3.0,6,3
101,6,Large,0.0,1.0,9.135290417005308,-1.0,-1.0,6,3
101,6,Solid,1.0,1.0,15.752294708043337,1.0,3.0,6,3
101,6,Small,0.0,0.0,22.01103254093323,1.0,3.0,6,3
101,6,Sea,1.0,0.0,6.700038500013761,-1.0,1.0,6,3
101,6,Object,1.0,0.0,7.431222124956548,-1.0,-1.0,6,3
101,6,Pattern,1.0,0.0,5.113205374917015,-1.0,-1.0,6,3
101,7,Solid,0.0,1.0,12.365650417050349,-6.0,-6.0,6,3
101,7,Small,0.0,1.0,10.72541779105086,-2.0,-3.0,6,3
101,7,Pattern,0.0,1.0,9.400387874920852,-2.0,-3.0,6,3
101,7,Land,0.0,1.0,6.281259207986295,-7.0,-7.0,6,3
101,7,Large,0.0,1.0,6.40163429104723,-6.0,-6.0,6,3
101,7,Sea,0.0,1.0,7.092488958965987,-1.0,-2.0,6,3
101,7,Animal,0.0,1.0,8.314516582991928,-3.0,-3.0,6,3
101,7,Object,0.0,1.0,2.457128416048363,-5.0,-6.0,6,3
103,1,Sea,0.0,1.0,14.062734958017243,-1.0,2.0,6,3
103,1,Large,1.0,1.0,24.833274999982677,6.0,9.0,6,3
103,1,Land,0.0,0.0,12.0465518750716,5.0,5.0,6,3
103,1,Object,1.0,0.0,10.608763040974736,-2.0,-2.0,6,3
103,1,Solid,0.0,1.0,10.133375832927412,-1.0,-1.0,6,3
103,1,Small,1.0,0.0,5.040337499929592,-2.0,-2.0,6,3
103,1,Pattern,1.0,1.0,8.420043624937534,5.0,8.0,6,3
103,1,Animal,1.0,1.0,6.173746875021607,6.0,9.0,6,3
103,2,Animal,1.0,1.0,15.300518541014752,2.0,-6.0,4,1
103,2,Pattern,0.0,1.0,10.054789750021882,-5.0,-8.0,4,2
103,2,Sea,1.0,0.0,22.120465916930694,-2.0,-3.0,4,2
103,2,Small,0.0,1.0,10.743996166042052,-2.0,-3.0,4,2
103,2,Solid,1.0,0.0,19.61226841597818,-3.0,2.0,4,2
103,2,Land,0.0,1.0,5.646499624941498,-6.0,-3.0,4,2
103,2,Object,0.0,1.0,10.375634209020063,-10.0,0.0,4,3
103,2,Large,1.0,0.0,15.868244708050042,-6.0,-3.0,4,2
103,3,Animal,1.0,1.0,8.834407874965109,4.0,4.0,5,3
103,3,Sea,1.0,1.0,29.658429875038564,5.0,7.0,5,2
103,3,Small,0.0,0.0,10.497171583003365,5.0,5.0,5,3
103,3,Pattern,1.0,1.0,9.244526749942452,11.0,13.0,5,2
103,3,Solid,0.0,1.0,2.633825666969642,-1.0,-1.0,5,3
103,3,Object,1.0,1.0,4.2468404999235645,6.0,8.0,5,2
103,3,Land,1.0,1.0,14.673821666045114,5.0,5.0,5,3
103,3,Large,1.0,1.0,21.41356308304239,5.0,7.0,5,2
103,4,Pattern,1.0,0.0,15.61622433399316,-3.0,-3.0,5,3
103,4,Land,0.0,0.0,14.085815540980548,1.0,-6.0,5,2
103,4,Large,1.0,1.0,11.486993000027724,3.0,-4.0,5,2
103,4,Solid,0.0,0.0,14.811134500079788,3.0,-4.0,5,2
103,4,Animal,1.0,1.0,24.573432959034108,3.0,-4.0,5,2
103,4,Sea,0.0,1.0,7.447224667062983,-1.0,-1.0,5,3
103,4,Small,0.0,1.0,6.951357625075616,-3.0,-3.0,5,3
103,4,Object,1.0,0.0,18.69697479205206,-3.0,-3.0,5,3
103,5,Solid,1.0,0.0,37.46965962497052,-3.0,-1.0,5,3
103,5,Small,0.0,1.0,16.790348042035475,-4.0,-2.0,5,3
103,5,Pattern,0.0,0.0,18.815463667036965,1.0,0.0,5,2
103,5,Animal,0.0,1.0,25.198714207974263,-3.0,3.0,5,2
103,5,Large,0.0,0.0,16.49158237501979,2.0,1.0,5,2
103,5,Sea,0.0,1.0,8.83203249995131,-4.0,-2.0,5,3
