subject,game,image,true_value,recalled_value
101,1,Animal_Land_Pattern_Large,5.0,2.0
101,1,Object_Land_Solid_Large,-1.0,-1.0
101,1,Object_Land_Solid_Small,-5.0,-5.0
101,1,Animal_Sea_Pattern_Large,1.0,7.0
101,1,Animal_Sea_Pattern_Small,-7.0,-7.0
101,1,Object_Sea_Solid_Small,7.0,7.0
101,2,Object_Sea_Pattern_Large,9.0,9.0
101,2,Animal_Land_Pattern_Small,1.0,1.0
101,2,Object_Sea_Pattern_Small,-7.0,-7.0
101,2,Animal_Land_Solid_Large,1.0,1.0
101,2,Object_Land_Solid_Small,-9.0,-9.0
101,2,Animal_Sea_Solid_Large,-9.0,-9.0
101,3,Animal_Sea_Solid_Small,8.0,8.0
101,3,Object_Sea_Solid_Large,-2.0,-2.0
101,3,Animal_Sea_Pattern_Large,-2.0,-2.0
101,3,Animal_Land_Solid_Small,-2.0,-2.0
101,3,Object_Land_Pattern_Large,2.0,2.0
101,3,Object_Land_Pattern_Small,2.0,2.0
101,4,Object_Land_Solid_Small,-9.0,-9.0
101,4,Object_Sea_Solid_Small,7.0,7.0
101,4,Animal_Sea_Pattern_Small,4.0,4.0
101,4,Animal_Land_Pattern_Large,7.0,9.0
101,4,Object_Land_Solid_Large,1.0,1.0
101,4,Animal_Sea_Pattern_Large,-7.0,-7.0
101,5,Object_Sea_Pattern_Large,-3.0,-3.0
101,5,Animal_Land_Pattern_Small,-7.0,-7.0
101,5,Animal_Land_Solid_Large,9.0,9.0
101,5,Object_Land_Solid_Small,-5.0,-5.0
101,5,Animal_Sea_Solid_Large,-5.0,-5.0
101,5,Object_Sea_Pattern_Small,9.0,9.0
101,6,Object_Land_Pattern_Large,7.0,7.0
101,6,Animal_Land_Solid_Small,-2.0,-2.0
101,6,Object_Land_Pattern_Small,-4.0,-4.0
101,6,Animal_Sea_Pattern_Large,-4.0,-4.0
101,6,Animal_Sea_Solid_Small,7.0,9.0
101,6,Object_Sea_Solid_Large,-4.0,-4.0
101,7,Animal_Sea_Pattern_Small,-5.0,-5.0
101,7,Object_Land_Solid_Large,-9.0,-9.0
101,7,Animal_Land_Pattern_Large,1.0,1.0
101,7,Object_Sea_Solid_Large,2.0,2.0
101,7,Object_Sea_Pattern_Small,2.0,1.0
101,7,Animal_Land_Solid_Small,1.0,1.0
103,1,Object_Sea_Pattern_Small,-8.0,-8.0
103,1,Animal_Sea_Pattern_Large,5.0,8.0
103,1,Object_Land_Solid_Small,-2.0,-2.0
103,1,Animal_Land_Solid_Large,-1.0,-1.0
103,1,Object_Land_Pattern_Small,8.0,8.0
103,1,Animal_Sea_Solid_Large,2.0,2.0
103,2,Object_Land_Pattern_Large,-6.0,-2.0
103,2,Object_Land_Solid_Large,-7.0,-1.0
103,2,Animal_Land_Pattern_Large,7.0,3.0
103,2,Animal_Sea_Solid_Small,1.0,1.0
103,2,Object_Sea_Solid_Small,3.0,3.0
103,2,Animal_Sea_Pattern_Small,-6.0,-6.0
103,3,Object_Sea_Solid_Large,-1.0,-1.0
103,3,Animal_Land_Solid_Small,-9.0,-9.0
103,3,Animal_Land_Pattern_Small,5.0,5.0
103,3,Animal_Sea_Pattern_Large,8.0,8.0
103,3,Object_Land_Solid_Small,9.0,9.0
103,3,Object_Sea_Pattern_Large,-2.0,-2.0
103,4,Animal_Sea_Solid_Large,-7.0,-7.0
103,4,Object_Land_Pattern_Small,-9.0,-9.0
103,4,Animal_Sea_Pattern_Large,3.0,3.0
103,4,Object_Land_Solid_Small,3.0,3.0
103,4,Object_Sea_Pattern_Small,3.0,3.0
103,4,Animal_Land_Solid_Large,7.0,5.0
103,5,Animal_Sea_Pattern_Small,6.0,6.0
103,5,Object_Sea_Solid_Small,-5.0,-5.0
103,5,Animal_Land_Pattern_Large,-4.0,-4.0
103,5,Object_Land_Pattern_Large,-1.0,-6.0
103,5,Animal_Sea_Solid_Small,-5.0,-3.0
103,5,Object_Land_Solid_Large,7.0,7.0
103,6,Animal_Land_Pattern_Small,-3.0,-3.0
103,6,Object_Land_Solid_Small,-1.0,-1.0
103,6,Object_Sea_Pattern_Large,4.0,4.0
103,6,Animal_Sea_Pattern_Large,-4.0,-4.0
103,6,Object_Sea_Solid_Large,-2.0,-2.0
103,6,Animal_Land_Solid_Small,5.0,5.0
103,7,Animal_Sea_Pattern_Small,2.0,2.0
103,7,Object_Land_Solid_Large,2.0,2.0
103,7,Animal_Land_Pattern_Large,-4.0,-4.0
103,7,Animal_Sea_Solid_Large,1.0,1.0
103,7,Object_Land_Pattern_Small,1.0,-5.0
103,7,Object_Sea_Solid_Small,-5.0,1.0
104,1,Animal_Land_Solid_Large,2.0,2.0
104,1,Object_Sea_Solid_Small,7.0,7.0
104,1,Animal_Sea_Pattern_Small,-9.0,-2.0
104,1,Object_Land_Solid_Large,-2.0,2.0
104,1,Object_Sea_Pattern_Small,-4.0,-3.0
104,1,Animal_Land_Pattern_Large,1.0,-2.0
104,2,Object_Land_Pattern_Large,7.0,7.0
104,2,Object_Sea_Solid_Large,6.0,6.0
104,2,Object_Sea_Pattern_Small,-9.0,-9.0
104,2,Animal_Sea_Solid_Small,2.0,-7.0
104,2,Animal_Land_Solid_Large,-9.0,-7.0
104,2,Animal_Land_Pattern_Small,9.0,9.0
104,3,Animal_Land_Solid_Small,-2.0,-2.0
104,3,Object_Land_Pattern_Small,-7.0,-7.0
104,3,Object_Land_Solid_Small,7.0,7.0
104,3,Animal_Sea_Solid_Large,-4.0,-3.0
104,3,Object_Sea_Pattern_Large,1.0,1.0
104,3,Animal_Sea_Pattern_Large,1.0,-4.0
104,4,Animal_Sea_Pattern_Small,-3.0,-2.0
104,4,Object_Sea_Pattern_Small,9.0,9.0
104,4,Object_Sea_Solid_Small,-3.0,-2.0
104,4,Object_Land_Solid_Large,-4.0,-4.0
104,4,Animal_Land_Solid_Large,8.0,7.0
104,4,Animal_Land_Pattern_Large,-2.0,-2.0
104,5,Animal_Sea_Solid_Small,-7.0,-3.0
104,5,Animal_Land_Solid_Large,-3.0,-7.0
104,5,Object_Land_Pattern_Large,-8.0,-7.0
104,5,Animal_Land_Pattern_Small,8.0,9.0
104,5,Object_Sea_Pattern_Small,-7.0,-9.0
104,5,Object_Sea_Solid_Large,8.0,6.0
104,6,Object_Land_Pattern_Small,3.0,3.0
104,6,Animal_Sea_Pattern_Large,6.0,7.0
104,6,Animal_Sea_Solid_Large,1.0,3.0
104,6,Object_Land_Solid_Small,3.0,9.0
104,6,Object_Sea_Pattern_Large,-8.0,-9.0
104,6,Animal_Land_Solid_Small,-8.0,-3.0
104,7,Animal_Land_Solid_Small,9.0,9.0
