subject,log_rt,recalled_offer_count,game,option
101,2.5126893510194166,3,1,Animal
101,2.6572187941348764,3,1,Land
101,1.9834615666892963,3,1,Large
101,3.1379905919530087,3,1,Object
101,2.102767779131564,3,1,Pattern
101,1.6587521773233296,3,1,Solid
101,0.5939814193610308,3,1,Sea
101,0.8336884930700914,3,1,Small
101,2.9830029926830615,3,2,Land
101,2.3801929040979886,3,2,Large
101,3.0640009753967643,3,2,Animal
101,2.4529621187138435,3,2,Sea
101,2.1622436070901525,3,2,Small
101,1.8902661635273506,3,2,Object
101,2.025607742282392,3,2,Solid
101,1.5403514383401438,3,2,Pattern
101,3.502776144236755,3,3,Land
101,3.0127977821319556,3,3,Solid
101,1.9983641713220903,3,3,Large
101,1.7958573391366013,3,3,Object
101,0.7850479563020322,3,3,Small
101,0.05107188383841424,3,3,Animal
101,2.352085584155342,3,3,Pattern
101,1.0852027253327576,3,3,Sea
101,2.713770345964086,3,4,Land
101,2.5797767959003597,3,4,Object
101,1.9103102039033544,3,4,Animal
101,2.4614495525977174,3,4,Small
101,2.7549536474262952,3,4,Solid
101,2.0874441797340357,3,4,Large
101,1.8236819066303829,3,4,Sea
101,1.53202059214542,3,4,Pattern
101,2.94637754193554,3,5,Object
101,2.1750334147602604,3,5,Sea
101,2.4847315823749785,3,5,Large
101,1.9722250743950782,3,5,Pattern
101,2.2709643435579565,3,5,Animal
101,2.237893080078904,3,5,Solid
101,2.7742989751074685,3,5,Land
101,2.155085198314186,3,5,Small
101,3.550218294562406,3,6,Land
101,2.2288491067373153,3,6,Animal
101,2.2121449810055567,3,6,Large
101,2.7569860504078307,3,6,Solid
101,3.0915438067930054,3,6,Small
101,1.9021132726511212,3,6,Sea
101,2.0056903303927687,3,6,Object
101,1.6318264824957611,3,6,Pattern
101,2.514922501049765,3,7,Solid
101,2.372616418931896,3,7,Small
101,2.2407509517141047,3,7,Pattern
101,1.8375704712063416,3,7,Land
101,1.8565533157434573,3,7,Large
101,1.9590363309800225,3,7,Sea
101,2.118002973010369,3,7,Animal
101,0.8989933575572036,3,7,Object
103,2.6435283879507305,3,1,Sea
103,3.212184487720659,3,1,Large
103,2.4887784675411866,3,1,Land
103,2.3616803615669055,3,1,Object
103,2.3158345137741607,3,1,Solid
103,1.617473044113015,3,1,Small
103,2.130615009349784,3,1,Pattern
103,1.82030592670073,3,1,Animal
103,2.727886719393675,1,2,Animal
103,2.3080491130131473,2,2,Pattern
103,3.096503239584691,2,2,Sea
103,2.374347102374452,2,2,Small
103,2.9761553100087186,2,2,Solid
103,1.7310358177584029,2,2,Land
103,2.3394601928287337,3,2,Object
103,2.7643199240135146,2,2,Large
103,2.1786540831482304,3,3,Animal
103,3.389746397851994,2,3,Sea
103,2.351105847828743,3,3,Small
103,2.224031673690277,2,3,Pattern
103,0.9684374154699936,3,3,Solid
103,1.4461752946860675,2,3,Object
103,2.686065067161194,3,3,Land
103,3.06402451019564,2,3,Large
103,2.7483103952177284,3,4,Pattern
103,2.645168301035186,2,4,Land
103,2.4412153517809734,2,4,Large
103,2.69537922899737,2,4,Solid
103,3.2016658983453476,2,4,Animal
103,2.0078414350746994,3,4,Sea
103,1.9389369822374865,3,4,Small
103,2.9283617349473277,3,4,Object
103,3.6235315288297363,3,5,Solid
103,2.820804200001196,3,5,Small
103,2.93467906721967,2,5,Pattern
103,3.22679296972255,2,5,Animal
103,2.8028500916414014,2,5,Large
103,2.178385169323181,3,5,Sea
103,1.4805933669151896,3,5,Object
103,2.1825783288824945,2,5,Land
103,4.20922859116415,2,6,Pattern
103,2.8678338076000442,3,6,Large
103,2.841026306983452,2,6,Small
103,3.3573443354690373,2,6,Land
103,2.8369167793359167,2,6,Animal
103,2.7155066740522917,3,6,Object
103,2.287469970418335,3,6,Solid
103,2.6262511496965972,3,6,Sea
103,1.5186080452591328,3,7,Animal
103,1.9625629620624947,3,7,Land
103,2.3542169300628206,3,7,Solid
103,2.3526729782806877,3,7,Large
103,2.19224686181583,3,7,Sea
103,1.288840147011503,3,7,Pattern
103,2.857767673512359,3,7,Object
103,1.8238420460276787,3,7,Small
104,0.984971677045522,2,1,Land
104,0.1264549549105965,2,1,Large
104,0.5520754065746694,1,1,Pattern
104,-0.07299358661284874,2,1,Sea
104,0.9625527028644281,2,1,Object
104,0.8266080629222782,3,1,Solid
104,-0.25107588580092954,2,1,Small
104,0.22162055937520253,2,1,Animal
104,2.4303121851606546,2,2,Animal
104,1.2094617499617017,3,2,Land
104,-0.16937058383494297,2,2,Sea
104,2.0519202019352063,2,2,Solid
