subject,game,spatial_correct_bin
101,1,1
101,1,1
101,1,1
101,1,1
101,1,1
101,1,1
101,2,1
101,2,1
101,2,1
101,2,1
101,2,1
101,2,1
101,3,1
101,3,1
101,3,1
101,3,1
101,3,1
101,3,1
101,4,1
101,4,1
101,4,1
101,4,1
101,4,1
101,4,1
101,5,1
101,5,1
101,5,1
101,5,1
101,5,1
101,5,1
101,6,1
101,6,1
101,6,1
101,6,1
101,6,1
101,6,1
101,7,1
101,7,1
101,7,1
101,7,1
101,7,1
101,7,1
103,1,1
103,1,1
103,1,1
103,1,1
103,1,1
103,1,1
103,2,1
103,2,1
103,2,1
103,2,1
103,2,1
103,2,1
103,3,1
103,3,1
103,3,1
103,3,1
103,3,1
103,3,1
103,4,1
103,4,1
103,4,1
103,4,1
103,4,1
103,4,1
103,5,1
103,5,1
103,5,1
103,5,1
103,5,1
103,5,1
103,6,1
103,6,1
103,6,1
103,6,1
103,6,1
103,6,1
103,7,1
103,7,1
103,7,1
103,7,1
103,7,1
103,7,1
104,1,1
104,1,1
104,1,1
104,1,1
104,1,1
104,1,1
104,2,1
104,2,1
104,2,1
104,2,1
104,2,1
104,2,1
104,3,1
104,3,1
104,3,1
104,3,1
104,3,1
104,3,1
104,4,1
104,4,1
104,4,1
104,4,1
104,4,1
104,4,1
104,5,1
104,5,1
104,5,1
104,5,1
104,5,1
104,5,1
104,6,1
104,6,1
104,6,1
104,6,1
104,6,1
104,6,1
104,7,1
104,7,1
104,7,1
104,7,1
104,7,1
104,7,1
105,1,1
105,1,1
105,1,1
105,1,1
105,1,1
105,1,1
105,2,1
105,2,1
105,2,1
105,2,1
105,2,1
105,2,1
105,3,1
105,3,1
105,3,1
105,3,1
105,3,1
105,3,1
105,4,1
105,4,1
105,4,1
105,4,1
105,4,1
105,4,1
105,5,1
105,5,1
105,5,1
105,5,1
105,5,1
105,5,1
105,6,1
105,6,1
105,6,1
105,6,1
105,6,1
105,6,1
105,7,1
105,7,1
105,7,1
105,7,1
105,7,1
105,7,1
106,1,1
106,1,1
106,1,1
106,1,1
106,1,1
106,1,1
106,2,1
106,2,1
106,2,1
106,2,1
106,2,1
106,2,1
106,3,1
106,3,1
106,3,1
106,3,1
106,3,1
106,3,1
106,4,1
106,4,1
106,4,1
106,4,1
106,4,1
106,4,1
106,5,1
106,5,1
106,5,1
106,5,1
106,5,1
106,5,1
106,6,1
106,6,1
106,6,1
106,6,1
106,6,1
106,6,1
106,7,1
106,7,1
106,7,1
106,7,1
106,7,1
106,7,1
107,1,1
107,1,1
107,1,1
107,1,1
107,1,1
107,1,1
107,2,1
107,2,1
107,2,1
107,2,1
107,2,1
107,2,1
107,3,1
107,3,1
107,3,1
107,3,1
107,3,1
107,3,1
107,4,0
107,4,1
107,4,1
107,4,1
107,4,1
107,4,1
107,5,1
107,5,1
