subject_id,game,trial_number,option,choice,correct,rt,image,reward,relevance,fixation_duration,fixation_count
101,1,1,Animal,2.0,1.0,12.338066875003278,Animal_Sea_Pattern_Small,-7.0,1,1168.0,1
101,1,1,Animal,2.0,1.0,12.338066875003278,Animal_Sea_Pattern_Large,1.0,1,71.0,2
101,1,1,Animal,2.0,1.0,12.338066875003278,Animal_Sea_Pattern_Small,-7.0,1,86.0,3
101,1,1,Animal,2.0,1.0,12.338066875003278,Animal_Sea_Pattern_Large,1.0,1,73.0,4
101,1,4,Object,1.0,1.0,23.057488374994136,Animal_Sea_Pattern_Large,1.0,0,140.0,1
101,1,4,Object,1.0,1.0,23.057488374994136,Object_Land_Solid_Small,-5.0,1,157.0,2
101,1,4,Object,1.0,1.0,23.057488374994136,Animal_Sea_Pattern_Large,1.0,0,871.0,3
101,1,5,Pattern,2.0,1.0,8.188803375000134,Animal_Sea_Pattern_Large,1.0,1,116.0,1
101,1,5,Pattern,2.0,1.0,8.188803375000134,Animal_Sea_Pattern_Small,-7.0,1,79.0,2
101,1,5,Pattern,2.0,1.0,8.188803375000134,Animal_Sea_Pattern_Large,1.0,1,42.0,3
101,1,5,Pattern,2.0,1.0,8.188803375000134,Animal_Sea_Pattern_Small,-7.0,1,578.0,4
101,1,5,Pattern,2.0,1.0,8.188803375000134,Animal_Sea_Pattern_Large,1.0,1,293.0,5
101,1,5,Pattern,2.0,1.0,8.188803375000134,Animal_Sea_Pattern_Small,-7.0,1,31.0,6
101,1,5,Pattern,2.0,1.0,8.188803375000134,Object_Sea_Solid_Small,7.0,0,279.0,7
101,1,6,Solid,1.0,1.0,5.252752249944024,Animal_Sea_Pattern_Small,-7.0,0,1491.0,1
101,1,6,Solid,1.0,1.0,5.252752249944024,Animal_Sea_Pattern_Large,1.0,0,955.0,2
101,1,6,Solid,1.0,1.0,5.252752249944024,Animal_Sea_Pattern_Small,-7.0,0,155.0,3
101,1,7,Sea,1.0,1.0,1.8111851669382304,Animal_Sea_Pattern_Large,1.0,1,265.0,1
101,1,8,Small,2.0,1.0,2.301793250022456,Animal_Sea_Pattern_Large,1.0,0,465.0,1
101,2,9,Land,2.0,1.0,19.747027875040654,Animal_Land_Solid_Large,1.0,1,365.0,1
101,2,9,Land,2.0,1.0,19.747027875040654,Animal_Land_Pattern_Small,1.0,1,288.0,2
101,2,9,Land,2.0,1.0,19.747027875040654,Animal_Land_Solid_Large,1.0,1,392.0,3
101,2,9,Land,2.0,1.0,19.747027875040654,Animal_Land_Pattern_Small,1.0,1,536.0,4
101,2,9,Land,2.0,1.0,19.747027875040654,Object_Land_Solid_Small,-9.0,1,1290.0,5
101,2,9,Land,2.0,1.0,19.747027875040654,Animal_Sea_Solid_Large,-9.0,0,351.0,6
101,2,9,Land,2.0,1.0,19.747027875040654,Animal_Land_Solid_Large,1.0,1,368.0,7
101,2,9,Land,2.0,1.0,19.747027875040654,Object_Sea_Pattern_Small,-7.0,0,1770.0,8
101,2,10,Large,2.0,0.0,10.80698737502098,Object_Land_Solid_Small,-9.0,0,183.0,1
101,2,10,Large,2.0,0.0,10.80698737502098,Animal_Sea_Solid_Large,-9.0,1,21.0,2
101,2,10,Large,2.0,0.0,10.80698737502098,Animal_Land_Pattern_Small,1.0,0,249.0,3
101,2,10,Large,2.0,0.0,10.80698737502098,Animal_Sea_Solid_Large,-9.0,1,251.0,4
101,2,10,Large,2.0,0.0,10.80698737502098,Object_Sea_Pattern_Small,-7.0,0,1588.0,5
101,2,10,Large,2.0,0.0,10.80698737502098,Animal_Land_Pattern_Small,1.0,0,273.0,6
101,2,10,Large,2.0,0.0,10.80698737502098,Object_Sea_Pattern_Small,-7.0,0,914.0,7
101,2,10,Large,2.0,0.0,10.80698737502098,Animal_Land_Solid_Large,1.0,1,788.0,8
101,2,11,Animal,1.0,0.0,21.413059125072323,Animal_Land_Solid_Large,1.0,1,611.0,1
101,2,11,Animal,1.0,0.0,21.413059125072323,Animal_Sea_Solid_Large,-9.0,1,219.0,2
101,2,11,Animal,1.0,0.0,21.413059125072323,Animal_Land_Pattern_Small,1.0,1,776.0,3
101,2,11,Animal,1.0,0.0,21.413059125072323,Animal_Land_Solid_Large,1.0,1,183.0,4
101,2,11,Animal,1.0,0.0,21.413059125072323,Object_Land_Solid_Small,-9.0,0,394.0,5
101,2,11,Animal,1.0,0.0,21.413059125072323,Object_Sea_Pattern_Small,-7.0,0,176.0,6
101,2,11,Animal,1.0,0.0,21.413059125072323,Animal_Land_Solid_Large,1.0,1,309.0,7
101,2,11,Animal,1.0,0.0,21.413059125072323,Object_Sea_Pattern_Small,-7.0,0,293.0,8
101,2,11,Animal,1.0,0.0,21.413059125072323,Object_Land_Solid_Small,-9.0,0,1211.0,9
101,2,11,Animal,1.0,0.0,21.413059125072323,Animal_Sea_Solid_Large,-9.0,1,245.0,10
101,2,11,Animal,1.0,0.0,21.413059125072323,Object_Sea_Pattern_Small,-7.0,0,496.0,11
101,2,11,Animal,1.0,0.0,21.413059125072323,Animal_Sea_Solid_Large,-9.0,1,442.0,12
101,2,11,Animal,1.0,0.0,21.413059125072323,Object_Sea_Pattern_Large,9.0,0,1450.0,13
101,2,11,Animal,1.0,0.0,21.413059125072323,Object_Land_Solid_Small,-9.0,0,251.0,14
101,2,11,Animal,1.0,0.0,21.413059125072323,Object_Sea_Pattern_Large,9.0,0,191.0,15
101,2,11,Animal,1.0,0.0,21.413059125072323,Object_Land_Solid_Small,-9.0,0,402.0,16
101,2,11,Animal,1.0,0.0,21.413059125072323,Object_Sea_Pattern_Small,-7.0,0,107.0,17
101,2,13,Small,2.0,1.0,8.690614124992862,Object_Land_Solid_Small,-9.0,1,98.0,1
101,2,13,Small,2.0,1.0,8.690614124992862,Object_Sea_Pattern_Small,-7.0,1,49.0,2
101,2,13,Small,2.0,1.0,8.690614124992862,Object_Land_Solid_Small,-9.0,1,1050.0,3
101,2,13,Small,2.0,1.0,8.690614124992862,Animal_Land_Solid_Large,1.0,0,29.0,4
101,2,13,Small,2.0,1.0,8.690614124992862,Object_Sea_Pattern_Small,-7.0,1,547.0,5
101,2,13,Small,2.0,1.0,8.690614124992862,Animal_Sea_Solid_Large,-9.0,0,388.0,6
101,2,13,Small,2.0,1.0,8.690614124992862,Animal_Land_Solid_Large,1.0,0,247.0,7
101,2,14,Object,2.0,1.0,6.621130750048906,Object_Sea_Pattern_Small,-7.0,1,1061.0,1
101,2,14,Object,2.0,1.0,6.621130750048906,Animal_Land_Solid_Large,1.0,0,269.0,2
101,2,14,Object,2.0,1.0,6.621130750048906,Object_Sea_Pattern_Small,-7.0,1,759.0,3
101,2,14,Object,2.0,1.0,6.621130750048906,Animal_Land_Solid_Large,1.0,0,58.0,4
101,2,14,Object,2.0,1.0,6.621130750048906,Animal_Sea_Solid_Large,-9.0,0,300.0,5
101,2,14,Object,2.0,1.0,6.621130750048906,Animal_Land_Solid_Large,1.0,0,371.0,6
101,2,15,Solid,2.0,1.0,7.580716666998342,Animal_Land_Solid_Large,1.0,1,632.0,1
101,2,15,Solid,2.0,1.0,7.580716666998342,Animal_Sea_Solid_Large,-9.0,1,186.0,2
101,2,15,Solid,2.0,1.0,7.580716666998342,Object_Sea_Pattern_Small,-7.0,0,458.0,3
101,2,15,Solid,2.0,1.0,7.580716666998342,Animal_Land_Solid_Large,1.0,1,272.0,4
101,2,15,Solid,2.0,1.0,7.580716666998342,Object_Sea_Pattern_Small,-7.0,0,411.0,5
101,2,15,Solid,2.0,1.0,7.580716666998342,Animal_Land_Solid_Large,1.0,1,326.0,6
101,2,15,Solid,2.0,1.0,7.580716666998342,Object_Sea_Pattern_Small,-7.0,0,344.0,7
101,2,15,Solid,2.0,1.0,7.580716666998342,Animal_Sea_Solid_Large,-9.0,1,292.0,8
101,2,15,Solid,2.0,1.0,7.580716666998342,Animal_Land_Solid_Large,1.0,1,428.0,9
101,2,15,Solid,2.0,1.0,7.580716666998342,Object_Sea_Pattern_Small,-7.0,0,151.0,10
101,2,16,Pattern,1.0,1.0,4.666229874943383,Object_Land_Solid_Small,-9.0,0,230.0,1
101,2,16,Pattern,1.0,1.0,4.666229874943383,Object_Sea_Pattern_Large,9.0,1,96.0,2
101,2,16,Pattern,1.0,1.0,4.666229874943383,Animal_Land_Solid_Large,1.0,0,22.0,3
101,2,16,Pattern,1.0,1.0,4.666229874943383,Animal_Sea_Solid_Large,-9.0,0,159.0,4
101,2,16,Pattern,1.0,1.0,4.666229874943383,Animal_Land_Solid_Large,1.0,0,532.0,5
101,2,16,Pattern,1.0,1.0,4.666229874943383,Animal_Land_Pattern_Small,1.0,1,461.0,6
101,2,16,Pattern,1.0,1.0,4.666229874943383,Object_Land_Solid_Small,-9.0,0,38.0,7
101,3,17,Land,1.0,1.0,33.20751295797527,Object_Land_Pattern_Large,2.0,1,1165.0,1
101,3,17,Land,1.0,1.0,33.20751295797527,Animal_Sea_Solid_Small,8.0,0,259.0,2
101,3,17,Land,1.0,1.0,33.20751295797527,Object_Land_Pattern_Large,2.0,1,1166.0,3
101,3,17,Land,1.0,1.0,33.20751295797527,Animal_Sea_Solid_Small,8.0,0,537.0,4
101,3,17,Land,1.0,1.0,33.20751295797527,Object_Land_Pattern_Large,2.0,1,513.0,5
101,3,17,Land,1.0,1.0,33.20751295797527,Animal_Sea_Pattern_Large,-2.0,0,279.0,6
101,3,17,Land,1.0,1.0,33.20751295797527,Object_Land_Pattern_Large,2.0,1,215.0,7
101,3,17,Land,1.0,1.0,33.20751295797527,Animal_Sea_Pattern_Large,-2.0,0,182.0,8
101,3,17,Land,1.0,1.0,33.20751295797527,Object_Land_Pattern_Large,2.0,1,896.0,9
101,3,17,Land,1.0,1.0,33.20751295797527,Animal_Sea_Pattern_Large,-2.0,0,1887.0,10
101,3,17,Land,1.0,1.0,33.20751295797527,Object_Land_Pattern_Large,2.0,1,620.0,11
101,3,17,Land,1.0,1.0,33.20751295797527,Object_Sea_Solid_Large,-2.0,0,114.0,12
101,3,17,Land,1.0,1.0,33.20751295797527,Animal_Sea_Pattern_Large,-2.0,0,22.0,13
101,3,17,Land,1.0,1.0,33.20751295797527,Object_Land_Pattern_Large,2.0,1,3700.0,14
101,3,17,Land,1.0,1.0,33.20751295797527,Object_Land_Pattern_Small,2.0,1,1212.0,15
101,3,17,Land,1.0,1.0,33.20751295797527,Animal_Land_Solid_Small,-2.0,1,266.0,16
101,3,17,Land,1.0,1.0,33.20751295797527,Animal_Sea_Pattern_Large,-2.0,0,767.0,17
101,3,17,Land,1.0,1.0,33.20751295797527,Animal_Land_Solid_Small,-2.0,1,938.0,18
101,3,17,Land,1.0,1.0,33.20751295797527,Object_Land_Pattern_Small,2.0,1,395.0,19
101,3,17,Land,1.0,1.0,33.20751295797527,Animal_Land_Solid_Small,-2.0,1,1493.0,20
101,3,19,Large,2.0,1.0,7.376978749991395,Object_Land_Pattern_Large,2.0,1,404.0,1
101,3,19,Large,2.0,1.0,7.376978749991395,Animal_Sea_Pattern_Large,-2.0,1,1302.0,2
101,3,19,Large,2.0,1.0,7.376978749991395,Animal_Land_Solid_Small,-2.0,0,1690.0,3
101,3,19,Large,2.0,1.0,7.376978749991395,Object_Land_Pattern_Small,2.0,0,199.0,4
101,3,19,Large,2.0,1.0,7.376978749991395,Object_Sea_Solid_Large,-2.0,1,214.0,5
101,3,19,Large,2.0,1.0,7.376978749991395,Object_Land_Pattern_Large,2.0,1,728.0,6
101,3,19,Large,2.0,1.0,7.376978749991395,Animal_Sea_Solid_Small,8.0,0,190.0,7
101,3,20,Object,1.0,1.0,6.0246376659488305,Object_Land_Pattern_Large,2.0,1,1173.0,1
101,3,20,Object,1.0,1.0,6.0246376659488305,Animal_Sea_Solid_Small,8.0,0,165.0,2
101,3,20,Object,1.0,1.0,6.0246376659488305,Object_Land_Pattern_Small,2.0,1,446.0,3
101,3,20,Object,1.0,1.0,6.0246376659488305,Animal_Sea_Pattern_Large,-2.0,0,736.0,4
101,3,20,Object,1.0,1.0,6.0246376659488305,Object_Sea_Solid_Large,-2.0,1,229.0,5
101,3,20,Object,1.0,1.0,6.0246376659488305,Animal_Land_Solid_Small,-2.0,0,303.0,6
101,3,20,Object,1.0,1.0,6.0246376659488305,Animal_Sea_Pattern_Large,-2.0,0,818.0,7
101,3,20,Object,1.0,1.0,6.0246376659488305,Animal_Land_Solid_Small,-2.0,0,585.0,8
101,3,21,Small,1.0,1.0,2.1925120829837397,Animal_Sea_Solid_Small,8.0,1,854.0,1
101,3,21,Small,1.0,1.0,2.1925120829837397,Animal_Land_Solid_Small,-2.0,1,345.0,2
101,3,21,Small,1.0,1.0,2.1925120829837397,Object_Sea_Solid_Large,-2.0,0,273.0,3
101,3,22,Animal,1.0,1.0,1.0523985410109162,Animal_Sea_Solid_Small,8.0,1,856.0,1
101,3,23,Pattern,1.0,1.0,10.507461083005182,Object_Land_Pattern_Large,2.0,1,1356.0,1
101,3,23,Pattern,1.0,1.0,10.507461083005182,Animal_Sea_Pattern_Large,-2.0,1,250.0,2
101,3,23,Pattern,1.0,1.0,10.507461083005182,Object_Sea_Solid_Large,-2.0,0,1552.0,3
101,3,23,Pattern,1.0,1.0,10.507461083005182,Object_Land_Pattern_Small,2.0,1,208.0,4
101,3,23,Pattern,1.0,1.0,10.507461083005182,Object_Land_Pattern_Large,2.0,1,25.0,5
101,3,23,Pattern,1.0,1.0,10.507461083005182,Animal_Sea_Solid_Small,8.0,0,37.0,6
101,3,23,Pattern,1.0,1.0,10.507461083005182,Animal_Land_Solid_Small,-2.0,0,454.0,7
101,3,23,Pattern,1.0,1.0,10.507461083005182,Animal_Sea_Pattern_Large,-2.0,1,626.0,8
101,3,23,Pattern,1.0,1.0,10.507461083005182,Animal_Sea_Solid_Small,8.0,0,188.0,9
101,3,24,Sea,1.0,1.0,2.96003983297851,Animal_Sea_Solid_Small,8.0,1,649.0,1
101,3,24,Sea,1.0,1.0,2.96003983297851,Object_Land_Pattern_Large,2.0,0,342.0,2
101,3,24,Sea,1.0,1.0,2.96003983297851,Animal_Sea_Pattern_Large,-2.0,1,597.0,3
101,3,24,Sea,1.0,1.0,2.96003983297851,Object_Sea_Solid_Large,-2.0,1,266.0,4
101,3,24,Sea,1.0,1.0,2.96003983297851,Animal_Land_Solid_Small,-2.0,0,257.0,5
101,4,25,Land,1.0,0.0,15.08604804193601,Animal_Sea_Pattern_Large,-7.0,0,277.0,1
101,4,25,Land,1.0,0.0,15.08604804193601,Object_Sea_Solid_Small,7.0,0,2192.0,2
101,4,25,Land,1.0,0.0,15.08604804193601,Animal_Land_Pattern_Large,7.0,1,2182.0,3
101,4,25,Land,1.0,0.0,15.08604804193601,Object_Sea_Solid_Small,7.0,0,262.0,4
101,4,25,Land,1.0,0.0,15.08604804193601,Object_Land_Solid_Small,-9.0,1,2425.0,5
101,4,25,Land,1.0,0.0,15.08604804193601,Animal_Land_Pattern_Large,7.0,1,372.0,6
101,4,25,Land,1.0,0.0,15.08604804193601,Object_Land_Solid_Small,-9.0,1,323.0,7
101,4,25,Land,1.0,0.0,15.08604804193601,Object_Land_Solid_Large,1.0,1,414.0,8
101,4,25,Land,1.0,0.0,15.08604804193601,Animal_Sea_Pattern_Large,-7.0,0,400.0,9
101,4,25,Land,1.0,0.0,15.08604804193601,Object_Sea_Solid_Small,7.0,0,37.0,10
101,4,26,Object,1.0,0.0,13.194192833034322,Object_Land_Solid_Small,-9.0,1,1099.0,1
101,4,26,Object,1.0,0.0,13.194192833034322,Animal_Sea_Pattern_Small,4.0,0,297.0,2
101,4,26,Object,1.0,0.0,13.194192833034322,Object_Land_Solid_Large,1.0,1,316.0,3
101,4,26,Object,1.0,0.0,13.194192833034322,Object_Sea_Solid_Small,7.0,1,1052.0,4
101,4,26,Object,1.0,0.0,13.194192833034322,Animal_Sea_Pattern_Large,-7.0,0,1152.0,5
101,4,26,Object,1.0,0.0,13.194192833034322,Object_Land_Solid_Large,1.0,1,448.0,6
101,4,26,Object,1.0,0.0,13.194192833034322,Object_Sea_Solid_Small,7.0,1,54.0,7
101,4,26,Object,1.0,0.0,13.194192833034322,Object_Land_Solid_Large,1.0,1,163.0,8
101,4,26,Object,1.0,0.0,13.194192833034322,Animal_Sea_Pattern_Small,4.0,0,339.0,9
101,4,26,Object,1.0,0.0,13.194192833034322,Animal_Sea_Pattern_Large,-7.0,0,674.0,10
101,4,26,Object,1.0,0.0,13.194192833034322,Animal_Sea_Pattern_Small,4.0,0,21.0,11
101,4,26,Object,1.0,0.0,13.194192833034322,Animal_Sea_Pattern_Large,-7.0,0,1049.0,12
101,4,26,Object,1.0,0.0,13.194192833034322,Animal_Sea_Pattern_Small,4.0,0,30.0,13
101,4,26,Object,1.0,0.0,13.194192833034322,Object_Land_Solid_Large,1.0,1,380.0,14
101,4,26,Object,1.0,0.0,13.194192833034322,Animal_Sea_Pattern_Large,-7.0,0,359.0,15
101,4,27,Animal,1.0,1.0,6.755183957982808,Animal_Sea_Pattern_Large,-7.0,1,136.0,1
101,4,27,Animal,1.0,1.0,6.755183957982808,Animal_Sea_Pattern_Small,4.0,1,213.0,2
101,4,27,Animal,1.0,1.0,6.755183957982808,Animal_Sea_Pattern_Large,-7.0,1,1071.0,3
101,4,27,Animal,1.0,1.0,6.755183957982808,Object_Land_Solid_Small,-9.0,0,104.0,4
101,4,27,Animal,1.0,1.0,6.755183957982808,Animal_Sea_Pattern_Small,4.0,1,755.0,5
101,4,27,Animal,1.0,1.0,6.755183957982808,Object_Land_Solid_Large,1.0,0,352.0,6
101,4,27,Animal,1.0,1.0,6.755183957982808,Object_Sea_Solid_Small,7.0,0,259.0,7
101,4,28,Small,1.0,1.0,11.721790582989344,Object_Land_Solid_Small,-9.0,1,702.0,1
101,4,28,Small,1.0,1.0,11.721790582989344,Animal_Sea_Pattern_Large,-7.0,0,134.0,2
101,4,28,Small,1.0,1.0,11.721790582989344,Animal_Sea_Pattern_Small,4.0,1,791.0,3
101,4,28,Small,1.0,1.0,11.721790582989344,Object_Land_Solid_Large,1.0,0,538.0,4
101,4,28,Small,1.0,1.0,11.721790582989344,Object_Sea_Solid_Small,7.0,1,551.0,5
101,4,28,Small,1.0,1.0,11.721790582989344,Animal_Sea_Pattern_Small,4.0,1,481.0,6
101,4,28,Small,1.0,1.0,11.721790582989344,Animal_Sea_Pattern_Large,-7.0,0,471.0,7
101,4,29,Solid,2.0,1.0,15.720312208984978,Animal_Sea_Pattern_Small,4.0,0,229.0,1
101,4,29,Solid,2.0,1.0,15.720312208984978,Animal_Sea_Pattern_Large,-7.0,0,1187.0,2
101,4,29,Solid,2.0,1.0,15.720312208984978,Animal_Sea_Pattern_Small,4.0,0,447.0,3
101,4,29,Solid,2.0,1.0,15.720312208984978,Animal_Sea_Pattern_Large,-7.0,0,125.0,4
101,4,29,Solid,2.0,1.0,15.720312208984978,Object_Land_Solid_Small,-9.0,1,386.0,5
101,4,29,Solid,2.0,1.0,15.720312208984978,Animal_Sea_Pattern_Large,-7.0,0,258.0,6
101,4,29,Solid,2.0,1.0,15.720312208984978,Animal_Sea_Pattern_Small,4.0,0,435.0,7
101,4,29,Solid,2.0,1.0,15.720312208984978,Object_Sea_Solid_Small,7.0,1,470.0,8
101,4,29,Solid,2.0,1.0,15.720312208984978,Animal_Land_Pattern_Large,7.0,0,270.0,9
101,4,29,Solid,2.0,1.0,15.720312208984978,Object_Sea_Solid_Small,7.0,1,123.0,10
101,4,29,Solid,2.0,1.0,15.720312208984978,Object_Land_Solid_Large,1.0,1,721.0,11
101,4,29,Solid,2.0,1.0,15.720312208984978,Animal_Sea_Pattern_Large,-7.0,0,909.0,12
101,4,29,Solid,2.0,1.0,15.720312208984978,Object_Land_Solid_Large,1.0,1,366.0,13
101,4,29,Solid,2.0,1.0,15.720312208984978,Animal_Sea_Pattern_Small,4.0,0,501.0,14
101,4,30,Large,1.0,1.0,8.06427795800846,Animal_Sea_Pattern_Large,-7.0,1,1022.0,1
101,4,30,Large,1.0,1.0,8.06427795800846,Animal_Land_Pattern_Large,7.0,1,333.0,2
101,4,30,Large,1.0,1.0,8.06427795800846,Object_Land_Solid_Small,-9.0,0,65.0,3
101,4,30,Large,1.0,1.0,8.06427795800846,Animal_Land_Pattern_Large,7.0,1,321.0,4
101,4,30,Large,1.0,1.0,8.06427795800846,Object_Land_Solid_Large,1.0,1,586.0,5
101,4,30,Large,1.0,1.0,8.06427795800846,Object_Sea_Solid_Small,7.0,0,212.0,6
101,4,30,Large,1.0,1.0,8.06427795800846,Animal_Sea_Pattern_Small,4.0,0,308.0,7
101,4,30,Large,1.0,1.0,8.06427795800846,Animal_Sea_Pattern_Large,-7.0,1,287.0,8
101,4,30,Large,1.0,1.0,8.06427795800846,Animal_Land_Pattern_Large,7.0,1,235.0,9
101,4,30,Large,1.0,1.0,8.06427795800846,Object_Sea_Solid_Small,7.0,0,417.0,10
101,4,30,Large,1.0,1.0,8.06427795800846,Animal_Sea_Pattern_Large,-7.0,1,453.0,11
101,4,31,Sea,1.0,1.0,6.194624542025849,Animal_Land_Pattern_Large,7.0,0,203.0,1
101,4,31,Sea,1.0,1.0,6.194624542025849,Animal_Sea_Pattern_Small,4.0,1,919.0,2
101,4,31,Sea,1.0,1.0,6.194624542025849,Object_Sea_Solid_Small,7.0,1,1014.0,3
101,4,31,Sea,1.0,1.0,6.194624542025849,Object_Land_Solid_Large,1.0,0,20.0,4
101,4,31,Sea,1.0,1.0,6.194624542025849,Object_Sea_Solid_Small,7.0,1,306.0,5
101,4,31,Sea,1.0,1.0,6.194624542025849,Animal_Sea_Pattern_Small,4.0,1,380.0,6
101,4,31,Sea,1.0,1.0,6.194624542025849,Object_Land_Solid_Large,1.0,0,246.0,7
101,4,31,Sea,1.0,1.0,6.194624542025849,Animal_Sea_Pattern_Large,-7.0,1,746.0,8
101,4,31,Sea,1.0,1.0,6.194624542025849,Object_Land_Solid_Large,1.0,0,252.0,9
101,4,32,Pattern,1.0,1.0,4.627517707995139,Object_Land_Solid_Small,-9.0,0,570.0,1
101,4,32,Pattern,1.0,1.0,4.627517707995139,Animal_Sea_Pattern_Small,4.0,1,526.0,2
101,4,32,Pattern,1.0,1.0,4.627517707995139,Object_Sea_Solid_Small,7.0,0,223.0,3
101,4,32,Pattern,1.0,1.0,4.627517707995139,Animal_Land_Pattern_Large,7.0,1,235.0,4
101,4,32,Pattern,1.0,1.0,4.627517707995139,Object_Sea_Solid_Small,7.0,0,314.0,5
101,4,32,Pattern,1.0,1.0,4.627517707995139,Animal_Sea_Pattern_Small,4.0,1,876.0,6
101,5,33,Object,1.0,1.0,19.036868416937068,Animal_Land_Solid_Large,9.0,0,801.0,1
101,5,33,Object,1.0,1.0,19.036868416937068,Object_Sea_Pattern_Small,9.0,1,976.0,2
101,5,33,Object,1.0,1.0,19.036868416937068,Object_Land_Solid_Small,-5.0,1,51.0,3
101,5,33,Object,1.0,1.0,19.036868416937068,Object_Sea_Pattern_Large,-3.0,1,653.0,4
101,5,33,Object,1.0,1.0,19.036868416937068,Animal_Land_Solid_Large,9.0,0,295.0,5
101,5,33,Object,1.0,1.0,19.036868416937068,Object_Land_Solid_Small,-5.0,1,1017.0,6
101,5,33,Object,1.0,1.0,19.036868416937068,Animal_Land_Solid_Large,9.0,0,566.0,7
101,5,33,Object,1.0,1.0,19.036868416937068,Animal_Sea_Solid_Large,-5.0,0,444.0,8
101,5,33,Object,1.0,1.0,19.036868416937068,Animal_Land_Solid_Large,9.0,0,90.0,9
101,5,33,Object,1.0,1.0,19.036868416937068,Animal_Land_Pattern_Small,-7.0,0,133.0,10
101,5,33,Object,1.0,1.0,19.036868416937068,Object_Sea_Pattern_Large,-3.0,1,270.0,11
101,5,33,Object,1.0,1.0,19.036868416937068,Object_Land_Solid_Small,-5.0,1,253.0,12
101,5,33,Object,1.0,1.0,19.036868416937068,Object_Sea_Pattern_Large,-3.0,1,79.0,13
101,5,33,Object,1.0,1.0,19.036868416937068,Animal_Land_Solid_Large,9.0,0,880.0,14
101,5,33,Object,1.0,1.0,19.036868416937068,Object_Sea_Pattern_Small,9.0,1,434.0,15
101,5,33,Object,1.0,1.0,19.036868416937068,Animal_Land_Solid_Large,9.0,0,217.0,16
101,5,33,Object,1.0,1.0,19.036868416937068,Animal_Sea_Solid_Large,-5.0,0,495.0,17
101,5,33,Object,1.0,1.0,19.036868416937068,Animal_Land_Solid_Large,9.0,0,253.0,18
101,5,33,Object,1.0,1.0,19.036868416937068,Object_Sea_Pattern_Small,9.0,1,267.0,19
