subject,total_choice_trials,dropped_choice_trials,proportion_choice_trials_dropped,subject_excluded_choice
104,56,0,0.0,False
105,56,0,0.0,False
101,56,8,0.1428571428571428,False
103,56,3,0.0535714285714285,False
106,56,0,0.0,False
107,56,42,0.75,True
108,56,0,0.0,False
109,56,0,0.0,False
110,56,9,0.1607142857142857,False
111,56,2,0.0357142857142857,False
113,56,3,0.0535714285714285,False
114,56,0,0.0,False
115,56,0,0.0,False
116,56,0,0.0,False
117,56,0,0.0,False
118,56,6,0.1071428571428571,False
119,56,0,0.0,False
120,56,3,0.0535714285714285,False
122,56,0,0.0,False
123,56,0,0.0,False
124,56,0,0.0,False
125,56,0,0.0,False
126,56,0,0.0,False
127,56,0,0.0,False
128,56,0,0.0,False
129,56,0,0.0,False
131,56,0,0.0,False
132,56,0,0.0,False
133,56,0,0.0,False
134,56,0,0.0,False
135,56,0,0.0,False
136,56,0,0.0,False
138,56,1,0.0178571428571428,False
137,56,0,0.0,False
139,56,0,0.0,False
140,56,0,0.0,False
141,56,0,0.0,False
142,56,1,0.0178571428571428,False
144,56,0,0.0,False
146,56,0,0.0,False
147,56,8,0.1428571428571428,False
148,56,3,0.0535714285714285,False
149,56,0,0.0,False
150,56,0,0.0,False
