metric,mean,ci_lo,ci_hi,n_subjects
allfix_count_relevant_per_trial,4.821853307118956,3.6843750048831696,6.14252650885674,41
allfix_count_irrelevant_per_trial,3.8590705946558135,3.035363011706664,4.787559234619868,41
allfix_duration_mean_relevant,584.2623355126058,516.8883287884996,652.4697946632738,41
allfix_duration_mean_irrelevant,511.0436215656082,456.57605919397065,566.0485731342299,41
firstfix_count_relevant_per_trial,1.829559960024907,1.6407556087930926,2.0113168174105147,41
firstfix_count_irrelevant_per_trial,1.6185414670023641,1.4624243787153344,1.7765530516767805,41
firstfix_duration_mean_relevant,594.0546244775109,515.1771302362979,673.8662610636145,41
firstfix_duration_mean_irrelevant,492.39756596350105,439.59397779821387,544.3951484443886,41
revisit_count_relevant_per_trial,2.992293347094049,1.9962772710369094,4.160565815553773,41
revisit_count_irrelevant_per_trial,2.2405291276534487,1.5312777157256336,3.0491378961862945,41
revisit_duration_mean_relevant,596.3210042647326,520.5147410789633,674.8915612741513,40
revisit_duration_mean_irrelevant,536.7964513950539,466.56599768732445,616.482341865467,40
firstfix_prop_time_relevant,0.5650615093808107,0.541990232920667,0.5879290353964953,41
firstfix_prop_time_irrelevant,0.4349384906191893,0.4120709646035046,0.45800976707933305,41
revisit_prop_time_relevant,0.5694573557377911,0.5230059842702902,0.6142776339518994,41
revisit_prop_time_irrelevant,0.4305426442622088,0.3857223660481006,0.4769940157297098,41
time_share_firstfix,0.5264524640364713,0.4652866750524803,0.5932943444752913,41
time_share_revisit,0.4735475359635287,0.4067056555247088,0.5347133249475196,41
