variable,mean,sd,median,2.5%,50%,97.5%,rhat,ess_bulk,predictor,dataset
beta[1],-2.634508831529012e-4,0.0029232367553484167,-2.5441130566544165e-4,-0.005974234957076457,-2.5441130566544165e-4,0.005387858611086767,1.0015815474982315,4248.597171030037,share_k_z,random_10x
beta[2],5.490887232846812e-4,0.0028441100457814355,5.157695998604095e-4,-0.004816054259745349,5.157695998604095e-4,0.00609422970590131,1.0010427280407452,4071.596896290999,dist_cw_z,random_10x
beta[3],-4.003630981209846e-4,0.002911293077242485,-4.723741182039795e-4,-0.0061108507117370705,-4.723741182039795e-4,0.005328161369623691,1.0000787431322953,3980.8321086146416,dist_ccw_z,random_10x
beta[4],0.002641859474765693,0.006084099609712191,0.002707172092516986,-0.00977701445309209,0.002707172092516986,0.014470783005686,1.0015955870259747,1588.1811404880425,enc_lag_fwd_z,random_10x
beta[5],-0.0034388913036716554,0.005996980188268548,-0.0032254123051831387,-0.015527249067452367,-0.0032254123051831387,0.007941707325927732,1.0014762242795268,1457.188561382489,enc_lag_bwd_z,random_10x
beta[6],0.001410337389040079,0.004201511574441807,0.001228396529875368,-0.006713568312139868,0.001228396529875368,0.009987593555262,1.0018214011855004,1457.9892454358444,is_primacy_k_z,random_10x
beta[7],-0.0036328437491890317,0.004252744148663208,-0.003638055914829696,-0.012086105554748124,-0.003638055914829696,0.004735107097601653,1.0007247658912812,1505.4880578229088,is_recency_k_z,random_10x
beta[8],0.0023248014995186435,0.0031081024839498443,0.002337730973380005,-0.0036827190904981247,0.002337730973380005,0.008159186137586545,1.0005558710645868,4234.090614133901,abs_reward_k_z,random_10x
beta[9],-0.0010077291360883831,0.0027878261244773292,-0.001003197000903865,-0.00636139197945021,-0.001003197000903865,0.004496712964827011,1.0001873752958752,4835.295420194307,signed_reward_k_z,random_10x
beta[10],-0.0023005077343015985,0.00288450489109733,-0.0023427598284966817,-0.007994283941564137,-0.0023427598284966817,0.003424442650308485,1.0004360333396098,4508.955443660073,is_prev_fixation_k_z,random_10x
