variable,mean,sd,median,2.5%,50%,97.5%,rhat,ess_bulk,predictor,dataset
beta[1],0.11467860016843864,0.0015460757371094733,0.1146664662499271,0.1117120957374125,0.1146664662499271,0.11775600826899384,1.0002895822476296,4314.258111459628,share_k_z,rnn_input5_500k
beta[2],-0.04494905795498084,0.0014897328454655482,-0.044923628628782186,-0.04784231096083539,-0.044923628628782186,-0.04207946168661685,1.0002194414973389,4836.263032449276,dist_cw_z,rnn_input5_500k
beta[3],-0.04042375770048273,0.0015098418108404582,-0.04042451562213209,-0.04337006518137916,-0.04042451562213209,-0.03753391700767743,1.0020788649982981,3839.069209825571,dist_ccw_z,rnn_input5_500k
beta[4],5.172673375931948e-4,0.0031789038919705793,5.320245053713629e-4,-0.005472941670478178,5.320245053713629e-4,0.0066772218675638885,1.0035609331954223,1258.1865001256342,enc_lag_fwd_z,rnn_input5_500k
beta[5],-0.0012815222277538102,0.0032584850297664053,-0.001217272731639736,-0.007679764281163967,-0.001217272731639736,0.0048945480205077,1.00174303153069,1284.6363409403757,enc_lag_bwd_z,rnn_input5_500k
beta[6],-8.129005856080887e-4,0.002249866172267805,-8.329705776523196e-4,-0.00507355896828284,-8.329705776523196e-4,0.003601069867082776,1.0017727357864774,1426.1629661770403,is_primacy_k_z,rnn_input5_500k
beta[7],0.002292059980908636,0.0022417622287036827,0.0022868755852918452,-0.0020225699716758584,0.0022868755852918452,0.006710421933436723,1.0028518815805496,1389.3437715890525,is_recency_k_z,rnn_input5_500k
beta[8],-0.019338615676594825,0.0015563030283808066,-0.019345898747669905,-0.02239615312190821,-0.019345898747669905,-0.016290050390821577,1.0016751871347185,4309.738452129649,abs_reward_k_z,rnn_input5_500k
beta[9],-4.5891319537194527e-4,0.0015097336606070505,-4.495549518258917e-4,-0.0033590398388483426,-4.495549518258917e-4,0.0024821531729936055,0.9997943221892517,4857.99225470644,signed_reward_k_z,rnn_input5_500k
beta[10],-0.1273499959372339,0.0014588072221014042,-0.12734864175177188,-0.13016202161754048,-0.12734864175177188,-0.12447817547864624,1.0019220110927498,4952.38216456753,is_prev_fixation_k_z,rnn_input5_500k
