variable,mean,sd,median,2.5%,50%,97.5%,rhat,ess_bulk,predictor,dataset
beta[1],0.003952704222784457,0.0035972821725813718,0.003985162720562383,-0.0032429316281228963,0.003985162720562383,0.010878977765288475,0.9999696937136852,4488.613936542078,share_k_z,walk_ring_noisy_10x
beta[2],-1.9813386567462916,0.010108398996166336,-1.9813469422946484,-2.000642857352666,-1.9813469422946484,-1.9617085200885596,1.0005004422533323,2335.5717362129785,dist_cw_z,walk_ring_noisy_10x
beta[3],-1.9749648780699323,0.010216022490673026,-1.9749775273845385,-1.9943151701649975,-1.9749775273845385,-1.9546476141297262,1.0008510248094058,2341.1713676735308,dist_ccw_z,walk_ring_noisy_10x
beta[4],0.00129549554808136,0.007168186949658589,0.0012205962892927046,-0.012484165011030522,0.0012205962892927046,0.01551325973801062,1.0008719784163993,3204.061394604687,enc_lag_fwd_z,walk_ring_noisy_10x
beta[5],-0.003796701103491254,0.007218516027352238,-0.0037100707115347675,-0.018466150354376962,-0.0037100707115347675,0.01043791712887486,1.0002271183374152,3051.8743768935515,enc_lag_bwd_z,walk_ring_noisy_10x
beta[6],0.0023623933033179983,0.005036653540921589,0.00234088161161801,-0.007518669458467351,0.00234088161161801,0.012358915775581509,0.9999697692277923,3055.299850090517,is_primacy_k_z,walk_ring_noisy_10x
beta[7],0.00203359974421234,0.005010913036117823,0.0020378999178717336,-0.007694244552501756,0.0020378999178717336,0.011590140274456756,0.999802947721918,3304.998199326887,is_recency_k_z,walk_ring_noisy_10x
beta[8],-0.00219976382801405,0.003439884138882861,-0.0021740060490734662,-0.008863172299231718,-0.0021740060490734662,0.0044058174910502025,1.0003338904801273,4788.850596756563,abs_reward_k_z,walk_ring_noisy_10x
beta[9],0.0024192725838395046,0.0032781155805326192,0.0023821321663658806,-0.004116805624862054,0.0023821321663658806,0.008856564380526769,1.0018257769518664,4940.693720842732,signed_reward_k_z,walk_ring_noisy_10x
beta[10],0.07496573274827645,0.002480678496487492,0.0749574716930276,0.070176466353317965,0.0749574716930276,0.07982803980056945,1.000762624105626,4448.719841876165,is_prev_fixation_k_z,walk_ring_noisy_10x
