effect,component,term,estimate,std.error,conf.low,conf.high
fixed,cond,feature_dimanimacy,1.7021372170698579,0.08827323419887871,1.5286170394662992,1.8766602375263117
fixed,cond,feature_dimenvironment,1.6314453566708538,0.1033684006223297,1.4253933097039366,1.8384715218876415
fixed,cond,feature_dimsize,1.720462711821525,0.1085234493475156,1.5055317651956832,1.9346655726956177
fixed,cond,feature_dimtexture,1.7388235203208644,0.1103523714410573,1.5198244376237613,1.9617990892964563
fixed,cond,feature_dimanimacy:recalled_offer_value_z,-0.01918671985086676,0.0450463369918077,-0.10971728528439477,0.0727162850425589
fixed,cond,feature_dimenvironment:recalled_offer_value_z,-0.00667691558706428,0.04768082214016607,-0.1020061062290639,0.08603132264016747
fixed,cond,feature_dimsize:recalled_offer_value_z,0.020586753154165593,0.052616705773128214,-0.08667450075221404,0.12296363157831794
fixed,cond,feature_dimtexture:recalled_offer_value_z,0.042056473594100766,0.04518792710818174,-0.044695739187545054,0.13249249463440124
fixed,cond,feature_dimanimacy:recalled_offer_value_z2,-0.07906751106197465,0.03097465085819911,-0.1412540788696109,-0.018779893223955204
fixed,cond,feature_dimenvironment:recalled_offer_value_z2,-0.06859872730816233,0.028336533798441654,-0.12509536447051056,-0.012982998084116397
fixed,cond,feature_dimsize:recalled_offer_value_z2,-0.06931953951259377,0.03090070163472618,-0.13072714947900033,-0.009491397282305256
fixed,cond,feature_dimtexture:recalled_offer_value_z2,-0.08108050861993156,0.03347414691881592,-0.14908888236649157,-0.01691009626868015
